,AKU
2020-09-03,3.0
2020-09-04,3.0199999809265137
2020-09-08,2.9000000953674316
2020-09-09,2.990000009536743
2020-09-10,2.9000000953674316
2020-09-11,3.049999952316284
2020-09-14,2.9000000953674316
2020-09-15,2.8499999046325684
2020-09-16,3.0
2020-09-17,2.990000009536743
2020-09-18,3.0299999713897705
2020-09-21,3.0
2020-09-22,3.0
2020-09-23,3.0
2020-09-24,3.049999952316284
2020-09-25,3.0899999141693115
2020-09-28,3.190000057220459
2020-09-29,3.240000009536743
2020-09-30,3.25
2020-10-01,3.2699999809265137
2020-10-02,3.25
2020-10-05,3.2899999618530273
2020-10-06,3.2899999618530273
2020-10-07,3.299999952316284
2020-10-08,3.299999952316284
2020-10-09,3.490000009536743
2020-10-12,3.490000009536743
2020-10-13,3.4800000190734863
2020-10-14,3.4000000953674316
2020-10-15,3.5
2020-10-16,3.5299999713897705
2020-10-19,3.5
2020-10-20,3.619999885559082
2020-10-21,3.5999999046325684
2020-10-22,3.5999999046325684
2020-10-23,3.740000009536743
2020-10-26,3.5999999046325684
2020-10-27,3.6600000858306885
2020-10-28,3.609999895095825
2020-10-29,3.5799999237060547
2020-10-30,3.680000066757202
2020-11-02,3.740000009536743
2020-11-03,3.7100000381469727
2020-11-04,3.7100000381469727
2020-11-05,3.5799999237060547
2020-11-06,3.569999933242798
2020-11-09,3.5999999046325684
2020-11-10,3.549999952316284
2020-11-11,3.5999999046325684
2020-11-12,3.619999885559082
2020-11-13,3.509999990463257
2020-11-16,3.4600000381469727
2020-11-17,3.319999933242798
2020-11-18,3.2100000381469727
2020-11-19,3.200000047683716
2020-11-20,3.299999952316284
2020-11-23,3.25
2020-11-24,3.3399999141693115
2020-11-25,3.3299999237060547
2020-11-27,3.2899999618530273
2020-11-30,3.2899999618530273
2020-12-01,3.259999990463257
2020-12-02,3.2899999618530273
2020-12-03,3.25
2020-12-04,3.2699999809265137
2020-12-07,3.2699999809265137
2020-12-08,3.2100000381469727
2020-12-09,3.25
2020-12-10,3.1700000762939453
2020-12-11,3.0799999237060547
2020-12-14,3.0999999046325684
2020-12-15,3.0999999046325684
2020-12-16,3.0899999141693115
2020-12-17,3.0899999141693115
2020-12-18,3.0999999046325684
2020-12-21,3.0899999141693115
2020-12-22,3.049999952316284
2020-12-23,3.049999952316284
2020-12-24,3.009999990463257
2020-12-28,3.0399999618530273
2020-12-29,3.0
2020-12-30,3.0
2020-12-31,3.009999990463257
2021-01-04,2.9000000953674316
2021-01-05,2.9200000762939453
2021-01-06,3.0
2021-01-07,3.0
2021-01-08,3.009999990463257
2021-01-11,2.990000009536743
2021-01-12,3.0
2021-01-13,3.009999990463257
2021-01-14,2.9700000286102295
2021-01-15,2.9600000381469727
2021-01-19,3.0
2021-01-20,2.940000057220459
2021-01-21,2.940000057220459
2021-01-22,3.0799999237060547
2021-01-25,3.0299999713897705
2021-01-26,2.9800000190734863
2021-01-27,3.0999999046325684
2021-01-28,3.119999885559082
2021-01-29,3.1500000953674316
2021-02-01,3.1500000953674316
2021-02-02,3.190000057220459
2021-02-03,3.1700000762939453
2021-02-04,3.1500000953674316
2021-02-05,3.180000066757202
2021-02-08,3.130000114440918
2021-02-09,3.1700000762939453
2021-02-10,3.2300000190734863
2021-02-11,3.200000047683716
2021-02-12,3.25
2021-02-16,3.3399999141693115
2021-02-17,3.700000047683716
2021-02-18,3.630000114440918
2021-02-19,3.7200000286102295
2021-02-22,3.5899999141693115
2021-02-23,3.5
2021-02-24,3.5999999046325684
2021-02-25,3.5199999809265137
2021-02-26,3.640000104904175
2021-03-01,3.7100000381469727
2021-03-02,3.680000066757202
2021-03-03,3.609999895095825
2021-03-04,3.5199999809265137
2021-03-05,3.5799999237060547
2021-03-08,3.569999933242798
2021-03-09,3.7200000286102295
2021-03-10,3.690000057220459
2021-03-11,3.7300000190734863
2021-03-12,3.759999990463257
2021-03-15,3.7200000286102295
2021-03-16,3.700000047683716
2021-03-17,3.8399999141693115
2021-03-18,3.7799999713897705
2021-03-19,3.799999952316284
2021-03-22,3.7899999618530273
2021-03-23,3.549999952316284
2021-03-24,3.5399999618530273
2021-03-25,3.559999942779541
2021-03-26,3.609999895095825
2021-03-29,3.569999933242798
2021-03-30,3.630000114440918
2021-03-31,3.700000047683716
2021-04-01,3.059999942779541
2021-04-05,3.430000066757202
2021-04-06,3.2699999809265137
2021-04-07,3.2799999713897705
2021-04-08,3.2699999809265137
2021-04-09,3.25
2021-04-12,3.130000114440918
2021-04-13,3.0999999046325684
2021-04-14,3.0799999237060547
2021-04-15,3.069999933242798
2021-04-16,3.069999933242798
2021-04-19,3.0999999046325684
2021-04-20,3.140000104904175
2021-04-21,3.0999999046325684
2021-04-22,3.0899999141693115
2021-04-23,3.240000009536743
2021-04-26,3.130000114440918
2021-04-27,3.130000114440918
2021-04-28,3.0999999046325684
2021-04-29,3.0999999046325684
2021-04-30,3.0899999141693115
2021-05-03,3.109999895095825
2021-05-04,2.9700000286102295
2021-05-05,2.9600000381469727
2021-05-06,3.1700000762939453
2021-05-07,3.1500000953674316
2021-05-10,3.059999942779541
2021-05-11,3.0799999237060547
2021-05-12,3.0
2021-05-13,2.950000047683716
2021-05-14,2.990000009536743
