,BHF
2017-07-17,70.0
2017-07-18,70.0
2017-07-19,68.94999694824219
2017-07-20,69.0
2017-07-21,68.9229965209961
2017-07-24,69.0
2017-07-25,69.08399963378906
2017-07-26,69.08000183105469
2017-07-27,68.0
2017-07-28,67.26000213623047
2017-07-31,66.0
2017-08-01,66.25
2017-08-02,64.88999938964844
2017-08-03,64.0
2017-08-04,64.56999969482422
2017-08-07,61.720001220703125
2017-08-08,56.900001525878906
2017-08-09,56.720001220703125
2017-08-10,58.5
2017-08-11,57.970001220703125
2017-08-14,57.36000061035156
2017-08-15,58.0099983215332
2017-08-16,57.5
2017-08-17,55.970001220703125
2017-08-18,57.45000076293945
2017-08-21,56.86000061035156
2017-08-22,57.209999084472656
2017-08-23,56.650001525878906
2017-08-24,55.31999969482422
2017-08-25,55.540000915527344
2017-08-28,55.34000015258789
2017-08-29,55.7599983215332
2017-08-30,57.099998474121094
2017-08-31,57.06999969482422
2017-09-01,57.4900016784668
2017-09-05,54.08000183105469
2017-09-06,53.18000030517578
2017-09-07,53.0
2017-09-08,54.540000915527344
2017-09-11,55.11000061035156
2017-09-12,55.189998626708984
2017-09-13,55.349998474121094
2017-09-14,55.619998931884766
2017-09-15,56.560001373291016
2017-09-18,57.209999084472656
2017-09-19,56.93000030517578
2017-09-20,57.4900016784668
2017-09-21,57.68000030517578
2017-09-22,58.349998474121094
2017-09-25,58.68000030517578
2017-09-26,60.63999938964844
2017-09-27,61.290000915527344
2017-09-28,60.43000030517578
2017-09-29,60.79999923706055
2017-10-02,60.9900016784668
2017-10-03,60.220001220703125
2017-10-04,59.47999954223633
2017-10-05,60.56999969482422
2017-10-06,61.02000045776367
2017-10-09,60.119998931884766
2017-10-10,60.099998474121094
2017-10-11,60.66999816894531
2017-10-12,60.43000030517578
2017-10-13,60.400001525878906
2017-10-16,60.2400016784668
2017-10-17,60.630001068115234
2017-10-18,60.709999084472656
2017-10-19,61.20000076293945
2017-10-20,62.119998931884766
2017-10-23,61.72999954223633
2017-10-24,62.540000915527344
2017-10-25,62.060001373291016
2017-10-26,63.189998626708984
2017-10-27,63.630001068115234
2017-10-30,62.459999084472656
2017-10-31,62.18000030517578
2017-11-01,62.04999923706055
2017-11-02,59.22999954223633
2017-11-03,57.81999969482422
2017-11-06,56.65999984741211
2017-11-07,56.95000076293945
2017-11-08,56.290000915527344
2017-11-09,56.5
2017-11-10,56.58000183105469
2017-11-13,55.9900016784668
2017-11-14,55.380001068115234
2017-11-15,54.970001220703125
2017-11-16,55.41999816894531
2017-11-17,55.66999816894531
2017-11-20,55.459999084472656
2017-11-21,56.90999984741211
2017-11-22,57.45000076293945
2017-11-24,57.290000915527344
2017-11-27,57.61000061035156
2017-11-28,58.0099983215332
2017-11-29,59.439998626708984
2017-11-30,58.790000915527344
2017-12-01,58.439998626708984
2017-12-04,58.4900016784668
2017-12-05,58.25
2017-12-06,58.16999816894531
2017-12-07,58.630001068115234
2017-12-08,60.20000076293945
2017-12-11,59.970001220703125
2017-12-12,59.97999954223633
2017-12-13,59.369998931884766
2017-12-14,58.72999954223633
2017-12-15,58.45000076293945
2017-12-18,58.68000030517578
2017-12-19,58.34000015258789
2017-12-20,58.13999938964844
2017-12-21,60.38999938964844
2017-12-22,59.540000915527344
2017-12-26,59.689998626708984
2017-12-27,59.06999969482422
2017-12-28,59.15999984741211
2017-12-29,58.63999938964844
2018-01-02,57.66999816894531
2018-01-03,58.5099983215332
2018-01-04,59.4900016784668
2018-01-05,60.630001068115234
2018-01-08,60.4900016784668
2018-01-09,61.709999084472656
2018-01-10,64.0
2018-01-11,65.25
2018-01-12,65.36000061035156
2018-01-16,63.220001220703125
2018-01-17,64.36000061035156
2018-01-18,63.4900016784668
2018-01-19,64.19000244140625
2018-01-22,64.41000366210938
2018-01-23,64.94999694824219
2018-01-24,64.62000274658203
2018-01-25,64.88999938964844
2018-01-26,65.7300033569336
2018-01-29,67.45999908447266
2018-01-30,65.05999755859375
2018-01-31,64.26000213623047
2018-02-01,64.08999633789062
2018-02-02,62.150001525878906
2018-02-05,59.130001068115234
2018-02-06,58.779998779296875
2018-02-07,59.0
2018-02-08,55.439998626708984
2018-02-09,56.97999954223633
2018-02-12,58.22999954223633
2018-02-13,53.560001373291016
2018-02-14,55.709999084472656
2018-02-15,56.08000183105469
2018-02-16,56.81999969482422
2018-02-20,57.65999984741211
2018-02-21,57.439998626708984
2018-02-22,55.16999816894531
2018-02-23,55.34000015258789
2018-02-26,55.9900016784668
2018-02-27,55.61000061035156
2018-02-28,54.27000045776367
2018-03-01,53.470001220703125
2018-03-02,51.95000076293945
2018-03-05,52.7400016784668
2018-03-06,52.86000061035156
2018-03-07,52.380001068115234
2018-03-08,51.849998474121094
2018-03-09,53.86000061035156
2018-03-12,53.779998779296875
2018-03-13,53.459999084472656
2018-03-14,52.68000030517578
2018-03-15,52.5099983215332
2018-03-16,54.72999954223633
2018-03-19,53.20000076293945
2018-03-20,54.060001373291016
2018-03-21,53.83000183105469
2018-03-22,52.400001525878906
2018-03-23,50.7599983215332
2018-03-26,52.11000061035156
2018-03-27,50.630001068115234
2018-03-28,51.040000915527344
2018-03-29,51.400001525878906
2018-04-02,49.93000030517578
2018-04-03,50.5099983215332
2018-04-04,50.66999816894531
2018-04-05,51.91999816894531
2018-04-06,50.2400016784668
2018-04-09,50.08000183105469
2018-04-10,51.150001525878906
2018-04-11,49.91999816894531
2018-04-12,50.560001373291016
2018-04-13,50.20000076293945
2018-04-16,50.560001373291016
2018-04-17,50.83000183105469
2018-04-18,51.5
2018-04-19,51.959999084472656
2018-04-20,51.529998779296875
2018-04-23,51.599998474121094
2018-04-24,51.40999984741211
2018-04-25,51.380001068115234
2018-04-26,51.66999816894531
2018-04-27,51.84000015258789
2018-04-30,50.779998779296875
2018-05-01,50.880001068115234
2018-05-02,48.20000076293945
2018-05-03,48.060001373291016
2018-05-04,49.72999954223633
2018-05-07,50.29999923706055
