,CSX
1980-11-03,1.173611044883728
1980-11-05,1.1840280294418335
1980-11-06,1.1597219705581665
1980-11-07,1.1527780294418335
1980-11-10,1.15625
1980-11-11,1.194443941116333
1980-11-12,1.236111044883728
1980-11-13,1.267361044883728
1980-11-14,1.263888955116272
1980-11-17,1.2534719705581665
1980-11-18,1.274306058883667
1980-11-19,1.274306058883667
1980-11-20,1.2534719705581665
1980-11-21,1.263888955116272
1980-11-24,1.2604169845581055
1980-11-25,1.263888955116272
1980-11-26,1.256943941116333
1980-11-28,1.263888955116272
1980-12-01,1.2534719705581665
1980-12-02,1.236111044883728
1980-12-03,1.2465280294418335
1980-12-04,1.2604169845581055
1980-12-05,1.236111044883728
1980-12-08,1.211806058883667
1980-12-09,1.21875
1980-12-10,1.21875
1980-12-11,1.170138955116272
1980-12-12,1.194443941116333
1980-12-15,1.2222219705581665
1980-12-16,1.204861044883728
1980-12-17,1.21875
1980-12-18,1.243056058883667
1980-12-19,1.2465280294418335
1980-12-22,1.274306058883667
1980-12-23,1.3020830154418945
1980-12-24,1.34375
1980-12-26,1.3472219705581665
1980-12-29,1.3159719705581665
1980-12-30,1.319443941116333
1980-12-31,1.326388955116272
1981-01-02,1.329861044883728
1981-01-05,1.3541669845581055
1981-01-06,1.361111044883728
1981-01-07,1.3333330154418945
1981-01-08,1.3159719705581665
1981-01-09,1.298611044883728
1981-01-12,1.3090280294418335
1981-01-13,1.298611044883728
1981-01-14,1.295138955116272
1981-01-15,1.3125
1981-01-16,1.34375
1981-01-19,1.381943941116333
1981-01-20,1.3854169845581055
1981-01-21,1.392361044883728
1981-01-22,1.381943941116333
1981-01-23,1.3784719705581665
1981-01-26,1.361111044883728
1981-01-27,1.3958330154418945
1981-01-28,1.4166669845581055
1981-01-29,1.423611044883728
1981-01-30,1.4583330154418945
1981-02-02,1.4166669845581055
1981-02-03,1.4270830154418945
1981-02-04,1.444443941116333
1981-02-05,1.430556058883667
1981-02-06,1.4375
1981-02-09,1.381943941116333
1981-02-10,1.381943941116333
1981-02-11,1.350693941116333
1981-02-12,1.2777780294418335
1981-02-13,1.2604169845581055
1981-02-17,1.2916669845581055
1981-02-18,1.3333330154418945
1981-02-19,1.3090280294418335
1981-02-20,1.2777780294418335
1981-02-23,1.298611044883728
