,AMEH
2009-03-11,9.399999618530273
2009-03-12,9.399999618530273
2009-03-13,9.399999618530273
2009-03-16,9.399999618530273
2009-03-17,9.399999618530273
2009-03-18,9.399999618530273
2009-03-19,9.399999618530273
2009-03-20,9.399999618530273
2009-03-23,9.399999618530273
2009-03-24,9.399999618530273
2009-03-25,9.399999618530273
2009-03-26,9.399999618530273
2009-03-27,9.399999618530273
2009-03-30,9.399999618530273
2009-03-31,9.399999618530273
2009-04-01,9.399999618530273
2009-04-02,9.399999618530273
2009-04-03,9.399999618530273
2009-04-06,2.0
2009-04-07,2.0
2009-04-08,2.0
2009-04-09,2.0
2009-04-13,17.0
2009-04-14,17.0
2009-04-15,17.0
2009-04-16,17.0
2009-04-17,17.0
2009-04-20,17.0
2009-04-21,17.0
2009-04-22,17.0
2009-04-23,17.0
2009-04-24,17.0
2009-04-27,17.0
2009-04-28,17.0
2009-04-29,17.0
2009-04-30,17.0
2009-05-01,17.0
2009-05-04,17.0
2009-05-05,17.0
2009-05-06,17.0
2009-05-07,17.0
2009-05-08,17.0
2009-05-11,17.0
2009-05-12,17.0
2009-05-13,17.0
2009-05-14,17.0
2009-05-15,17.0
2009-05-18,17.0
2009-05-19,17.0
2009-05-20,17.0
2009-05-21,17.0
2009-05-22,17.0
2009-05-26,17.0
2009-05-27,17.0
2009-05-28,17.0
2009-05-29,17.0
2009-06-01,17.0
2009-06-02,17.0
2009-06-03,17.0
2009-06-04,17.0
2009-06-05,17.0
2009-06-08,17.0
2009-06-09,17.0
2009-06-10,17.0
2009-06-11,17.0
2009-06-12,17.0
2009-06-15,17.0
2009-06-16,17.0
2009-06-17,17.0
2009-06-18,17.0
2009-06-19,17.0
2009-06-22,1.2000000476837158
2009-06-23,1.100000023841858
2009-06-24,1.2000000476837158
2009-06-25,1.2000000476837158
2009-06-26,1.0
2009-06-29,1.0
2009-06-30,0.800000011920929
2009-07-01,0.6000000238418579
2009-07-02,0.6000000238418579
2009-07-06,0.5
2009-07-07,0.5
2009-07-08,0.5
2009-07-09,0.5
2009-07-10,0.4000000059604645
2009-07-13,0.4000000059604645
2009-07-14,0.4000000059604645
2009-07-15,0.4000000059604645
2009-07-16,0.30000001192092896
2009-07-17,0.20000000298023224
2009-07-20,0.10000000149011612
2009-07-21,0.10000000149011612
2009-07-22,0.10000000149011612
2009-07-23,0.10000000149011612
2009-07-24,0.10000000149011612
2009-07-27,0.10000000149011612
2009-07-28,0.10000000149011612
2009-07-29,0.10000000149011612
2009-07-30,0.10000000149011612
2009-07-31,0.10000000149011612
2009-08-03,0.10000000149011612
2009-08-04,0.10000000149011612
2009-08-05,0.10000000149011612
2009-08-06,0.10000000149011612
2009-08-07,0.10000000149011612
2009-08-10,0.10000000149011612
2009-08-11,0.10000000149011612
2009-08-12,0.20000000298023224
2009-08-13,0.20000000298023224
2009-08-14,0.30000001192092896
2009-08-17,0.30000001192092896
2009-08-18,0.30000001192092896
2009-08-19,0.4000000059604645
2009-08-20,0.4000000059604645
2009-08-21,0.4000000059604645
2009-08-24,0.4000000059604645
2009-08-25,0.4000000059604645
2009-08-26,0.4000000059604645
2009-08-27,0.4000000059604645
2009-08-28,0.4000000059604645
2009-08-31,0.30000001192092896
2009-09-01,0.30000001192092896
2009-09-02,0.30000001192092896
2009-09-03,0.30000001192092896
2009-09-04,0.30000001192092896
2009-09-08,0.4000000059604645
2009-09-09,0.4000000059604645
2009-09-10,0.4000000059604645
2009-09-11,0.4000000059604645
2009-09-14,0.4000000059604645
2009-09-15,0.4000000059604645
2009-09-16,0.4000000059604645
2009-09-17,0.4000000059604645
2009-09-18,0.4000000059604645
2009-09-21,0.4000000059604645
2009-09-22,0.4000000059604645
2009-09-23,0.4000000059604645
2009-09-24,0.4000000059604645
2009-09-25,0.4000000059604645
2009-09-28,0.4000000059604645
2009-09-29,0.4000000059604645
2009-09-30,0.4000000059604645
2009-10-01,0.4000000059604645
2009-10-02,0.4000000059604645
2009-10-05,0.4000000059604645
2009-10-06,0.4000000059604645
2009-10-07,0.4000000059604645
2009-10-08,0.4000000059604645
2009-10-09,0.4000000059604645
2009-10-12,0.4000000059604645
2009-10-13,0.4000000059604645
2009-10-14,0.4000000059604645
2009-10-15,0.4000000059604645
2009-10-16,0.699999988079071
2009-10-19,0.699999988079071
2009-10-20,0.699999988079071
2009-10-21,0.699999988079071
2009-10-22,0.4000000059604645
2009-10-23,0.4000000059604645
2009-10-26,0.4000000059604645
2009-10-27,0.4000000059604645
2009-10-28,0.4000000059604645
2009-10-29,0.5
2009-10-30,1.0
2009-11-02,1.0
2009-11-03,1.0
2009-11-04,1.0
2009-11-05,1.0
2009-11-06,1.0
2009-11-09,1.0
2009-11-10,1.0
2009-11-11,1.0
2009-11-12,0.5
2009-11-13,0.6000000238418579
2009-11-16,0.6000000238418579
2009-11-17,0.6000000238418579
2009-11-18,0.5
2009-11-19,0.5
2009-11-20,0.699999988079071
2009-11-23,0.699999988079071
