,BIGC
2020-08-05,72.2699966430664
2020-08-06,93.51000213623047
2020-08-07,79.0
2020-08-10,76.72000122070312
2020-08-11,72.56999969482422
2020-08-12,79.80000305175781
2020-08-13,76.19999694824219
2020-08-14,75.30999755859375
2020-08-17,73.68000030517578
2020-08-18,71.80000305175781
2020-08-19,65.55000305175781
2020-08-20,64.5
2020-08-21,76.0999984741211
2020-08-24,76.05000305175781
2020-08-25,104.08999633789062
2020-08-26,139.0
2020-08-27,141.0
2020-08-28,130.97999572753906
2020-08-31,117.80000305175781
2020-09-01,111.98999786376953
2020-09-02,112.0
2020-09-03,93.48999786376953
2020-09-04,106.9800033569336
2020-09-08,95.33999633789062
2020-09-09,91.5
2020-09-10,83.16000366210938
2020-09-11,82.87000274658203
2020-09-14,81.75
2020-09-15,84.37999725341797
2020-09-16,80.26000213623047
2020-09-17,74.01000213623047
2020-09-18,74.95999908447266
2020-09-21,76.0999984741211
2020-09-22,76.08999633789062
2020-09-23,78.31999969482422
2020-09-24,77.54000091552734
2020-09-25,79.98999786376953
2020-09-28,78.55000305175781
2020-09-29,87.79000091552734
2020-09-30,83.30000305175781
2020-10-01,89.16999816894531
2020-10-02,84.66999816894531
2020-10-05,92.38999938964844
2020-10-06,87.5999984741211
2020-10-07,92.80000305175781
2020-10-08,91.11000061035156
2020-10-09,97.76000213623047
2020-10-12,101.31999969482422
2020-10-13,102.13999938964844
2020-10-14,105.98999786376953
2020-10-15,105.62999725341797
2020-10-16,102.94000244140625
2020-10-19,94.73999786376953
2020-10-20,91.38999938964844
2020-10-21,95.79000091552734
2020-10-22,89.94999694824219
2020-10-23,90.11000061035156
2020-10-26,83.30999755859375
2020-10-27,83.80000305175781
2020-10-28,79.6500015258789
2020-10-29,80.5
2020-10-30,73.4000015258789
2020-11-02,72.4800033569336
2020-11-03,77.41999816894531
2020-11-04,82.5999984741211
2020-11-05,85.33999633789062
2020-11-06,79.5
2020-11-09,72.41000366210938
2020-11-10,74.62000274658203
2020-11-11,72.80000305175781
2020-11-12,73.31999969482422
2020-11-13,66.79000091552734
2020-11-16,65.54000091552734
2020-11-17,67.5
2020-11-18,67.95999908447266
2020-11-19,67.48999786376953
2020-11-20,67.62999725341797
2020-11-23,75.38999938964844
2020-11-24,80.55000305175781
2020-11-25,79.45999908447266
