,CODX
2017-07-12,5.809999942779541
2017-07-13,5.599999904632568
2017-07-14,5.605000019073486
2017-07-17,5.46999979019165
2017-07-18,4.940000057220459
2017-07-19,4.940000057220459
2017-07-20,4.869999885559082
2017-07-21,4.579999923706055
2017-07-24,4.489999771118164
2017-07-25,4.699999809265137
2017-07-26,4.599999904632568
2017-07-27,4.400000095367432
2017-07-28,4.420000076293945
2017-07-31,4.230000019073486
2017-08-01,3.9800000190734863
2017-08-02,3.8499999046325684
2017-08-03,4.360000133514404
2017-08-04,4.289999961853027
2017-08-07,3.9700000286102295
2017-08-08,3.8499999046325684
2017-08-09,3.930000066757202
2017-08-10,3.9100000858306885
2017-08-11,3.8499999046325684
2017-08-14,4.199999809265137
2017-08-15,4.900000095367432
2017-08-16,5.0
2017-08-17,4.860000133514404
2017-08-18,4.900000095367432
2017-08-21,4.809999942779541
2017-08-22,4.980000019073486
2017-08-23,4.699999809265137
2017-08-24,4.659999847412109
2017-08-25,4.510000228881836
2017-08-28,4.809999942779541
2017-08-29,5.070000171661377
2017-08-30,5.099999904632568
2017-08-31,5.579999923706055
2017-09-01,5.679999828338623
2017-09-05,5.960000038146973
2017-09-06,5.940000057220459
2017-09-07,5.599999904632568
2017-09-08,5.75
2017-09-11,5.980000019073486
2017-09-12,5.840000152587891
2017-09-13,5.670000076293945
2017-09-14,5.610000133514404
2017-09-15,5.25
2017-09-18,5.449999809265137
2017-09-19,6.119999885559082
2017-09-20,6.090000152587891
2017-09-21,6.300000190734863
2017-09-22,6.010000228881836
2017-09-25,6.019999980926514
2017-09-26,5.855000019073486
2017-09-27,6.019999980926514
2017-09-28,6.119999885559082
2017-09-29,6.25
2017-10-02,6.070000171661377
2017-10-03,5.619999885559082
2017-10-04,5.690000057220459
2017-10-05,5.690000057220459
2017-10-06,5.679999828338623
2017-10-09,5.550000190734863
2017-10-10,5.599999904632568
2017-10-11,5.550000190734863
2017-10-12,5.75
2017-10-13,5.71999979019165
2017-10-16,5.879000186920166
2017-10-17,5.960000038146973
2017-10-18,5.940000057220459
2017-10-19,6.010000228881836
2017-10-20,6.139999866485596
2017-10-23,6.349999904632568
2017-10-24,6.71999979019165
2017-10-25,6.349999904632568
2017-10-26,5.860000133514404
2017-10-27,6.0
2017-10-30,5.699999809265137
2017-10-31,5.820000171661377
2017-11-01,5.610000133514404
2017-11-02,5.659999847412109
2017-11-03,5.590000152587891
2017-11-06,5.659999847412109
2017-11-07,5.460000038146973
2017-11-08,5.53000020980835
2017-11-09,5.150000095367432
2017-11-10,5.260000228881836
2017-11-13,5.650000095367432
2017-11-14,5.550000190734863
2017-11-15,5.170000076293945
2017-11-16,5.369999885559082
2017-11-17,5.320000171661377
2017-11-20,5.170000076293945
2017-11-21,5.059999942779541
2017-11-22,5.21999979019165
2017-11-24,5.099999904632568
2017-11-27,5.289999961853027
2017-11-28,5.190000057220459
2017-11-29,5.239999771118164
2017-11-30,5.070000171661377
2017-12-01,5.139999866485596
