,CMMB
2019-02-12,172.8000030517578
2019-02-13,146.39999389648438
2019-02-14,147.1999969482422
2019-02-15,148.8000030517578
2019-02-19,144.0
2019-02-20,142.39999389648438
2019-02-21,144.8000030517578
2019-02-22,144.9600067138672
2019-02-25,134.24000549316406
2019-02-26,131.1999969482422
2019-02-27,127.83999633789062
2019-02-28,128.0
2019-03-01,127.76000213623047
2019-03-04,128.16000366210938
2019-03-05,127.69599914550781
2019-03-06,124.63999938964844
2019-03-07,125.36000061035156
2019-03-08,123.44000244140625
2019-03-11,123.02400207519531
2019-03-12,123.19999694824219
2019-03-13,120.95999908447266
2019-03-14,115.19999694824219
2019-03-15,111.83999633789062
2019-03-18,112.80000305175781
2019-03-19,112.0
2019-03-20,108.0
2019-03-21,109.90399932861328
2019-03-22,111.36000061035156
2019-03-25,112.0
2019-03-26,108.0
2019-03-27,113.44000244140625
2019-03-28,112.0
2019-03-29,108.72000122070312
2019-04-01,111.36000061035156
2019-04-02,107.04000091552734
2019-04-03,110.4000015258789
2019-04-04,105.5999984741211
2019-04-05,104.0
2019-04-08,109.68000030517578
2019-04-09,104.31999969482422
2019-04-10,106.72000122070312
2019-04-11,101.76000213623047
2019-04-12,100.80000305175781
2019-04-15,100.16000366210938
2019-04-16,106.23999786376953
2019-04-17,95.83999633789062
2019-04-18,97.5999984741211
2019-04-22,92.4800033569336
2019-04-23,93.76000213623047
2019-04-24,92.80000305175781
2019-04-25,93.79199981689453
2019-04-26,93.76000213623047
2019-04-29,95.36000061035156
2019-04-30,93.19999694824219
2019-05-01,96.0
2019-05-02,95.93599700927734
2019-05-03,91.68000030517578
2019-05-06,91.68000030517578
2019-05-07,95.19999694824219
2019-05-08,94.75199890136719
2019-05-09,88.63999938964844
2019-05-10,88.63999938964844
2019-05-13,91.19999694824219
2019-05-14,90.38400268554688
2019-05-15,90.447998046875
2019-05-16,90.08000183105469
2019-05-17,84.65599822998047
2019-05-20,82.4000015258789
2019-05-21,87.04000091552734
2019-05-22,83.85600280761719
2019-05-23,80.31999969482422
2019-05-24,79.19999694824219
2019-05-28,76.72000122070312
2019-05-29,78.55999755859375
2019-05-30,79.68000030517578
2019-05-31,80.0
2019-06-03,78.4000015258789
2019-06-04,76.80000305175781
2019-06-05,79.5199966430664
2019-06-06,74.23999786376953
2019-06-07,73.44000244140625
2019-06-10,74.4000015258789
2019-06-11,68.95999908447266
2019-06-12,61.7599983215332
2019-06-13,70.06400299072266
2019-06-14,68.0
2019-06-17,68.80000305175781
2019-06-18,73.5999984741211
2019-06-19,73.5999984741211
2019-06-20,72.0
2019-06-21,72.0
2019-06-24,71.19999694824219
2019-06-25,68.0
2019-06-26,68.63999938964844
2019-06-27,71.04000091552734
2019-06-28,71.68000030517578
2019-07-01,71.68000030517578
2019-07-02,68.16000366210938
2019-07-03,71.61599731445312
2019-07-05,71.23200225830078
2019-07-08,71.23200225830078
2019-07-09,70.72000122070312
2019-07-10,72.95999908447266
2019-07-11,72.80000305175781
2019-07-12,74.23999786376953
2019-07-15,68.80000305175781
2019-07-16,67.68000030517578
2019-07-17,67.68000030517578
2019-07-18,68.80000305175781
2019-07-19,68.0
2019-07-22,72.4800033569336
2019-07-23,65.5999984741211
2019-07-24,61.119998931884766
2019-07-25,57.599998474121094
2019-07-26,57.279998779296875
2019-07-29,53.599998474121094
2019-07-30,50.47999954223633
2019-07-31,47.52000045776367
2019-08-01,45.279998779296875
2019-08-02,51.040000915527344
2019-08-05,52.0
2019-08-06,48.08000183105469
2019-08-07,50.400001525878906
2019-08-08,44.959999084472656
2019-08-09,43.52000045776367
2019-08-12,41.119998931884766
2019-08-13,44.63999938964844
2019-08-14,40.79999923706055
2019-08-15,37.52000045776367
2019-08-16,37.91999816894531
2019-08-19,33.91999816894531
2019-08-20,38.06399917602539
2019-08-21,38.880001068115234
2019-08-22,39.040000915527344
2019-08-23,37.91999816894531
2019-08-26,36.79999923706055
2019-08-27,36.63999938964844
2019-08-28,36.79999923706055
2019-08-29,35.84000015258789
2019-08-30,39.52000045776367
2019-09-03,38.560001373291016
2019-09-04,38.400001525878906
2019-09-05,39.36000061035156
2019-09-06,39.52000045776367
2019-09-09,37.119998931884766
2019-09-10,40.75199890136719
2019-09-11,42.880001068115234
2019-09-12,41.599998474121094
2019-09-13,40.47999954223633
2019-09-16,38.895999908447266
2019-09-17,38.09600067138672
2019-09-18,37.3120002746582
2019-09-19,40.15999984741211
2019-09-20,40.720001220703125
2019-09-23,42.720001220703125
2019-09-24,42.560001373291016
2019-09-25,39.20000076293945
2019-09-26,38.2400016784668
2019-09-27,36.79999923706055
2019-09-30,36.784000396728516
2019-10-01,36.15999984741211
2019-10-02,36.79999923706055
2019-10-03,35.91999816894531
2019-10-04,34.560001373291016
2019-10-07,35.040000915527344
2019-10-08,35.119998931884766
2019-10-09,35.34400177001953
2019-10-10,34.560001373291016
2019-10-11,35.7760009765625
2019-10-14,35.68000030517578
2019-10-15,34.08000183105469
2019-10-16,34.08000183105469
2019-10-17,34.720001220703125
2019-10-18,36.47999954223633
2019-10-21,34.720001220703125
2019-10-22,36.0
2019-10-23,34.880001068115234
2019-10-24,34.400001525878906
2019-10-25,37.439998626708984
2019-10-28,35.20000076293945
2019-10-29,35.52000045776367
2019-10-30,35.52000045776367
2019-10-31,36.959999084472656
2019-11-01,39.68000030517578
2019-11-04,39.52000045776367
2019-11-05,38.4640007019043
2019-11-06,37.439998626708984
2019-11-07,36.959999084472656
2019-11-08,37.91999816894531
2019-11-11,36.75199890136719
2019-11-12,36.0
2019-11-13,37.279998779296875
2019-11-14,37.279998779296875
2019-11-15,30.719999313354492
2019-11-18,25.440000534057617
2019-11-19,23.472000122070312
2019-11-20,21.600000381469727
2019-11-21,20.399999618530273
2019-11-22,21.920000076293945
2019-11-25,21.535999298095703
2019-11-26,21.215999603271484
2019-11-27,21.711999893188477
2019-11-29,22.559999465942383
2019-12-02,22.079999923706055
2019-12-03,28.799999237060547
2019-12-04,26.559999465942383
2019-12-05,25.760000228881836
