,AMRS
2010-09-28,247.5
2010-09-29,252.75
2010-09-30,258.75
2010-10-01,258.45001220703125
2010-10-04,255.89999389648438
2010-10-05,263.3999938964844
2010-10-06,256.5
2010-10-07,256.04998779296875
2010-10-08,256.95001220703125
2010-10-11,265.3500061035156
2010-10-12,266.3999938964844
2010-10-13,258.29998779296875
2010-10-14,257.54998779296875
2010-10-15,263.3999938964844
2010-10-18,259.95001220703125
2010-10-19,255.75
2010-10-20,256.6499938964844
2010-10-21,256.5
2010-10-22,258.45001220703125
2010-10-25,257.25
2010-10-26,256.5
2010-10-27,256.6499938964844
2010-10-28,256.5
2010-10-29,256.20001220703125
2010-11-01,256.20001220703125
2010-11-02,256.79998779296875
2010-11-03,255.89999389648438
2010-11-04,256.5
2010-11-05,259.5
2010-11-08,257.70001220703125
2010-11-09,262.20001220703125
2010-11-10,282.45001220703125
2010-11-11,276.1499938964844
2010-11-12,301.6499938964844
2010-11-15,288.45001220703125
2010-11-16,274.79998779296875
2010-11-17,272.54998779296875
2010-11-18,294.29998779296875
2010-11-19,290.1000061035156
2010-11-22,290.3999938964844
2010-11-23,300.1499938964844
2010-11-24,305.1000061035156
2010-11-26,302.3999938964844
2010-11-29,298.95001220703125
2010-11-30,308.70001220703125
2010-12-01,323.70001220703125
2010-12-02,320.1000061035156
2010-12-03,322.5
2010-12-06,340.95001220703125
2010-12-07,357.1499938964844
2010-12-08,351.29998779296875
2010-12-09,352.79998779296875
2010-12-10,363.0
2010-12-13,347.25
2010-12-14,333.45001220703125
2010-12-15,321.6000061035156
2010-12-16,333.6000061035156
2010-12-17,329.54998779296875
2010-12-20,346.04998779296875
2010-12-21,339.8999938964844
2010-12-22,362.70001220703125
2010-12-23,361.6499938964844
2010-12-27,359.25
2010-12-28,362.25
2010-12-29,408.75
2010-12-30,399.45001220703125
2010-12-31,400.20001220703125
2011-01-03,409.20001220703125
2011-01-04,410.1000061035156
2011-01-05,416.8500061035156
2011-01-06,414.45001220703125
2011-01-07,419.70001220703125
2011-01-10,444.6000061035156
2011-01-11,449.25
2011-01-12,453.29998779296875
2011-01-13,478.6499938964844
2011-01-14,481.5
2011-01-18,457.3500061035156
2011-01-19,465.8999938964844
2011-01-20,474.75
2011-01-21,492.1499938964844
2011-01-24,496.3500061035156
2011-01-25,493.79998779296875
2011-01-26,500.54998779296875
2011-01-27,507.8999938964844
2011-01-28,466.95001220703125
2011-01-31,473.3999938964844
2011-02-01,483.0
2011-02-02,507.29998779296875
2011-02-03,506.54998779296875
2011-02-04,500.54998779296875
2011-02-07,486.1499938964844
2011-02-08,466.20001220703125
2011-02-09,463.5
2011-02-10,454.20001220703125
2011-02-11,480.0
2011-02-14,478.79998779296875
2011-02-15,475.79998779296875
2011-02-16,461.1000061035156
2011-02-17,475.5
2011-02-18,454.20001220703125
2011-02-22,450.0
2011-02-23,443.1000061035156
2011-02-24,469.6499938964844
2011-02-25,490.04998779296875
2011-02-28,487.3500061035156
2011-03-01,457.3500061035156
2011-03-02,454.5
2011-03-03,476.3999938964844
2011-03-04,475.95001220703125
2011-03-07,472.5
2011-03-08,479.54998779296875
2011-03-09,475.20001220703125
2011-03-10,472.5
2011-03-11,462.6000061035156
2011-03-14,461.8500061035156
2011-03-15,452.54998779296875
2011-03-16,448.95001220703125
2011-03-17,458.8500061035156
2011-03-18,467.3999938964844
2011-03-21,475.6499938964844
2011-03-22,471.6000061035156
2011-03-23,469.79998779296875
2011-03-24,463.79998779296875
2011-03-25,443.70001220703125
2011-03-28,408.75
2011-03-29,421.04998779296875
2011-03-30,424.79998779296875
2011-03-31,428.1000061035156
2011-04-01,415.95001220703125
2011-04-04,402.0
2011-04-05,417.1499938964844
2011-04-06,419.8500061035156
2011-04-07,411.0
2011-04-08,412.04998779296875
2011-04-11,406.95001220703125
2011-04-12,401.70001220703125
2011-04-13,400.5
2011-04-14,399.1499938964844
2011-04-15,402.6000061035156
2011-04-18,397.5
2011-04-19,397.3500061035156
2011-04-20,400.3500061035156
2011-04-21,399.0
2011-04-25,401.25
2011-04-26,398.8500061035156
2011-04-27,400.95001220703125
2011-04-28,397.5
2011-04-29,396.45001220703125
2011-05-02,397.5
2011-05-03,394.95001220703125
2011-05-04,390.8999938964844
2011-05-05,386.25
2011-05-06,384.29998779296875
2011-05-09,367.95001220703125
2011-05-10,373.95001220703125
2011-05-11,386.1000061035156
2011-05-12,387.45001220703125
2011-05-13,405.75
2011-05-16,397.5
2011-05-17,413.25
2011-05-18,413.1000061035156
2011-05-19,419.8500061035156
2011-05-20,428.54998779296875
2011-05-23,420.0
2011-05-24,418.79998779296875
2011-05-25,430.79998779296875
2011-05-26,442.79998779296875
2011-05-27,439.3500061035156
2011-05-31,442.6499938964844
2011-06-01,432.6000061035156
2011-06-02,439.6499938964844
2011-06-03,439.5
2011-06-06,439.5
2011-06-07,440.3999938964844
2011-06-08,432.75
2011-06-09,430.5
2011-06-10,434.54998779296875
2011-06-13,429.1499938964844
2011-06-14,437.1000061035156
2011-06-15,432.75
2011-06-16,435.75
2011-06-17,431.8500061035156
2011-06-20,444.75
2011-06-21,442.04998779296875
2011-06-22,440.3999938964844
2011-06-23,436.79998779296875
2011-06-24,451.79998779296875
2011-06-27,441.0
2011-06-28,438.45001220703125
2011-06-29,423.45001220703125
2011-06-30,421.3500061035156
2011-07-01,422.3999938964844
2011-07-05,422.70001220703125
2011-07-06,426.0
2011-07-07,424.5
2011-07-08,429.6000061035156
2011-07-11,419.3999938964844
2011-07-12,406.04998779296875
2011-07-13,404.1000061035156
2011-07-14,388.95001220703125
2011-07-15,399.1499938964844
2011-07-18,371.3999938964844
2011-07-19,367.5
