,AFCG
2021-03-19,23.0
2021-03-22,21.899999618530273
2021-03-23,21.200000762939453
2021-03-24,21.0
2021-03-25,20.299999237060547
2021-03-26,20.790000915527344
2021-03-29,21.25
2021-03-30,20.81999969482422
2021-03-31,21.0
2021-04-01,21.1299991607666
2021-04-05,21.600000381469727
2021-04-06,21.510000228881836
2021-04-07,21.639999389648438
2021-04-08,22.700000762939453
2021-04-09,22.389999389648438
2021-04-12,22.979999542236328
2021-04-13,22.739999771118164
2021-04-14,23.0
2021-04-15,22.530000686645508
2021-04-16,21.190000534057617
2021-04-19,20.989999771118164
2021-04-20,21.040000915527344
2021-04-21,21.40999984741211
2021-04-22,21.690000534057617
2021-04-23,23.049999237060547
2021-04-26,22.75
2021-04-27,22.81999969482422
2021-04-28,22.969999313354492
2021-04-29,22.959999084472656
2021-04-30,22.719999313354492
2021-05-03,22.299999237060547
2021-05-04,21.950000762939453
2021-05-05,24.200000762939453
2021-05-06,22.600000381469727
2021-05-07,23.280000686645508
2021-05-10,21.760000228881836
2021-05-11,22.440000534057617
2021-05-12,22.799999237060547
2021-05-13,22.610000610351562
2021-05-14,22.670000076293945
