,COLI
2021-04-19,9.899999618530273
2021-04-20,9.899999618530273
2021-04-21,9.770000457763672
2021-04-22,9.800000190734863
2021-04-23,9.850000381469727
2021-04-26,9.779999732971191
2021-04-27,9.8100004196167
2021-04-28,9.819999694824219
2021-04-29,9.869999885559082
2021-04-30,9.836000442504883
2021-05-03,9.819999694824219
2021-05-04,9.800000190734863
2021-05-05,9.989999771118164
2021-05-06,9.833999633789062
2021-05-07,9.800000190734863
2021-05-10,9.814000129699707
2021-05-11,9.8100004196167
2021-05-12,9.819999694824219
2021-05-13,9.800000190734863
2021-05-14,9.779999732971191
