,CMCT
1995-02-09,196.875
1995-02-10,202.5
1995-02-13,198.75
1995-02-14,200.625
1995-02-15,196.875
1995-02-16,195.0
1995-02-17,196.875
1995-02-21,193.125
1995-02-22,191.25
1995-02-23,193.125
1995-02-24,189.375
1995-02-27,187.5
1995-02-28,191.25
1995-03-01,187.5
1995-03-02,189.375
1995-03-03,191.25
1995-03-06,195.0
1995-03-07,200.625
1995-03-08,200.625
1995-03-09,202.5
1995-03-10,202.5
1995-03-13,200.625
1995-03-14,204.375
1995-03-15,204.375
1995-03-16,204.375
1995-03-17,202.5
1995-03-20,204.375
1995-03-21,204.375
1995-03-22,204.375
1995-03-23,208.125
1995-03-24,202.5
1995-03-27,195.0
1995-03-28,191.25
1995-03-29,187.5
1995-03-30,191.25
1995-03-31,189.375
1995-04-03,195.0
1995-04-04,191.25
1995-04-05,189.375
1995-04-06,187.5
1995-04-07,191.25
1995-04-10,191.25
1995-04-11,187.5
1995-04-12,189.375
1995-04-13,187.5
1995-04-17,189.375
1995-04-18,189.375
1995-04-19,185.625
1995-04-20,185.625
1995-04-21,189.375
1995-04-24,191.25
1995-04-25,189.375
1995-04-26,193.125
1995-04-27,198.75
1995-04-28,200.625
1995-05-01,202.5
1995-05-02,204.375
1995-05-03,202.5
1995-05-04,204.375
1995-05-05,204.375
1995-05-08,210.0
1995-05-09,211.875
1995-05-10,213.75
1995-05-11,215.625
1995-05-12,217.5
1995-05-15,210.0
1995-05-16,213.75
1995-05-17,219.375
1995-05-18,219.375
1995-05-19,217.5
1995-05-22,217.5
1995-05-23,217.5
1995-05-24,219.375
1995-05-25,213.75
1995-05-26,213.75
1995-05-30,213.75
1995-05-31,210.0
1995-06-01,210.0
1995-06-02,208.125
1995-06-05,210.0
1995-06-06,210.0
1995-06-07,206.25
1995-06-08,208.125
1995-06-09,211.875
1995-06-12,211.875
1995-06-13,213.75
1995-06-14,215.625
1995-06-15,215.625
1995-06-16,213.75
1995-06-19,219.375
1995-06-20,219.375
1995-06-21,217.5
1995-06-22,223.125
1995-06-23,226.875
1995-06-26,223.125
1995-06-27,219.375
1995-06-28,215.625
1995-06-29,219.375
1995-06-30,219.375
1995-07-03,221.25
1995-07-05,223.125
1995-07-06,223.125
1995-07-07,221.25
1995-07-10,221.25
1995-07-11,223.125
1995-07-12,221.25
1995-07-13,221.25
1995-07-14,223.125
1995-07-17,223.125
1995-07-18,221.25
1995-07-19,219.375
1995-07-20,219.375
1995-07-21,215.625
1995-07-24,213.75
1995-07-25,217.5
1995-07-26,215.625
1995-07-27,215.625
1995-07-28,215.625
1995-07-31,215.625
1995-08-01,211.875
1995-08-02,210.0
1995-08-03,208.125
1995-08-04,210.0
1995-08-07,210.0
1995-08-08,210.0
1995-08-09,210.0
1995-08-10,211.875
1995-08-11,217.5
1995-08-14,217.5
1995-08-15,221.25
1995-08-16,223.125
1995-08-17,221.25
1995-08-18,219.375
1995-08-21,225.0
1995-08-22,223.125
1995-08-23,226.875
1995-08-24,223.125
1995-08-25,223.125
1995-08-28,223.125
1995-08-29,223.125
1995-08-30,223.125
1995-08-31,225.0
1995-09-01,225.0
1995-09-05,221.25
1995-09-06,221.25
1995-09-07,211.875
1995-09-08,219.375
1995-09-11,215.625
1995-09-12,215.625
1995-09-13,215.625
1995-09-14,221.25
1995-09-15,221.25
1995-09-18,219.375
1995-09-19,221.25
1995-09-20,223.125
1995-09-21,221.25
1995-09-22,219.375
1995-09-25,221.25
1995-09-26,225.0
1995-09-27,221.25
1995-09-28,217.5
1995-09-29,217.5
1995-10-02,219.375
1995-10-03,219.375
1995-10-04,217.5
1995-10-05,215.625
1995-10-06,217.5
1995-10-09,217.5
1995-10-10,213.75
1995-10-11,215.625
1995-10-12,219.375
1995-10-13,217.5
1995-10-16,219.375
1995-10-17,215.625
1995-10-18,219.375
1995-10-19,221.25
1995-10-20,221.25
1995-10-23,223.125
1995-10-24,223.125
1995-10-25,221.25
1995-10-26,225.0
1995-10-27,225.0
1995-10-30,221.25
1995-10-31,221.25
1995-11-01,221.25
1995-11-02,223.125
1995-11-03,223.125
1995-11-06,225.0
1995-11-07,226.875
1995-11-08,221.25
1995-11-09,226.875
1995-11-10,225.0
1995-11-13,225.0
1995-11-14,226.875
1995-11-15,228.75
1995-11-16,228.75
1995-11-17,234.375
1995-11-20,230.625
1995-11-21,232.5
1995-11-22,234.375
1995-11-24,236.25
1995-11-27,232.5
1995-11-28,230.625
1995-11-29,230.625
1995-11-30,230.625
1995-12-01,230.625
1995-12-04,230.625
1995-12-05,230.625
1995-12-06,232.5
1995-12-07,230.625
1995-12-08,232.5
1995-12-11,232.5
1995-12-12,232.5
1995-12-13,232.5
1995-12-14,232.5
1995-12-15,238.125
1995-12-18,238.125
1995-12-19,240.0
1995-12-20,241.875
1995-12-21,249.375
1995-12-22,255.0
1995-12-26,256.875
1995-12-27,243.75
1995-12-28,245.625
1995-12-29,243.75
1996-01-02,238.125
1996-01-03,240.0
1996-01-04,241.875
1996-01-05,240.0
1996-01-08,240.0
1996-01-09,236.25
1996-01-10,238.125
1996-01-11,240.0
1996-01-12,241.875
1996-01-15,241.875
1996-01-16,240.0
1996-01-17,243.75
1996-01-18,243.75
1996-01-19,247.5
1996-01-22,243.75
1996-01-23,247.5
1996-01-24,249.375
1996-01-25,253.125
1996-01-26,251.25
1996-01-29,249.375
1996-01-30,245.625
1996-01-31,243.75
1996-02-01,245.625
1996-02-02,245.625
1996-02-05,245.625
1996-02-06,245.625
1996-02-07,240.0
1996-02-08,238.125
1996-02-09,240.0
1996-02-12,243.75
1996-02-13,241.875
1996-02-14,245.625
1996-02-15,241.875
1996-02-16,245.625
1996-02-20,245.625
1996-02-21,243.75
1996-02-22,251.25
1996-02-23,251.25
1996-02-26,251.25
1996-02-27,249.375
1996-02-28,249.375
1996-02-29,251.25
1996-03-01,249.375
1996-03-04,251.25
1996-03-05,256.875
1996-03-06,258.75
1996-03-07,255.0
1996-03-08,255.0
1996-03-11,258.75
1996-03-12,256.875
1996-03-13,262.5
1996-03-14,262.5
1996-03-15,262.5
1996-03-18,260.625
1996-03-19,258.75
1996-03-20,256.875
1996-03-21,260.625
1996-03-22,264.375
1996-03-25,266.25
1996-03-26,258.75
1996-03-27,256.875
1996-03-28,260.625
1996-03-29,260.625
1996-04-01,260.625
1996-04-02,255.0
1996-04-03,255.0
1996-04-04,256.875
1996-04-08,253.125
1996-04-09,255.0
1996-04-10,255.0
1996-04-11,255.0
1996-04-12,255.0
1996-04-15,255.0
1996-04-16,256.875
1996-04-17,255.0
1996-04-18,253.125
1996-04-19,253.125
1996-04-22,253.125
1996-04-23,253.125
1996-04-24,249.375
1996-04-25,247.5
1996-04-26,249.375
1996-04-29,247.5
1996-04-30,245.625
1996-05-01,241.875
1996-05-02,240.0
1996-05-03,232.5
1996-05-06,234.375
1996-05-07,232.5
1996-05-08,232.5
1996-05-09,236.25
1996-05-10,240.0
1996-05-13,240.0
1996-05-14,240.0
1996-05-15,241.875
1996-05-16,241.875
1996-05-17,240.0
1996-05-20,238.125
1996-05-21,240.0
1996-05-22,240.0
1996-05-23,241.875
1996-05-24,243.75
1996-05-28,241.875
1996-05-29,245.625
1996-05-30,247.5
1996-05-31,247.5
1996-06-03,241.875
1996-06-04,245.625
1996-06-05,240.0
1996-06-06,241.875
1996-06-07,241.875
1996-06-10,240.0
1996-06-11,240.0
1996-06-12,240.0
1996-06-13,243.75
1996-06-14,243.75
1996-06-17,245.625
1996-06-18,243.75
1996-06-19,241.875
1996-06-20,243.75
1996-06-21,249.375
1996-06-24,247.5
1996-06-25,240.0
1996-06-26,234.375
1996-06-27,230.625
1996-06-28,232.5
1996-07-01,232.5
1996-07-02,232.5
1996-07-03,234.375
1996-07-05,230.625
1996-07-08,230.625
1996-07-09,230.625
1996-07-10,230.625
1996-07-11,230.625
1996-07-12,232.5
1996-07-15,232.5
1996-07-16,232.5
1996-07-17,230.625
1996-07-18,228.75
1996-07-19,232.5
1996-07-22,232.5
1996-07-23,226.875
1996-07-24,226.875
1996-07-25,228.75
1996-07-26,219.375
1996-07-29,225.0
1996-07-30,228.75
1996-07-31,228.75
1996-08-01,232.5
1996-08-02,232.5
1996-08-05,232.5
1996-08-06,240.0
1996-08-07,238.125
1996-08-08,234.375
1996-08-09,240.0
1996-08-12,243.75
1996-08-13,240.0
1996-08-14,243.75
1996-08-15,241.875
1996-08-16,243.75
1996-08-19,243.75
1996-08-20,241.875
1996-08-21,243.75
1996-08-22,241.875
1996-08-23,245.625
1996-08-26,245.625
1996-08-27,243.75
1996-08-28,243.75
1996-08-29,245.625
1996-08-30,241.875
1996-09-03,240.0
1996-09-04,241.875
1996-09-05,240.0
1996-09-06,240.0
1996-09-09,240.0
1996-09-10,245.625
1996-09-11,243.75
1996-09-12,247.5
1996-09-13,245.625
1996-09-16,245.625
1996-09-17,249.375
1996-09-18,249.375
1996-09-19,249.375
1996-09-20,251.25
1996-09-23,251.25
1996-09-24,249.375
1996-09-25,251.25
1996-09-26,241.875
1996-09-27,241.875
1996-09-30,241.875
1996-10-01,241.875
1996-10-02,241.875
1996-10-03,241.875
1996-10-04,240.0
1996-10-07,241.875
1996-10-08,241.875
1996-10-09,243.75
1996-10-10,245.625
1996-10-11,247.5
1996-10-14,247.5
1996-10-15,245.625
1996-10-16,245.625
1996-10-17,249.375
1996-10-18,245.625
1996-10-21,245.625
1996-10-22,243.75
1996-10-23,247.5
1996-10-24,243.75
1996-10-25,247.5
1996-10-28,241.875
1996-10-29,243.75
1996-10-30,243.75
1996-10-31,245.625
1996-11-01,241.875
1996-11-04,241.875
1996-11-05,241.875
1996-11-06,241.875
1996-11-07,240.0
1996-11-08,243.75
1996-11-11,247.5
1996-11-12,249.375
1996-11-13,251.25
1996-11-14,249.375
1996-11-15,247.5
1996-11-18,249.375
1996-11-19,249.375
1996-11-20,245.625
1996-11-21,247.5
1996-11-22,251.25
1996-11-25,255.0
1996-11-26,253.125
1996-11-27,253.125
1996-11-29,251.25
1996-12-02,256.875
1996-12-03,256.875
1996-12-04,253.125
1996-12-05,255.0
1996-12-06,251.25
1996-12-09,256.875
1996-12-10,255.0
1996-12-11,251.25
1996-12-12,253.125
1996-12-13,255.0
1996-12-16,256.875
1996-12-17,260.625
1996-12-18,258.75
