,ESTA
2018-07-19,24.75
2018-07-20,26.389999389648438
2018-07-23,26.979999542236328
2018-07-24,26.25
2018-07-25,25.299999237060547
2018-07-26,25.149999618530273
2018-07-27,24.93000030517578
2018-07-30,24.670000076293945
2018-07-31,26.020000457763672
2018-08-01,26.079999923706055
2018-08-02,25.43000030517578
2018-08-03,25.350000381469727
2018-08-06,25.5
2018-08-07,25.479999542236328
2018-08-08,25.760000228881836
2018-08-09,25.8700008392334
2018-08-10,26.549999237060547
2018-08-13,27.219999313354492
2018-08-14,25.670000076293945
2018-08-15,26.479999542236328
2018-08-16,26.219999313354492
2018-08-17,26.440000534057617
2018-08-20,25.239999771118164
2018-08-21,25.149999618530273
2018-08-22,24.989999771118164
2018-08-23,25.190000534057617
2018-08-24,25.469999313354492
2018-08-27,25.510000228881836
2018-08-28,26.0
2018-08-29,26.65999984741211
2018-08-30,27.700000762939453
2018-08-31,27.75
2018-09-04,28.25
2018-09-05,27.020000457763672
2018-09-06,26.479999542236328
2018-09-07,26.639999389648438
2018-09-10,26.100000381469727
2018-09-11,26.100000381469727
2018-09-12,26.770000457763672
2018-09-13,26.299999237060547
2018-09-14,25.84000015258789
2018-09-17,25.479999542236328
2018-09-18,24.3799991607666
2018-09-19,24.0
2018-09-20,23.649999618530273
2018-09-21,24.299999237060547
2018-09-24,23.5
2018-09-25,24.34000015258789
2018-09-26,24.049999237060547
2018-09-27,23.350000381469727
2018-09-28,24.100000381469727
2018-10-01,24.06999969482422
2018-10-02,24.040000915527344
2018-10-03,23.709999084472656
2018-10-04,23.440000534057617
2018-10-05,23.75
2018-10-08,23.489999771118164
2018-10-09,23.739999771118164
2018-10-10,22.889999389648438
2018-10-11,22.75
2018-10-12,22.979999542236328
2018-10-15,22.639999389648438
2018-10-16,23.760000228881836
2018-10-17,24.200000762939453
2018-10-18,23.65999984741211
2018-10-19,23.850000381469727
2018-10-22,23.799999237060547
2018-10-23,23.0
2018-10-24,22.59000015258789
2018-10-25,22.149999618530273
2018-10-26,21.989999771118164
2018-10-29,21.09000015258789
2018-10-30,21.540000915527344
2018-10-31,22.81999969482422
2018-11-01,23.860000610351562
2018-11-02,24.219999313354492
2018-11-05,25.280000686645508
2018-11-06,25.389999389648438
2018-11-07,25.670000076293945
2018-11-08,25.290000915527344
2018-11-09,25.989999771118164
2018-11-12,25.0
2018-11-13,27.0
2018-11-14,27.56999969482422
2018-11-15,27.06999969482422
2018-11-16,26.1200008392334
2018-11-19,25.360000610351562
2018-11-20,26.229999542236328
2018-11-21,25.8799991607666
2018-11-23,24.899999618530273
2018-11-26,26.5
2018-11-27,27.110000610351562
2018-11-28,26.5
2018-11-29,26.260000228881836
2018-11-30,25.8799991607666
2018-12-03,25.940000534057617
2018-12-04,26.469999313354492
2018-12-06,26.610000610351562
2018-12-07,26.399999618530273
2018-12-10,25.309999465942383
2018-12-11,24.8700008392334
2018-12-12,23.350000381469727
2018-12-13,23.459999084472656
2018-12-14,23.6200008392334
2018-12-17,22.719999313354492
2018-12-18,22.239999771118164
2018-12-19,22.989999771118164
2018-12-20,22.799999237060547
2018-12-21,22.1299991607666
2018-12-24,21.93000030517578
2018-12-26,24.059999465942383
2018-12-27,26.8700008392334
2018-12-28,25.850000381469727
2018-12-31,27.420000076293945
2019-01-02,28.0
2019-01-03,26.0
2019-01-04,26.010000228881836
2019-01-07,26.979999542236328
2019-01-08,25.850000381469727
2019-01-09,26.020000457763672
2019-01-10,27.479999542236328
2019-01-11,27.399999618530273
2019-01-14,26.329999923706055
2019-01-15,26.68000030517578
2019-01-16,27.170000076293945
2019-01-17,26.739999771118164
2019-01-18,26.700000762939453
2019-01-22,27.309999465942383
2019-01-23,27.0
2019-01-24,26.6299991607666
2019-01-25,27.549999237060547
2019-01-28,27.0
2019-01-29,27.299999237060547
2019-01-30,27.1299991607666
2019-01-31,26.510000228881836
2019-02-01,26.670000076293945
2019-02-04,26.309999465942383
2019-02-05,26.969999313354492
2019-02-06,25.829999923706055
2019-02-07,26.350000381469727
2019-02-08,25.920000076293945
2019-02-11,26.020000457763672
2019-02-12,25.40999984741211
2019-02-13,25.450000762939453
2019-02-14,25.100000381469727
2019-02-15,25.65999984741211
2019-02-19,25.65999984741211
2019-02-20,26.25
2019-02-21,26.200000762939453
2019-02-22,26.010000228881836
2019-02-25,26.309999465942383
2019-02-26,26.610000610351562
2019-02-27,25.90999984741211
2019-02-28,25.559999465942383
2019-03-01,26.799999237060547
2019-03-04,26.719999313354492
2019-03-05,27.100000381469727
2019-03-06,26.100000381469727
2019-03-07,26.739999771118164
2019-03-08,26.850000381469727
2019-03-11,27.149999618530273
2019-03-12,27.15999984741211
2019-03-13,27.979999542236328
2019-03-14,27.860000610351562
2019-03-15,27.90999984741211
2019-03-18,27.459999084472656
2019-03-19,27.510000228881836
2019-03-20,28.270000457763672
2019-03-21,27.0
2019-03-22,26.690000534057617
2019-03-25,26.149999618530273
2019-03-26,24.610000610351562
2019-03-27,25.1299991607666
2019-03-28,25.5
2019-03-29,24.040000915527344
2019-04-01,25.290000915527344
2019-04-02,24.149999618530273
2019-04-03,24.06999969482422
2019-04-04,23.889999389648438
2019-04-05,24.920000076293945
2019-04-08,25.010000228881836
2019-04-09,24.450000762939453
2019-04-10,23.510000228881836
2019-04-11,21.170000076293945
2019-04-12,22.010000228881836
2019-04-15,22.079999923706055
2019-04-16,22.299999237060547
2019-04-17,22.200000762939453
2019-04-18,23.329999923706055
2019-04-22,23.09000015258789
2019-04-23,23.299999237060547
2019-04-24,23.15999984741211
2019-04-25,25.25
2019-04-26,26.440000534057617
2019-04-29,26.280000686645508
2019-04-30,25.1299991607666
2019-05-01,25.0
2019-05-02,25.479999542236328
2019-05-03,25.989999771118164
2019-05-06,26.719999313354492
2019-05-07,26.540000915527344
2019-05-08,26.34000015258789
2019-05-09,26.440000534057617
2019-05-10,26.399999618530273
2019-05-13,26.440000534057617
2019-05-14,26.34000015258789
2019-05-15,26.540000915527344
2019-05-16,26.729999542236328
2019-05-17,26.09000015258789
2019-05-20,26.25
2019-05-21,25.739999771118164
2019-05-22,24.440000534057617
2019-05-23,23.030000686645508
2019-05-24,24.34000015258789
2019-05-28,24.09000015258789
2019-05-29,23.469999313354492
2019-05-30,23.31999969482422
2019-05-31,22.850000381469727
2019-06-03,23.049999237060547
2019-06-04,23.290000915527344
2019-06-05,22.75
2019-06-06,22.219999313354492
2019-06-07,22.979999542236328
2019-06-10,22.399999618530273
2019-06-11,22.649999618530273
2019-06-12,22.309999465942383
2019-06-13,22.049999237060547
2019-06-14,22.139999389648438
2019-06-17,22.0
2019-06-18,22.450000762939453
2019-06-19,22.459999084472656
2019-06-20,22.559999465942383
2019-06-21,22.25
2019-06-24,21.860000610351562
2019-06-25,21.6200008392334
2019-06-26,21.0
2019-06-27,21.010000228881836
2019-06-28,21.989999771118164
2019-07-01,21.479999542236328
2019-07-02,20.940000534057617
2019-07-03,21.09000015258789
2019-07-05,20.899999618530273
2019-07-08,21.709999084472656
