,BSMO
2019-09-26,25.030000686645508
2019-09-27,25.030000686645508
2019-09-30,25.030000686645508
2019-10-01,25.030000686645508
2019-10-02,25.030000686645508
2019-10-03,25.030000686645508
2019-10-04,25.030000686645508
2019-10-07,25.030000686645508
2019-10-08,25.030000686645508
2019-10-09,25.030000686645508
2019-10-10,25.030000686645508
2019-10-11,25.030000686645508
2019-10-14,25.07699966430664
2019-10-15,25.075000762939453
2019-10-16,25.079999923706055
2019-10-17,25.079999923706055
2019-10-18,25.049999237060547
2019-10-21,25.0
2019-10-22,24.979999542236328
2019-10-23,24.985000610351562
2019-10-24,24.982999801635742
2019-10-25,24.982999801635742
2019-10-28,24.969999313354492
2019-10-29,24.979999542236328
2019-10-30,24.975000381469727
2019-10-31,25.0310001373291
2019-11-01,25.0310001373291
2019-11-04,25.0310001373291
2019-11-05,25.0
2019-11-06,25.020000457763672
2019-11-07,25.020000457763672
2019-11-08,25.020000457763672
2019-11-11,25.020000457763672
2019-11-12,25.020000457763672
2019-11-13,24.96500015258789
2019-11-14,24.993000030517578
2019-11-15,24.993000030517578
2019-11-18,24.975000381469727
2019-11-19,24.985000610351562
2019-11-20,25.030000686645508
2019-11-21,25.0
2019-11-22,25.010000228881836
2019-11-25,25.014999389648438
2019-11-26,25.020000457763672
2019-11-27,25.040000915527344
2019-11-29,25.040000915527344
2019-12-02,25.020000457763672
2019-12-03,25.06999969482422
2019-12-04,25.06999969482422
2019-12-05,25.06999969482422
2019-12-06,25.06999969482422
2019-12-09,25.079999923706055
2019-12-10,25.079999923706055
2019-12-11,25.100000381469727
2019-12-12,25.084999084472656
2019-12-13,25.094999313354492
2019-12-16,25.094999313354492
2019-12-17,25.110000610351562
2019-12-18,25.100000381469727
2019-12-19,25.110000610351562
2019-12-20,25.094999313354492
2019-12-23,25.065000534057617
2019-12-24,25.110000610351562
2019-12-26,25.079999923706055
2019-12-27,25.09000015258789
2019-12-30,25.1200008392334
2019-12-31,25.1200008392334
2020-01-02,25.114999771118164
2020-01-03,25.170000076293945
2020-01-06,25.190000534057617
2020-01-07,25.190000534057617
2020-01-08,25.204999923706055
2020-01-09,25.204999923706055
2020-01-10,25.204999923706055
2020-01-13,25.219999313354492
2020-01-14,25.219999313354492
2020-01-15,25.2549991607666
2020-01-16,25.260000228881836
2020-01-17,25.264999389648438
2020-01-21,25.27199935913086
2020-01-22,25.274999618530273
2020-01-23,25.309999465942383
2020-01-24,25.325000762939453
2020-01-27,25.364999771118164
2020-01-28,25.334999084472656
2020-01-29,25.375
2020-01-30,25.3700008392334
2020-01-31,25.3799991607666
2020-02-03,25.3700008392334
2020-02-04,25.350000381469727
2020-02-05,25.315000534057617
2020-02-06,25.315000534057617
2020-02-07,25.360000610351562
2020-02-10,25.350000381469727
2020-02-11,25.350000381469727
2020-02-12,25.34000015258789
2020-02-13,25.340999603271484
2020-02-14,25.3700008392334
2020-02-18,25.3799991607666
2020-02-19,25.399999618530273
2020-02-20,25.405000686645508
2020-02-21,25.44499969482422
2020-02-24,25.4950008392334
2020-02-25,25.5049991607666
2020-02-26,25.5
2020-02-27,25.5
2020-02-28,25.489999771118164
2020-03-02,25.549999237060547
2020-03-03,25.540000915527344
2020-03-04,25.527999877929688
2020-03-05,25.549999237060547
2020-03-06,25.579999923706055
2020-03-09,25.579999923706055
2020-03-10,25.5049991607666
2020-03-11,25.399999618530273
2020-03-12,24.73200035095215
2020-03-13,24.913999557495117
2020-03-16,24.709999084472656
2020-03-17,24.599000930786133
2020-03-18,24.239999771118164
2020-03-19,24.100000381469727
2020-03-20,23.420000076293945
2020-03-23,23.235000610351562
2020-03-24,23.604999542236328
2020-03-25,24.290000915527344
2020-03-26,24.780000686645508
2020-03-27,24.834999084472656
2020-03-30,24.844999313354492
2020-03-31,24.809999465942383
2020-04-01,24.514999389648438
2020-04-02,24.43000030517578
2020-04-03,24.575000762939453
2020-04-06,24.690000534057617
2020-04-07,24.889999389648438
2020-04-08,24.889999389648438
2020-04-09,24.81999969482422
2020-04-13,24.81999969482422
2020-04-14,24.8799991607666
2020-04-15,24.905000686645508
2020-04-16,24.885000228881836
2020-04-17,24.885000228881836
2020-04-20,24.844999313354492
2020-04-21,24.850000381469727
2020-04-22,24.834999084472656
2020-04-23,24.799999237060547
2020-04-24,24.625
2020-04-27,24.71500015258789
2020-04-28,24.625
2020-04-29,24.635000228881836
2020-04-30,24.670000076293945
2020-05-01,24.670000076293945
2020-05-04,24.684999465942383
2020-05-05,24.780000686645508
2020-05-06,24.670000076293945
2020-05-07,24.704999923706055
2020-05-08,24.7450008392334
