,ALTO
2006-01-11,1108.800048828125
2006-01-12,1069.949951171875
2006-01-13,1069.949951171875
2006-01-17,1059.449951171875
2006-01-18,1063.6500244140625
2006-01-19,1048.949951171875
2006-01-20,1092.0
2006-01-23,1195.949951171875
2006-01-24,1233.75
2006-01-25,1269.449951171875
2006-01-26,1270.5
2006-01-27,1284.1500244140625
2006-01-30,1537.199951171875
2006-01-31,1977.1500244140625
2006-02-01,1606.5
2006-02-02,1848.0
2006-02-03,1774.5
2006-02-06,1777.6500244140625
2006-02-07,1680.0
2006-02-08,1768.199951171875
2006-02-09,1758.75
2006-02-10,1890.0
2006-02-13,2032.800048828125
2006-02-14,2007.5999755859375
2006-02-15,1969.800048828125
2006-02-16,1839.5999755859375
2006-02-17,1758.75
2006-02-21,1851.1500244140625
2006-02-22,1888.949951171875
2006-02-23,1892.0999755859375
2006-02-24,2012.8499755859375
2006-02-27,2074.800048828125
2006-02-28,1974.0
2006-03-01,2063.25
2006-03-02,2059.050048828125
2006-03-03,1999.199951171875
2006-03-06,1989.75
2006-03-07,1977.1500244140625
2006-03-08,1867.949951171875
2006-03-09,1809.1500244140625
2006-03-10,1861.6500244140625
2006-03-13,1929.9000244140625
2006-03-14,1890.0
2006-03-15,1911.0
2006-03-16,2009.699951171875
2006-03-17,2002.3499755859375
2006-03-20,1997.0999755859375
2006-03-21,1975.050048828125
2006-03-22,1944.5999755859375
2006-03-23,1902.5999755859375
2006-03-24,1895.25
2006-03-27,1972.949951171875
2006-03-28,2111.550048828125
2006-03-29,2345.699951171875
2006-03-30,2315.25
2006-03-31,2266.949951171875
2006-04-03,2297.39990234375
2006-04-04,2291.10009765625
2006-04-05,2703.75
2006-04-06,2714.25
2006-04-07,2966.25
2006-04-10,3281.25
2006-04-11,3100.64990234375
2006-04-12,2871.75
2006-04-13,3073.35009765625
2006-04-17,3557.39990234375
2006-04-18,3265.5
2006-04-19,3216.14990234375
2006-04-20,3030.300048828125
2006-04-21,3162.60009765625
2006-04-24,3465.0
2006-04-25,3496.5
2006-04-26,3465.0
2006-04-27,3363.14990234375
2006-04-28,3395.699951171875
2006-05-01,3570.0
2006-05-02,3878.699951171875
2006-05-03,3940.64990234375
2006-05-04,3663.449951171875
2006-05-05,3700.199951171875
2006-05-08,4148.5498046875
2006-05-09,4168.5
2006-05-10,4317.60009765625
2006-05-11,4450.9501953125
2006-05-12,4410.0
2006-05-15,3977.39990234375
2006-05-16,3848.25
2006-05-17,3450.300048828125
2006-05-18,3139.5
2006-05-19,3104.85009765625
2006-05-22,2684.85009765625
2006-05-23,3138.449951171875
2006-05-24,3174.14990234375
2006-05-25,3309.60009765625
2006-05-26,3097.5
2006-05-30,3091.199951171875
2006-05-31,3056.550048828125
2006-06-01,3036.60009765625
2006-06-02,2941.050048828125
2006-06-05,2811.89990234375
2006-06-06,2691.14990234375
2006-06-07,2787.75
2006-06-08,2684.85009765625
2006-06-09,2615.550048828125
2006-06-12,2418.14990234375
2006-06-13,2114.699951171875
2006-06-14,2283.75
2006-06-15,2260.64990234375
2006-06-16,2168.25
2006-06-19,2242.800048828125
2006-06-20,2194.5
2006-06-21,2241.75
2006-06-22,2373.0
2006-06-23,2366.699951171875
2006-06-26,2297.39990234375
2006-06-27,2165.10009765625
2006-06-28,2205.0
2006-06-29,2262.75
2006-06-30,2427.60009765625
2006-07-03,2574.60009765625
2006-07-05,2672.25
2006-07-06,2608.199951171875
2006-07-07,2609.25
2006-07-10,2550.449951171875
2006-07-11,2447.550048828125
2006-07-12,2401.35009765625
2006-07-13,2294.25
2006-07-14,2325.75
2006-07-17,2287.949951171875
2006-07-18,2257.5
2006-07-19,2313.14990234375
2006-07-20,2220.75
2006-07-21,2021.25
2006-07-24,1957.199951171875
2006-07-25,2026.5
2006-07-26,1932.0
2006-07-27,1953.0
2006-07-28,1921.5
2006-07-31,1968.75
2006-08-01,1997.0999755859375
2006-08-02,2043.300048828125
2006-08-03,2017.050048828125
2006-08-04,1903.6500244140625
2006-08-07,1850.0999755859375
2006-08-08,1841.699951171875
2006-08-09,1774.5
2006-08-10,1743.0
2006-08-11,1689.449951171875
2006-08-14,1576.050048828125
2006-08-15,1626.449951171875
2006-08-16,1727.25
2006-08-17,1727.25
2006-08-18,1859.550048828125
2006-08-21,1916.25
2006-08-22,2068.5
2006-08-23,2042.25
2006-08-24,1937.25
2006-08-25,2007.5999755859375
2006-08-28,1970.8499755859375
2006-08-29,1935.1500244140625
2006-08-30,1920.449951171875
2006-08-31,1945.6500244140625
2006-09-01,1936.199951171875
2006-09-05,1912.050048828125
2006-09-06,1790.25
2006-09-07,1713.5999755859375
2006-09-08,1709.4000244140625
2006-09-11,1617.0
2006-09-12,1651.6500244140625
2006-09-13,1738.800048828125
2006-09-14,1686.300048828125
2006-09-15,1666.3499755859375
2006-09-18,1678.949951171875
2006-09-19,1604.4000244140625
2006-09-20,1624.3499755859375
2006-09-21,1603.3499755859375
2006-09-22,1544.550048828125
2006-09-25,1444.800048828125
2006-09-26,1466.8499755859375
2006-09-27,1534.050048828125
2006-09-28,1502.550048828125
2006-09-29,1474.199951171875
2006-10-02,1451.0999755859375
2006-10-03,1367.0999755859375
2006-10-04,1371.300048828125
2006-10-05,1402.800048828125
2006-10-06,1320.9000244140625
2006-10-09,1456.3499755859375
2006-10-10,1556.0999755859375
2006-10-11,1559.25
2006-10-12,1529.8499755859375
2006-10-13,1690.5
2006-10-16,1880.550048828125
