,ACTDU
2021-03-23,10.010000228881836
2021-03-24,9.91100025177002
2021-03-25,9.989999771118164
2021-03-26,10.0
2021-03-29,10.0600004196167
2021-03-30,9.989999771118164
2021-03-31,10.0
2021-04-01,10.0
2021-04-05,10.100000381469727
2021-04-06,10.039999961853027
2021-04-07,10.109999656677246
2021-04-08,10.3100004196167
2021-04-09,10.289999961853027
2021-04-12,10.25
2021-04-13,10.279999732971191
2021-04-14,10.180000305175781
2021-04-15,10.185999870300293
2021-04-16,10.199999809265137
2021-04-19,10.210000038146973
2021-04-20,10.09000015258789
2021-04-21,10.279999732971191
2021-04-22,10.199999809265137
2021-04-23,10.15999984741211
2021-04-26,10.128000259399414
2021-04-27,10.239999771118164
2021-04-28,10.279999732971191
2021-04-29,10.279999732971191
2021-04-30,10.199999809265137
2021-05-03,10.140000343322754
2021-05-04,10.109999656677246
2021-05-05,10.199999809265137
2021-05-06,10.069999694824219
2021-05-07,10.229999542236328
2021-05-10,10.125
2021-05-11,10.069999694824219
2021-05-12,10.079999923706055
2021-05-13,10.010000228881836
2021-05-14,10.0
