,BANF
1990-03-26,1.7916669845581055
1990-03-27,1.7916669845581055
1990-03-28,1.75
1990-03-29,1.875
1990-03-30,1.875
1990-04-02,1.875
1990-04-03,1.8125
1990-04-04,1.7916669845581055
1990-04-05,1.625
1990-04-06,1.6458330154418945
1990-04-09,1.75
1990-04-10,1.7083330154418945
1990-04-11,1.7083330154418945
1990-04-12,1.7083330154418945
1990-04-16,1.6666669845581055
1990-04-17,1.6666669845581055
1990-04-18,1.7083330154418945
1990-04-19,1.6666669845581055
1990-04-20,1.6666669845581055
1990-04-23,1.75
1990-04-24,1.75
1990-04-25,1.75
1990-04-26,1.75
1990-04-27,1.75
1990-04-30,1.75
1990-05-01,1.75
1990-05-02,1.625
1990-05-03,1.5833330154418945
1990-05-04,1.5416669845581055
1990-05-07,1.5416669845581055
1990-05-08,1.5416669845581055
1990-05-09,1.5416669845581055
1990-05-10,1.5416669845581055
1990-05-11,1.5416669845581055
1990-05-14,1.5416669845581055
1990-05-15,1.5416669845581055
1990-05-16,1.5833330154418945
1990-05-17,1.5833330154418945
1990-05-18,1.5833330154418945
1990-05-21,1.5833330154418945
1990-05-22,1.5833330154418945
1990-05-23,1.5833330154418945
1990-05-24,1.5833330154418945
1990-05-25,1.5833330154418945
1990-05-29,1.5833330154418945
1990-05-30,1.5833330154418945
1990-05-31,1.5833330154418945
1990-06-01,1.5833330154418945
1990-06-04,1.5833330154418945
1990-06-05,1.7291669845581055
1990-06-06,1.7291669845581055
1990-06-07,1.7291669845581055
1990-06-08,1.5833330154418945
1990-06-11,1.5833330154418945
1990-06-12,1.5833330154418945
1990-06-13,1.5833330154418945
1990-06-14,1.5833330154418945
1990-06-15,1.5833330154418945
1990-06-18,1.5833330154418945
1990-06-19,1.625
1990-06-20,1.625
1990-06-21,1.625
1990-06-22,1.625
1990-06-25,1.625
1990-06-26,1.625
1990-06-27,1.625
1990-06-28,1.5416669845581055
1990-06-29,1.5416669845581055
1990-07-02,1.5416669845581055
1990-07-03,1.5416669845581055
1990-07-05,1.5
1990-07-06,1.5
1990-07-09,1.5
1990-07-10,1.5
1990-07-11,1.5
1990-07-12,1.5
1990-07-13,1.5416669845581055
1990-07-16,1.5416669845581055
1990-07-17,1.5
1990-07-18,1.5833330154418945
1990-07-19,1.5833330154418945
1990-07-20,1.5416669845581055
1990-07-23,1.5833330154418945
1990-07-24,1.5833330154418945
1990-07-25,1.5833330154418945
1990-07-26,1.625
1990-07-27,1.625
1990-07-30,1.625
1990-07-31,1.5416669845581055
