,BDSX
2020-10-28,12.8100004196167
2020-10-29,12.850000381469727
2020-10-30,12.430000305175781
2020-11-02,13.569999694824219
2020-11-03,13.829999923706055
2020-11-04,13.329999923706055
2020-11-05,12.460000038146973
2020-11-06,12.430000305175781
2020-11-09,10.890000343322754
2020-11-10,11.289999961853027
2020-11-11,11.75
2020-11-12,11.270000457763672
2020-11-13,11.319999694824219
2020-11-16,13.869999885559082
2020-11-17,16.350000381469727
2020-11-18,15.640000343322754
2020-11-19,16.059999465942383
2020-11-20,17.09000015258789
2020-11-23,17.649999618530273
2020-11-24,17.81999969482422
2020-11-25,17.969999313354492
2020-11-27,16.940000534057617
2020-11-30,17.940000534057617
2020-12-01,15.699999809265137
2020-12-02,16.440000534057617
2020-12-03,16.3700008392334
2020-12-04,15.4399995803833
2020-12-07,14.40999984741211
2020-12-08,15.829999923706055
2020-12-09,15.319999694824219
2020-12-10,15.6899995803833
2020-12-11,15.739999771118164
2020-12-14,15.899999618530273
2020-12-15,16.420000076293945
2020-12-16,16.670000076293945
2020-12-17,17.260000228881836
2020-12-18,16.110000610351562
2020-12-21,17.06999969482422
2020-12-22,18.239999771118164
2020-12-23,19.610000610351562
2020-12-24,17.969999313354492
2020-12-28,18.8799991607666
2020-12-29,18.860000610351562
2020-12-30,18.8700008392334
2020-12-31,20.15999984741211
2021-01-04,19.799999237060547
2021-01-05,18.280000686645508
2021-01-06,19.3700008392334
2021-01-07,19.15999984741211
2021-01-08,21.190000534057617
2021-01-11,22.549999237060547
2021-01-12,22.309999465942383
2021-01-13,23.780000686645508
2021-01-14,25.989999771118164
2021-01-15,28.0
2021-01-19,28.559999465942383
2021-01-20,31.209999084472656
2021-01-21,29.049999237060547
2021-01-22,27.59000015258789
2021-01-25,27.170000076293945
2021-01-26,26.65999984741211
2021-01-27,21.959999084472656
2021-01-28,24.75
2021-01-29,24.18000030517578
2021-02-01,24.280000686645508
2021-02-02,24.139999389648438
2021-02-03,23.770000457763672
2021-02-04,23.350000381469727
2021-02-05,21.8799991607666
2021-02-08,22.139999389648438
2021-02-09,23.110000610351562
2021-02-10,24.190000534057617
2021-02-11,24.479999542236328
2021-02-12,24.790000915527344
2021-02-16,26.790000915527344
2021-02-17,25.06999969482422
2021-02-18,23.450000762939453
2021-02-19,24.3700008392334
2021-02-22,22.940000534057617
2021-02-23,20.670000076293945
2021-02-24,20.940000534057617
2021-02-25,19.209999084472656
2021-02-26,19.739999771118164
2021-03-01,19.040000915527344
2021-03-02,20.579999923706055
2021-03-03,20.100000381469727
2021-03-04,18.079999923706055
2021-03-05,18.34000015258789
2021-03-08,17.56999969482422
2021-03-09,18.56999969482422
2021-03-10,20.139999389648438
2021-03-11,22.479999542236328
2021-03-12,22.799999237060547
2021-03-15,22.979999542236328
2021-03-16,21.729999542236328
2021-03-17,23.729999542236328
2021-03-18,22.6299991607666
2021-03-19,22.25
2021-03-22,21.399999618530273
2021-03-23,20.170000076293945
2021-03-24,18.190000534057617
2021-03-25,18.139999389648438
2021-03-26,17.219999313354492
2021-03-29,16.8700008392334
2021-03-30,18.239999771118164
2021-03-31,20.309999465942383
2021-04-01,20.280000686645508
2021-04-05,20.350000381469727
2021-04-06,20.059999465942383
2021-04-07,19.299999237060547
2021-04-08,19.040000915527344
2021-04-09,18.950000762939453
2021-04-12,19.1299991607666
2021-04-13,19.040000915527344
2021-04-14,18.959999084472656
2021-04-15,19.139999389648438
2021-04-16,19.3700008392334
2021-04-19,18.889999389648438
2021-04-20,18.239999771118164
2021-04-21,17.780000686645508
2021-04-22,18.270000457763672
2021-04-23,17.969999313354492
2021-04-26,17.3799991607666
2021-04-27,16.610000610351562
2021-04-28,17.059999465942383
2021-04-29,15.880000114440918
2021-04-30,16.360000610351562
2021-05-03,15.789999961853027
2021-05-04,15.010000228881836
2021-05-05,14.520000457763672
2021-05-06,14.119999885559082
2021-05-07,14.239999771118164
2021-05-10,15.010000228881836
2021-05-11,14.75
2021-05-12,13.010000228881836
2021-05-13,12.59000015258789
2021-05-14,12.619999885559082
