,AGIO
2013-07-24,31.280000686645508
2013-07-25,27.780000686645508
2013-07-26,28.530000686645508
2013-07-29,28.639999389648438
2013-07-30,29.100000381469727
2013-07-31,29.15999984741211
2013-08-01,29.149999618530273
2013-08-02,28.84000015258789
2013-08-05,28.799999237060547
2013-08-06,28.959999084472656
2013-08-07,29.670000076293945
2013-08-08,29.850000381469727
2013-08-09,30.0
2013-08-12,30.479999542236328
2013-08-13,31.3700008392334
2013-08-14,32.77000045776367
2013-08-15,32.18000030517578
2013-08-16,31.90999984741211
2013-08-19,29.110000610351562
2013-08-20,26.760000228881836
2013-08-21,24.790000915527344
2013-08-22,25.469999313354492
2013-08-23,25.8700008392334
2013-08-26,25.600000381469727
2013-08-27,22.649999618530273
2013-08-28,23.100000381469727
2013-08-29,24.8700008392334
2013-08-30,23.579999923706055
2013-09-03,23.579999923706055
2013-09-04,25.440000534057617
2013-09-05,27.100000381469727
2013-09-06,27.079999923706055
2013-09-09,26.790000915527344
2013-09-10,27.719999313354492
2013-09-11,27.1299991607666
2013-09-12,26.93000030517578
2013-09-13,26.549999237060547
2013-09-16,26.899999618530273
2013-09-17,26.06999969482422
2013-09-18,27.1200008392334
2013-09-19,27.65999984741211
2013-09-20,26.709999084472656
2013-09-23,26.09000015258789
2013-09-24,25.780000686645508
2013-09-25,26.950000762939453
2013-09-26,27.440000534057617
2013-09-27,27.860000610351562
2013-09-30,27.959999084472656
2013-10-01,28.75
2013-10-02,30.040000915527344
2013-10-03,32.25
2013-10-04,33.18000030517578
2013-10-07,30.790000915527344
2013-10-08,28.969999313354492
2013-10-09,25.149999618530273
2013-10-10,25.15999984741211
2013-10-11,24.760000228881836
2013-10-14,26.229999542236328
2013-10-15,26.43000030517578
2013-10-16,27.420000076293945
2013-10-17,28.399999618530273
2013-10-18,28.520000457763672
2013-10-21,28.799999237060547
2013-10-22,26.709999084472656
2013-10-23,27.299999237060547
2013-10-24,27.719999313354492
2013-10-25,26.520000457763672
2013-10-28,25.040000915527344
2013-10-29,25.68000030517578
2013-10-30,24.530000686645508
2013-10-31,23.15999984741211
2013-11-01,23.0
2013-11-04,23.84000015258789
2013-11-05,24.299999237060547
2013-11-06,22.0
2013-11-07,19.459999084472656
2013-11-08,19.850000381469727
2013-11-11,20.889999389648438
2013-11-12,20.09000015258789
2013-11-13,21.5
2013-11-14,19.0
2013-11-15,17.600000381469727
2013-11-18,17.0
2013-11-19,17.059999465942383
2013-11-20,16.979999542236328
2013-11-21,17.979999542236328
2013-11-22,17.850000381469727
2013-11-25,16.059999465942383
2013-11-26,17.229999542236328
2013-11-27,17.760000228881836
2013-11-29,17.549999237060547
2013-12-02,17.280000686645508
2013-12-03,17.81999969482422
2013-12-04,18.010000228881836
2013-12-05,18.040000915527344
2013-12-06,18.860000610351562
2013-12-09,19.110000610351562
2013-12-10,18.670000076293945
2013-12-11,18.190000534057617
2013-12-12,19.420000076293945
2013-12-13,19.56999969482422
2013-12-16,24.049999237060547
2013-12-17,22.399999618530273
2013-12-18,21.90999984741211
2013-12-19,21.790000915527344
2013-12-20,21.770000457763672
2013-12-23,22.84000015258789
2013-12-24,23.079999923706055
2013-12-26,24.31999969482422
2013-12-27,24.5
2013-12-30,24.440000534057617
2013-12-31,23.950000762939453
2014-01-02,24.020000457763672
2014-01-03,22.969999313354492
2014-01-06,22.510000228881836
2014-01-07,24.0
2014-01-08,25.030000686645508
2014-01-09,26.639999389648438
2014-01-10,27.3700008392334
2014-01-13,30.360000610351562
2014-01-14,35.58000183105469
2014-01-15,42.189998626708984
2014-01-16,39.849998474121094
2014-01-17,35.93000030517578
2014-01-21,32.0
2014-01-22,29.860000610351562
2014-01-23,31.040000915527344
2014-01-24,28.34000015258789
2014-01-27,27.43000030517578
2014-01-28,28.1200008392334
2014-01-29,27.040000915527344
2014-01-30,28.34000015258789
2014-01-31,26.450000762939453
2014-02-03,26.149999618530273
2014-02-04,27.799999237060547
2014-02-05,26.940000534057617
2014-02-06,28.84000015258789
2014-02-07,28.450000762939453
2014-02-10,31.329999923706055
2014-02-11,31.34000015258789
2014-02-12,31.190000534057617
2014-02-13,32.45000076293945
2014-02-14,32.02000045776367
2014-02-18,34.459999084472656
2014-02-19,32.25
2014-02-20,32.560001373291016
2014-02-21,31.969999313354492
2014-02-24,30.309999465942383
2014-02-25,30.190000534057617
2014-02-26,31.350000381469727
2014-02-27,33.47999954223633
2014-02-28,31.260000228881836
2014-03-03,29.479999542236328
2014-03-04,30.950000762939453
2014-03-05,31.639999389648438
2014-03-06,39.93000030517578
2014-03-07,45.45000076293945
2014-03-10,46.7400016784668
2014-03-11,42.959999084472656
2014-03-12,43.439998626708984
2014-03-13,43.970001220703125
2014-03-14,43.400001525878906
2014-03-17,41.77000045776367
2014-03-18,43.65999984741211
2014-03-19,44.099998474121094
2014-03-20,45.70000076293945
2014-03-21,44.459999084472656
2014-03-24,37.470001220703125
2014-03-25,37.560001373291016
2014-03-26,36.2400016784668
2014-03-27,36.560001373291016
2014-03-28,37.02000045776367
2014-03-31,39.150001525878906
2014-04-01,37.380001068115234
2014-04-02,36.58000183105469
2014-04-03,35.15999984741211
2014-04-04,35.47999954223633
2014-04-07,45.349998474121094
2014-04-08,46.900001525878906
2014-04-09,48.41999816894531
2014-04-10,44.84000015258789
2014-04-11,43.31999969482422
2014-04-14,43.900001525878906
2014-04-15,40.0
2014-04-16,39.209999084472656
2014-04-17,40.66999816894531
2014-04-21,41.209999084472656
2014-04-22,47.540000915527344
2014-04-23,46.34000015258789
2014-04-24,43.58000183105469
2014-04-25,41.02000045776367
2014-04-28,39.560001373291016
2014-04-29,41.33000183105469
2014-04-30,42.060001373291016
2014-05-01,43.91999816894531
2014-05-02,43.279998779296875
2014-05-05,43.810001373291016
2014-05-06,42.400001525878906
2014-05-07,40.779998779296875
2014-05-08,36.790000915527344
2014-05-09,36.58000183105469
2014-05-12,35.540000915527344
2014-05-13,32.88999938964844
2014-05-14,35.970001220703125
2014-05-15,33.18000030517578
2014-05-16,33.22999954223633
2014-05-19,34.11000061035156
2014-05-20,31.860000610351562
2014-05-21,32.65999984741211
2014-05-22,33.52000045776367
2014-05-23,33.88999938964844
2014-05-27,36.13999938964844
2014-05-28,34.54999923706055
2014-05-29,35.63999938964844
2014-05-30,35.15999984741211
2014-06-02,33.849998474121094
2014-06-03,36.7599983215332
