,API
2020-06-26,50.5
2020-06-29,47.0
2020-06-30,44.16999816894531
2020-07-01,48.790000915527344
2020-07-02,56.4900016784668
2020-07-06,58.97999954223633
2020-07-07,58.29999923706055
2020-07-08,53.93000030517578
2020-07-09,50.81999969482422
2020-07-10,52.279998779296875
2020-07-13,45.11000061035156
2020-07-14,46.59000015258789
2020-07-15,50.709999084472656
2020-07-16,46.66999816894531
2020-07-17,49.369998931884766
2020-07-20,49.709999084472656
2020-07-21,47.7400016784668
2020-07-22,46.86000061035156
2020-07-23,46.09000015258789
2020-07-24,43.08000183105469
2020-07-27,38.7400016784668
2020-07-28,36.31999969482422
2020-07-29,41.66999816894531
2020-07-30,41.34000015258789
2020-07-31,43.540000915527344
2020-08-03,40.88999938964844
2020-08-04,40.77000045776367
2020-08-05,41.7400016784668
2020-08-06,39.84000015258789
2020-08-07,38.0
2020-08-10,37.5
2020-08-11,40.0
2020-08-12,39.77000045776367
2020-08-13,37.75
2020-08-14,38.209999084472656
2020-08-17,42.79999923706055
2020-08-18,42.060001373291016
2020-08-19,43.33000183105469
2020-08-20,46.5099983215332
2020-08-21,45.5
2020-08-24,45.400001525878906
2020-08-25,44.189998626708984
2020-08-26,47.20000076293945
2020-08-27,46.54999923706055
2020-08-28,48.65999984741211
2020-08-31,47.779998779296875
2020-09-01,52.86000061035156
2020-09-02,56.939998626708984
2020-09-03,51.900001525878906
2020-09-04,52.7599983215332
2020-09-08,49.130001068115234
2020-09-09,50.25
2020-09-10,50.689998626708984
2020-09-11,48.400001525878906
2020-09-14,50.70000076293945
2020-09-15,48.22999954223633
2020-09-16,49.95000076293945
2020-09-17,49.439998626708984
2020-09-18,47.86000061035156
2020-09-21,46.95000076293945
2020-09-22,48.4900016784668
2020-09-23,46.540000915527344
2020-09-24,47.81999969482422
2020-09-25,46.47999954223633
2020-09-28,46.380001068115234
2020-09-29,45.31999969482422
2020-09-30,42.97999954223633
2020-10-01,41.77000045776367
2020-10-02,43.9900016784668
2020-10-05,44.08000183105469
2020-10-06,42.38999938964844
2020-10-07,40.5
2020-10-08,40.90999984741211
2020-10-09,45.04999923706055
2020-10-12,46.02000045776367
2020-10-13,45.63999938964844
2020-10-14,45.0
2020-10-15,43.5
2020-10-16,42.0
2020-10-19,43.459999084472656
2020-10-20,43.459999084472656
2020-10-21,41.95000076293945
2020-10-22,41.15999984741211
2020-10-23,42.150001525878906
2020-10-26,41.709999084472656
2020-10-27,42.599998474121094
2020-10-28,40.90999984741211
2020-10-29,42.06999969482422
2020-10-30,38.5
2020-11-02,37.81999969482422
2020-11-03,38.66999816894531
2020-11-04,43.189998626708984
2020-11-05,43.900001525878906
2020-11-06,43.25
2020-11-09,42.709999084472656
2020-11-10,39.060001373291016
2020-11-11,39.11000061035156
2020-11-12,39.2400016784668
2020-11-13,39.0
2020-11-16,41.470001220703125
2020-11-17,36.97999954223633
2020-11-18,35.130001068115234
2020-11-19,35.9900016784668
2020-11-20,36.650001525878906
2020-11-23,36.09000015258789
2020-11-24,36.61000061035156
2020-11-25,38.209999084472656
2020-11-27,40.650001525878906
2020-11-30,38.45000076293945
2020-12-01,37.41999816894531
2020-12-02,37.27000045776367
2020-12-03,39.400001525878906
2020-12-04,39.2400016784668
2020-12-07,39.470001220703125
2020-12-08,42.650001525878906
2020-12-09,43.33000183105469
2020-12-10,43.02000045776367
2020-12-11,47.529998779296875
2020-12-14,44.959999084472656
2020-12-15,44.77000045776367
2020-12-16,43.45000076293945
2020-12-17,46.08000183105469
2020-12-18,45.77000045776367
2020-12-21,43.970001220703125
2020-12-22,44.380001068115234
