,ADN
2019-01-23,9.6899995803833
2019-01-24,9.6899995803833
2019-01-25,9.6899995803833
2019-01-28,9.6899995803833
2019-01-29,9.680000305175781
2019-01-30,9.6899995803833
2019-01-31,9.680000305175781
2019-02-01,9.699999809265137
2019-02-04,9.710000038146973
2019-02-05,9.75
2019-02-06,9.729999542236328
2019-02-07,9.729999542236328
2019-02-08,9.729999542236328
2019-02-11,9.729999542236328
2019-02-12,9.729999542236328
2019-02-13,9.729999542236328
2019-02-14,9.729999542236328
2019-02-15,9.729999542236328
2019-02-19,10.0
2019-02-20,9.850000381469727
2019-02-21,9.850000381469727
2019-02-22,9.850000381469727
2019-02-25,9.850000381469727
2019-02-26,9.850000381469727
2019-02-27,9.850000381469727
2019-02-28,9.774999618530273
2019-03-01,9.774999618530273
2019-03-04,9.774999618530273
2019-03-05,9.774999618530273
2019-03-06,9.774999618530273
2019-03-07,9.774999618530273
2019-03-08,9.774999618530273
2019-03-11,9.800000190734863
2019-03-12,9.779999732971191
2019-03-13,9.779999732971191
2019-03-14,9.829999923706055
2019-03-15,9.829999923706055
2019-03-18,9.829999923706055
2019-03-19,9.829999923706055
2019-03-20,9.8100004196167
2019-03-21,9.819999694824219
2019-03-22,9.819999694824219
2019-03-25,9.84000015258789
2019-03-26,9.84000015258789
2019-03-27,9.84000015258789
2019-03-28,9.84000015258789
2019-03-29,9.84000015258789
2019-04-01,9.84000015258789
2019-04-02,9.84000015258789
2019-04-03,9.84000015258789
2019-04-04,9.829999923706055
2019-04-05,9.829999923706055
2019-04-08,9.850000381469727
2019-04-09,9.850000381469727
2019-04-10,9.84000015258789
2019-04-11,9.84000015258789
2019-04-12,9.899999618530273
2019-04-15,9.899999618530273
2019-04-16,9.869999885559082
2019-04-17,9.869999885559082
2019-04-18,9.869999885559082
2019-04-22,9.869999885559082
2019-04-23,9.859999656677246
2019-04-24,9.859999656677246
2019-04-25,9.84000015258789
2019-04-26,9.859999656677246
2019-04-29,9.859999656677246
2019-04-30,9.869999885559082
2019-05-01,9.869999885559082
2019-05-02,9.869999885559082
2019-05-03,9.869999885559082
2019-05-06,9.869999885559082
2019-05-07,9.859999656677246
2019-05-08,9.859999656677246
2019-05-09,9.859999656677246
2019-05-10,9.850000381469727
2019-05-13,9.850000381469727
2019-05-14,9.829999923706055
2019-05-15,9.800000190734863
2019-05-16,9.800000190734863
2019-05-17,9.859999656677246
2019-05-20,9.850000381469727
2019-05-21,9.850000381469727
2019-05-22,9.850000381469727
2019-05-23,9.859999656677246
2019-05-24,9.859999656677246
2019-05-28,9.859999656677246
2019-05-29,9.859999656677246
2019-05-30,9.859999656677246
2019-05-31,9.859999656677246
2019-06-03,9.859999656677246
2019-06-04,9.859999656677246
2019-06-05,9.859999656677246
2019-06-06,9.859999656677246
2019-06-07,9.904999732971191
2019-06-10,9.920000076293945
2019-06-11,9.920000076293945
2019-06-12,9.890000343322754
2019-06-13,9.890000343322754
2019-06-14,9.9399995803833
2019-06-17,9.9399995803833
2019-06-18,9.949999809265137
2019-06-19,9.9399995803833
2019-06-20,9.9399995803833
2019-06-21,9.9399995803833
2019-06-24,9.9399995803833
2019-06-25,9.9399995803833
2019-06-26,9.9399995803833
2019-06-27,9.9399995803833
2019-06-28,9.9399995803833
2019-07-01,9.9399995803833
2019-07-02,9.9399995803833
2019-07-03,9.9399995803833
2019-07-05,9.9399995803833
2019-07-08,9.979999542236328
2019-07-09,9.949999809265137
2019-07-10,9.949999809265137
2019-07-11,9.949999809265137
2019-07-12,9.949999809265137
2019-07-15,9.9399995803833
2019-07-16,9.9399995803833
2019-07-17,9.9399995803833
2019-07-18,9.979999542236328
2019-07-19,9.979999542236328
2019-07-22,10.0
2019-07-23,10.0
2019-07-24,9.979999542236328
2019-07-25,9.979999542236328
2019-07-26,9.979999542236328
2019-07-29,9.979999542236328
2019-07-30,9.979999542236328
2019-07-31,9.979999542236328
2019-08-01,9.979999542236328
2019-08-02,9.979999542236328
2019-08-05,9.979999542236328
2019-08-06,9.979999542236328
2019-08-07,9.979999542236328
2019-08-08,9.979999542236328
2019-08-09,9.979999542236328
2019-08-12,9.979999542236328
2019-08-13,9.979999542236328
2019-08-14,9.975000381469727
2019-08-15,9.979999542236328
2019-08-16,9.989999771118164
2019-08-19,9.989999771118164
2019-08-20,9.989999771118164
2019-08-21,9.989999771118164
2019-08-22,10.0
2019-08-23,10.0
2019-08-26,9.989999771118164
2019-08-27,10.0
2019-08-28,10.0
2019-08-29,10.0
2019-08-30,9.970000267028809
2019-09-03,10.0
2019-09-04,10.0
2019-09-05,10.0
2019-09-06,10.0
2019-09-09,10.0
2019-09-10,9.998000144958496
