,FNKO
2017-11-02,7.070000171661377
2017-11-03,7.0
2017-11-06,7.75
2017-11-07,8.199999809265137
2017-11-08,8.100000381469727
2017-11-09,8.0
2017-11-10,7.889999866485596
2017-11-13,7.949999809265137
2017-11-14,7.800000190734863
2017-11-15,7.550000190734863
2017-11-16,7.639999866485596
2017-11-17,7.409999847412109
2017-11-20,7.570000171661377
2017-11-21,7.840000152587891
2017-11-22,8.119999885559082
2017-11-24,8.199999809265137
2017-11-27,8.449999809265137
2017-11-28,8.399999618530273
2017-11-29,8.670000076293945
2017-11-30,8.880000114440918
2017-12-01,9.40999984741211
2017-12-04,9.710000038146973
2017-12-05,9.300000190734863
2017-12-06,8.670000076293945
2017-12-07,8.25
2017-12-08,8.039999961853027
2017-12-11,8.0600004196167
2017-12-12,8.039999961853027
2017-12-13,7.889999866485596
2017-12-14,7.739999771118164
2017-12-15,7.25
2017-12-18,7.139999866485596
2017-12-19,6.349999904632568
2017-12-20,6.360000133514404
2017-12-21,6.0
2017-12-22,6.0
2017-12-26,6.210000038146973
2017-12-27,6.510000228881836
2017-12-28,6.539999961853027
2017-12-29,6.650000095367432
2018-01-02,6.590000152587891
2018-01-03,6.420000076293945
2018-01-04,6.340000152587891
2018-01-05,6.119999885559082
2018-01-08,6.150000095367432
2018-01-09,6.159999847412109
2018-01-10,6.690000057220459
2018-01-11,7.119999885559082
2018-01-12,7.300000190734863
2018-01-16,6.949999809265137
2018-01-17,7.239999771118164
2018-01-18,7.079999923706055
2018-01-19,7.070000171661377
2018-01-22,7.090000152587891
2018-01-23,7.199999809265137
2018-01-24,7.099999904632568
2018-01-25,7.25
2018-01-26,7.309999942779541
2018-01-29,7.369999885559082
2018-01-30,7.460000038146973
2018-01-31,7.369999885559082
2018-02-01,7.46999979019165
2018-02-02,7.409999847412109
2018-02-05,7.360000133514404
2018-02-06,7.260000228881836
2018-02-07,7.320000171661377
2018-02-08,7.239999771118164
2018-02-09,7.320000171661377
2018-02-12,7.230000019073486
2018-02-13,7.079999923706055
2018-02-14,7.070000171661377
2018-02-15,7.199999809265137
2018-02-16,7.150000095367432
2018-02-20,7.199999809265137
2018-02-21,7.360000133514404
2018-02-22,7.25
2018-02-23,7.309999942779541
2018-02-26,7.440000057220459
2018-02-27,7.639999866485596
2018-02-28,7.380000114440918
2018-03-01,7.449999809265137
2018-03-02,7.690000057220459
2018-03-05,7.940000057220459
2018-03-06,7.880000114440918
2018-03-07,7.869999885559082
2018-03-08,7.940000057220459
2018-03-09,8.430000305175781
2018-03-12,8.869999885559082
2018-03-13,8.890000343322754
2018-03-14,8.75
2018-03-15,8.550000190734863
2018-03-16,8.479999542236328
2018-03-19,8.390000343322754
2018-03-20,8.260000228881836
2018-03-21,8.1899995803833
2018-03-22,8.050000190734863
2018-03-23,7.78000020980835
2018-03-26,7.579999923706055
2018-03-27,8.020000457763672
2018-03-28,8.210000038146973
2018-03-29,8.210000038146973
2018-04-02,8.09000015258789
2018-04-03,8.25
2018-04-04,8.279999732971191
2018-04-05,8.220000267028809
2018-04-06,8.140000343322754
2018-04-09,8.25
2018-04-10,8.359999656677246
2018-04-11,8.239999771118164
2018-04-12,8.15999984741211
2018-04-13,8.119999885559082
2018-04-16,8.15999984741211
2018-04-17,8.109999656677246
2018-04-18,8.180000305175781
