,FOCS
2018-07-26,37.54999923706055
2018-07-27,38.0099983215332
2018-07-30,40.130001068115234
2018-07-31,40.7400016784668
2018-08-01,40.0
2018-08-02,38.7599983215332
2018-08-03,38.58000183105469
2018-08-06,39.54999923706055
2018-08-07,40.0099983215332
2018-08-08,39.83000183105469
2018-08-09,40.599998474121094
2018-08-10,40.900001525878906
2018-08-13,40.91999816894531
2018-08-14,40.349998474121094
2018-08-15,39.720001220703125
2018-08-16,38.47999954223633
2018-08-17,38.5
2018-08-20,36.95000076293945
2018-08-21,39.29999923706055
2018-08-22,39.79999923706055
2018-08-23,39.52000045776367
2018-08-24,39.34000015258789
2018-08-27,39.83000183105469
2018-08-28,41.0
2018-08-29,42.279998779296875
2018-08-30,42.20000076293945
2018-08-31,42.09000015258789
2018-09-04,45.7400016784668
2018-09-05,47.709999084472656
2018-09-06,47.4900016784668
2018-09-07,46.90999984741211
2018-09-10,46.9900016784668
2018-09-11,46.33000183105469
2018-09-12,46.61000061035156
2018-09-13,46.900001525878906
2018-09-14,45.040000915527344
2018-09-17,46.02000045776367
2018-09-18,46.77000045776367
2018-09-19,46.33000183105469
2018-09-20,46.88999938964844
2018-09-21,47.650001525878906
2018-09-24,48.400001525878906
2018-09-25,46.380001068115234
2018-09-26,47.56999969482422
2018-09-27,45.709999084472656
2018-09-28,47.459999084472656
2018-10-01,47.439998626708984
2018-10-02,46.290000915527344
2018-10-03,47.02000045776367
2018-10-04,46.130001068115234
2018-10-05,45.310001373291016
2018-10-08,44.130001068115234
2018-10-09,44.619998931884766
2018-10-10,42.34000015258789
2018-10-11,41.25
2018-10-12,40.560001373291016
2018-10-15,41.22999954223633
2018-10-16,42.5099983215332
2018-10-17,42.150001525878906
2018-10-18,42.09000015258789
2018-10-19,41.84000015258789
2018-10-22,41.75
2018-10-23,40.68000030517578
2018-10-24,39.0
2018-10-25,40.25
2018-10-26,40.09000015258789
2018-10-29,39.939998626708984
2018-10-30,38.70000076293945
2018-10-31,38.20000076293945
2018-11-01,38.119998931884766
2018-11-02,38.45000076293945
2018-11-05,38.869998931884766
2018-11-06,38.5
2018-11-07,38.939998626708984
2018-11-08,39.25
2018-11-09,38.20000076293945
2018-11-12,36.33000183105469
2018-11-13,31.989999771118164
2018-11-14,30.399999618530273
2018-11-15,31.100000381469727
2018-11-16,31.219999313354492
2018-11-19,31.170000076293945
2018-11-20,31.100000381469727
2018-11-21,30.959999084472656
2018-11-23,30.850000381469727
2018-11-26,30.93000030517578
2018-11-27,30.389999389648438
2018-11-28,31.209999084472656
2018-11-29,30.100000381469727
2018-11-30,30.920000076293945
2018-12-03,31.43000030517578
2018-12-04,29.030000686645508
2018-12-06,27.65999984741211
2018-12-07,27.450000762939453
2018-12-10,27.799999237060547
2018-12-11,27.649999618530273
2018-12-12,28.34000015258789
2018-12-13,28.68000030517578
2018-12-14,28.649999618530273
2018-12-17,27.860000610351562
2018-12-18,28.5
2018-12-19,28.0
2018-12-20,25.510000228881836
2018-12-21,24.09000015258789
2018-12-24,23.25
2018-12-26,24.399999618530273
2018-12-27,25.06999969482422
2018-12-28,25.549999237060547
2018-12-31,26.329999923706055
2019-01-02,26.260000228881836
2019-01-03,24.780000686645508
2019-01-04,25.309999465942383
2019-01-07,26.0
2019-01-08,26.75
2019-01-09,27.260000228881836
2019-01-10,27.469999313354492
2019-01-11,26.729999542236328
2019-01-14,26.3799991607666
2019-01-15,26.520000457763672
2019-01-16,27.600000381469727
2019-01-17,27.360000610351562
2019-01-18,27.360000610351562
2019-01-22,27.8700008392334
2019-01-23,27.479999542236328
2019-01-24,27.790000915527344
2019-01-25,28.389999389648438
2019-01-28,28.639999389648438
2019-01-29,29.100000381469727
2019-01-30,28.610000610351562
2019-01-31,28.1200008392334
2019-02-01,28.559999465942383
2019-02-04,29.059999465942383
