,AFYA
2019-07-19,23.844999313354492
2019-07-22,23.559999465942383
2019-07-23,24.520000457763672
2019-07-24,27.450000762939453
2019-07-25,27.65999984741211
2019-07-26,28.149999618530273
2019-07-29,28.6200008392334
2019-07-30,28.6200008392334
2019-07-31,28.920000076293945
2019-08-01,26.93000030517578
2019-08-02,26.84000015258789
2019-08-05,25.690000534057617
2019-08-06,26.270000457763672
2019-08-07,25.270000457763672
2019-08-08,25.479999542236328
2019-08-09,24.90999984741211
2019-08-12,25.09000015258789
2019-08-13,25.059999465942383
2019-08-14,24.450000762939453
2019-08-15,24.989999771118164
2019-08-16,25.59000015258789
2019-08-19,27.030000686645508
2019-08-20,28.290000915527344
2019-08-21,28.34000015258789
2019-08-22,30.520000457763672
2019-08-23,30.34000015258789
2019-08-26,31.459999084472656
2019-08-27,32.31999969482422
2019-08-28,31.65999984741211
2019-08-29,31.389999389648438
2019-08-30,21.899999618530273
2019-09-03,24.850000381469727
2019-09-04,24.389999389648438
2019-09-05,25.06999969482422
2019-09-06,24.559999465942383
2019-09-09,23.059999465942383
2019-09-10,22.68000030517578
2019-09-11,22.719999313354492
2019-09-12,23.670000076293945
2019-09-13,24.010000228881836
2019-09-16,23.350000381469727
2019-09-17,23.1299991607666
2019-09-18,22.969999313354492
2019-09-19,24.020000457763672
2019-09-20,23.65999984741211
2019-09-23,23.06999969482422
2019-09-24,22.6299991607666
2019-09-25,22.8700008392334
2019-09-26,23.510000228881836
2019-09-27,25.219999313354492
2019-09-30,25.639999389648438
2019-10-01,25.0
2019-10-02,25.260000228881836
2019-10-03,25.940000534057617
2019-10-04,25.8799991607666
2019-10-07,25.959999084472656
2019-10-08,25.5
2019-10-09,25.18000030517578
2019-10-10,25.100000381469727
2019-10-11,25.479999542236328
2019-10-14,25.290000915527344
2019-10-15,25.969999313354492
2019-10-16,25.93000030517578
2019-10-17,25.799999237060547
2019-10-18,25.5
2019-10-21,25.299999237060547
2019-10-22,25.1200008392334
2019-10-23,25.459999084472656
2019-10-24,25.200000762939453
2019-10-25,25.760000228881836
2019-10-28,26.8700008392334
