,IMB
2014-07-14,0.8930000066757202
2014-07-15,0.8980000019073486
2014-07-16,0.8999999761581421
2014-07-17,0.890999972820282
2014-07-18,0.8849999904632568
2014-07-21,0.8840000033378601
2014-07-22,0.8830000162124634
2014-07-23,0.8949999809265137
2014-07-24,0.8949999809265137
2014-07-25,0.8920000195503235
2014-07-28,0.9010000228881836
2014-07-29,0.9070000052452087
2014-07-30,0.9070000052452087
2014-07-31,0.8930000066757202
2014-08-01,0.8799999952316284
2014-08-04,0.871999979019165
2014-08-05,0.8809999823570251
2014-08-06,0.8700000047683716
2014-08-07,0.8709999918937683
2014-08-08,0.8700000047683716
2014-08-11,0.871999979019165
2014-08-12,0.8790000081062317
2014-08-13,0.8799999952316284
2014-08-14,0.8849999904632568
2014-08-15,0.8989999890327454
2014-08-18,0.9070000052452087
2014-08-19,0.9139999747276306
2014-08-20,0.9190000295639038
2014-08-21,0.9169999957084656
2014-08-22,0.9160000085830688
2014-08-25,0.9179999828338623
2014-08-26,0.9200000166893005
2014-08-27,0.921999990940094
2014-08-28,0.9210000038146973
2014-08-29,0.9229999780654907
2014-09-02,0.9319999814033508
2014-09-03,0.9300000071525574
2014-09-04,0.9300000071525574
2014-09-05,0.9269999861717224
2014-09-08,
2014-09-09,
2014-09-10,0.9179999828338623
2014-09-11,0.9139999747276306
2014-09-12,0.9110000133514404
2014-09-15,0.9079999923706055
2014-09-16,0.8949999809265137
2014-09-17,0.8870000243186951
2014-09-18,0.8870000243186951
2014-09-19,0.8889999985694885
2014-09-22,0.9010000228881836
2014-09-23,0.902999997138977
2014-09-24,0.9039999842643738
2014-09-25,0.9049999713897705
2014-09-26,0.9010000228881836
2014-09-29,0.9160000085830688
2014-09-30,0.8949999809265137
2014-10-01,0.8889999985694885
2014-10-02,0.875
2014-10-03,0.875
2014-10-06,0.8989999890327454
2014-10-07,0.8920000195503235
2014-10-08,0.8930000066757202
2014-10-09,0.8669999837875366
2014-10-10,0.8629999756813049
2014-10-13,0.8700000047683716
2014-10-14,0.8529999852180481
2014-10-15,0.9020000100135803
2014-10-16,0.875
2014-10-17,0.8679999709129333
2014-10-20,0.8840000033378601
2014-10-21,0.8820000290870667
2014-10-22,0.8840000033378601
2014-10-23,0.8790000081062317
2014-10-24,0.8730000257492065
2014-10-27,0.8769999742507935
2014-10-28,0.8769999742507935
2014-10-29,0.8740000128746033
2014-10-30,0.8690000176429749
2014-10-31,0.859000027179718
2014-11-03,0.8519999980926514
2014-11-04,0.8510000109672546
2014-11-05,0.8460000157356262
2014-11-06,0.8610000014305115
2014-11-07,0.8690000176429749
2014-11-10,0.8790000081062317
2014-11-11,0.8799999952316284
2014-11-12,0.8610000014305115
2014-11-13,0.8539999723434448
2014-11-14,0.843999981880188
2014-11-17,0.8349999785423279
2014-11-18,0.8529999852180481
2014-11-19,0.8519999980926514
2014-11-20,0.8399999737739563
2014-11-21,0.8460000157356262
2014-11-24,0.8539999723434448
2014-11-25,0.8399999737739563
2014-11-26,0.843999981880188
2014-11-28,0.8700000047683716
2014-12-01,0.8519999980926514
2014-12-02,0.8659999966621399
2014-12-03,0.8610000014305115
2014-12-04,0.8539999723434448
2014-12-05,0.8479999899864197
2014-12-08,0.8460000157356262
2014-12-09,0.8450000286102295
2014-12-10,0.8339999914169312
2014-12-11,0.8259999752044678
2014-12-12,0.8349999785423279
2014-12-15,0.8349999785423279
2014-12-16,0.828000009059906
2014-12-17,0.8209999799728394
2014-12-18,0.8399999737739563
2014-12-19,0.8320000171661377
2014-12-22,0.8339999914169312
2014-12-23,0.8289999961853027
2014-12-24,0.8289999961853027
2014-12-26,0.8289999961853027
2014-12-29,0.8149999976158142
2014-12-30,0.8429999947547913
2014-12-31,0.8429999947547913
2015-01-02,0.8479999899864197
2015-01-05,0.8629999756813049
