,BPYUP
2018-08-29,24.700000762939453
2018-08-30,24.700000762939453
2018-08-31,24.829999923706055
2018-09-04,24.649999618530273
2018-09-05,24.899999618530273
2018-09-06,24.899999618530273
2018-09-07,24.950000762939453
2018-09-10,24.979999542236328
2018-09-11,24.889999389648438
2018-09-12,24.889999389648438
2018-09-13,24.780000686645508
2018-09-14,24.719999313354492
2018-09-17,24.34000015258789
2018-09-18,24.31999969482422
2018-09-19,24.200000762939453
2018-09-20,24.450000762939453
2018-09-21,24.219999313354492
2018-09-24,24.350000381469727
2018-09-25,24.399999618530273
2018-09-26,24.350000381469727
2018-09-27,24.25
2018-09-28,24.260000228881836
2018-10-01,24.5
2018-10-02,24.420000076293945
2018-10-03,24.389999389648438
2018-10-04,23.700000762939453
2018-10-05,23.899999618530273
2018-10-08,24.270000457763672
2018-10-09,24.649999618530273
2018-10-10,24.600000381469727
2018-10-11,24.68000030517578
2018-10-12,24.610000610351562
2018-10-15,24.649999618530273
2018-10-16,24.59000015258789
2018-10-17,24.43000030517578
2018-10-18,24.40999984741211
2018-10-19,24.450000762939453
2018-10-22,24.34000015258789
2018-10-23,23.90999984741211
2018-10-24,23.81999969482422
2018-10-25,23.770000457763672
2018-10-26,23.889999389648438
2018-10-29,23.899999618530273
2018-10-30,23.920000076293945
2018-10-31,23.950000762939453
2018-11-01,23.799999237060547
2018-11-02,23.75
2018-11-05,23.809999465942383
2018-11-06,24.030000686645508
2018-11-07,24.350000381469727
2018-11-08,24.5
2018-11-09,24.739999771118164
2018-11-12,24.760000228881836
2018-11-13,24.790000915527344
2018-11-14,24.649999618530273
2018-11-15,24.299999237060547
2018-11-16,24.209999084472656
2018-11-19,24.100000381469727
2018-11-20,23.399999618530273
2018-11-21,23.290000915527344
2018-11-23,23.290000915527344
2018-11-26,23.350000381469727
2018-11-27,23.329999923706055
2018-11-28,23.549999237060547
2018-11-29,23.90999984741211
2018-11-30,24.1299991607666
2018-12-03,24.040000915527344
2018-12-04,23.6299991607666
2018-12-06,23.399999618530273
2018-12-07,23.25
2018-12-10,23.15999984741211
2018-12-11,23.280000686645508
2018-12-12,23.139999389648438
2018-12-13,22.709999084472656
2018-12-14,22.5
2018-12-17,21.639999389648438
2018-12-18,21.31999969482422
2018-12-19,21.65999984741211
2018-12-20,21.43000030517578
2018-12-21,21.479999542236328
2018-12-24,21.190000534057617
2018-12-26,21.1200008392334
2018-12-27,20.549999237060547
2018-12-28,21.030000686645508
2018-12-31,22.1200008392334
2019-01-02,22.1299991607666
2019-01-03,22.649999618530273
2019-01-04,22.8700008392334
2019-01-07,23.270000457763672
2019-01-08,23.040000915527344
2019-01-09,22.959999084472656
2019-01-10,22.600000381469727
2019-01-11,23.030000686645508
2019-01-14,22.799999237060547
2019-01-15,22.8700008392334
2019-01-16,22.760000228881836
2019-01-17,22.760000228881836
2019-01-18,22.899999618530273
2019-01-22,22.860000610351562
