,FEP
2011-04-26,31.0
2011-04-27,31.0
2011-04-28,31.0
2011-04-29,31.0
2011-05-02,31.0
2011-05-03,32.0
2011-05-04,31.0
2011-05-05,31.0
2011-05-06,31.059999465942383
2011-05-09,30.690000534057617
2011-05-10,31.1200008392334
2011-05-11,31.1200008392334
2011-05-12,30.399999618530273
2011-05-13,30.399999618530273
2011-05-16,30.399999618530273
2011-05-17,30.399999618530273
2011-05-18,30.399999618530273
2011-05-19,30.40999984741211
2011-05-20,30.059999465942383
2011-05-23,30.059999465942383
2011-05-24,29.399999618530273
2011-05-25,29.399999618530273
2011-05-26,29.399999618530273
2011-05-27,29.399999618530273
2011-05-31,29.399999618530273
2011-06-01,29.399999618530273
2011-06-02,29.399999618530273
2011-06-03,30.299999237060547
2011-06-06,30.299999237060547
2011-06-07,30.3799991607666
2011-06-08,30.3799991607666
2011-06-09,30.3799991607666
2011-06-10,30.3799991607666
2011-06-13,30.3799991607666
2011-06-14,29.690000534057617
2011-06-15,29.690000534057617
2011-06-16,28.3799991607666
2011-06-17,28.3799991607666
2011-06-20,28.3799991607666
2011-06-21,28.3799991607666
2011-06-22,28.3799991607666
2011-06-23,28.3799991607666
2011-06-24,28.3799991607666
2011-06-27,28.3799991607666
2011-06-28,28.3799991607666
2011-06-29,28.3799991607666
2011-06-30,28.3799991607666
2011-07-01,28.3799991607666
2011-07-05,29.850000381469727
2011-07-06,29.850000381469727
2011-07-07,29.850000381469727
2011-07-08,29.850000381469727
2011-07-11,27.90999984741211
2011-07-12,27.540000915527344
2011-07-13,27.540000915527344
2011-07-14,27.540000915527344
2011-07-15,27.540000915527344
2011-07-18,28.0
2011-07-19,28.0
2011-07-20,28.0
2011-07-21,28.0
2011-07-22,28.0
2011-07-25,28.0
2011-07-26,28.0
2011-07-27,28.0
2011-07-28,27.540000915527344
2011-07-29,27.299999237060547
2011-08-01,27.299999237060547
2011-08-02,27.299999237060547
2011-08-03,25.670000076293945
2011-08-04,25.670000076293945
2011-08-05,25.670000076293945
2011-08-08,22.3799991607666
2011-08-09,22.3799991607666
2011-08-10,22.3799991607666
2011-08-11,23.649999618530273
2011-08-12,23.649999618530273
2011-08-15,25.020000457763672
2011-08-16,24.450000762939453
2011-08-17,24.459999084472656
2011-08-18,23.18000030517578
2011-08-19,23.280000686645508
2011-08-22,23.280000686645508
2011-08-23,23.280000686645508
2011-08-24,23.709999084472656
2011-08-25,23.709999084472656
2011-08-26,23.709999084472656
2011-08-29,23.709999084472656
2011-08-30,23.709999084472656
2011-08-31,23.709999084472656
2011-09-01,23.709999084472656
2011-09-02,23.950000762939453
2011-09-06,23.950000762939453
2011-09-07,23.950000762939453
2011-09-08,22.989999771118164
2011-09-09,22.989999771118164
2011-09-12,22.989999771118164
2011-09-13,21.559999465942383
2011-09-14,21.559999465942383
2011-09-15,22.93000030517578
2011-09-16,22.93000030517578
2011-09-19,22.93000030517578
2011-09-20,22.290000915527344
2011-09-21,22.290000915527344
2011-09-22,20.559999465942383
2011-09-23,20.559999465942383
2011-09-26,20.559999465942383
2011-09-27,20.559999465942383
2011-09-28,20.559999465942383
2011-09-29,21.6200008392334
2011-09-30,21.6200008392334
2011-10-03,21.6200008392334
2011-10-04,21.6200008392334
2011-10-05,21.6200008392334
2011-10-06,21.6200008392334
