,AUUD
2021-02-17,3.3399999141693115
2021-02-18,2.990000009536743
2021-02-19,3.069999933242798
2021-02-22,3.049999952316284
2021-02-23,3.109999895095825
2021-02-24,3.5899999141693115
2021-02-25,3.680000066757202
2021-02-26,3.4700000286102295
2021-03-01,3.2699999809265137
2021-03-02,3.4000000953674316
2021-03-03,3.25
2021-03-04,2.799999952316284
2021-03-05,2.9600000381469727
2021-03-08,2.890000104904175
2021-03-09,2.809999942779541
2021-03-10,3.119999885559082
2021-03-11,2.990000009536743
2021-03-12,3.134000062942505
2021-03-15,3.1600000858306885
2021-03-16,3.130000114440918
2021-03-17,3.119999885559082
2021-03-18,3.200000047683716
2021-03-19,3.309999942779541
2021-03-22,3.180000066757202
2021-03-23,3.0799999237060547
2021-03-24,3.309999942779541
2021-03-25,3.1600000858306885
2021-03-26,3.119999885559082
2021-03-29,2.9600000381469727
2021-03-30,2.9000000953674316
2021-03-31,3.130000114440918
2021-04-01,3.2100000381469727
2021-04-05,3.180000066757202
2021-04-06,3.0799999237060547
2021-04-07,3.0350000858306885
2021-04-08,3.049999952316284
2021-04-09,3.049999952316284
2021-04-12,2.9600000381469727
2021-04-13,2.819999933242798
2021-04-14,2.75
2021-04-15,2.7200000286102295
2021-04-16,2.640000104904175
2021-04-19,2.549999952316284
2021-04-20,2.2699999809265137
2021-04-21,2.3299999237060547
2021-04-22,2.3399999141693115
2021-04-23,2.3320000171661377
2021-04-26,2.384999990463257
2021-04-27,2.799999952316284
2021-04-28,2.5899999141693115
2021-04-29,2.5299999713897705
2021-04-30,2.819999933242798
2021-05-03,2.609999895095825
2021-05-04,2.5899999141693115
2021-05-05,2.640000104904175
2021-05-06,2.75
2021-05-07,2.6700000762939453
2021-05-10,2.5999999046325684
2021-05-11,2.5
2021-05-12,2.4000000953674316
2021-05-13,2.4200000762939453
2021-05-14,2.4700000286102295
