,CPI
2009-10-27,25.09000015258789
2009-10-28,25.1200008392334
2009-10-29,25.0
2009-10-30,25.110000610351562
2009-11-02,25.299999237060547
2009-11-03,25.1299991607666
2009-11-04,25.170000076293945
2009-11-05,25.139999389648438
2009-11-06,25.139999389648438
2009-11-09,25.149999618530273
2009-11-10,25.15999984741211
2009-11-11,25.15999984741211
2009-11-12,25.209999084472656
2009-11-13,25.200000762939453
2009-11-16,25.270000457763672
2009-11-17,25.260000228881836
2009-11-18,25.280000686645508
2009-11-19,25.209999084472656
2009-11-20,25.260000228881836
2009-11-23,25.329999923706055
2009-11-24,25.34000015258789
2009-11-25,25.3799991607666
2009-11-27,25.3700008392334
2009-11-30,25.360000610351562
2009-12-01,25.350000381469727
2009-12-02,25.399999618530273
2009-12-03,25.350000381469727
2009-12-04,25.229999542236328
2009-12-07,25.25
2009-12-08,25.209999084472656
2009-12-09,25.200000762939453
2009-12-10,25.149999618530273
2009-12-11,24.899999618530273
2009-12-14,25.15999984741211
2009-12-15,25.139999389648438
2009-12-16,25.18000030517578
2009-12-17,25.170000076293945
2009-12-18,25.139999389648438
2009-12-21,25.09000015258789
2009-12-22,24.5
2009-12-23,25.100000381469727
2009-12-24,25.100000381469727
2009-12-28,24.799999237060547
2009-12-29,25.059999465942383
2009-12-30,25.049999237060547
2009-12-31,25.09000015258789
2010-01-04,25.100000381469727
2010-01-05,25.1200008392334
2010-01-06,25.139999389648438
2010-01-07,25.110000610351562
2010-01-08,25.049999237060547
2010-01-11,25.110000610351562
2010-01-12,25.149999618530273
2010-01-13,25.1299991607666
2010-01-14,25.139999389648438
2010-01-15,25.0
2010-01-19,25.170000076293945
2010-01-20,25.1200008392334
2010-01-21,25.110000610351562
2010-01-22,25.030000686645508
2010-01-25,25.040000915527344
2010-01-26,25.049999237060547
2010-01-27,25.049999237060547
2010-01-28,25.040000915527344
2010-01-29,25.049999237060547
2010-02-01,25.049999237060547
2010-02-02,25.110000610351562
2010-02-03,25.06999969482422
2010-02-04,24.940000534057617
2010-02-05,25.0
2010-02-08,24.940000534057617
2010-02-09,24.969999313354492
2010-02-10,25.0
2010-02-11,25.020000457763672
2010-02-12,25.010000228881836
2010-02-16,25.020000457763672
2010-02-17,25.040000915527344
2010-02-18,25.020000457763672
2010-02-19,25.040000915527344
2010-02-22,25.200000762939453
2010-02-23,24.959999084472656
2010-02-24,25.09000015258789
2010-02-25,25.030000686645508
2010-02-26,25.030000686645508
2010-03-01,25.15999984741211
2010-03-02,25.15999984741211
2010-03-03,25.059999465942383
2010-03-04,25.09000015258789
2010-03-05,25.15999984741211
2010-03-08,25.06999969482422
2010-03-09,25.0
2010-03-10,25.049999237060547
2010-03-11,24.979999542236328
2010-03-12,24.979999542236328
2010-03-15,24.93000030517578
2010-03-16,25.110000610351562
2010-03-17,25.1200008392334
2010-03-18,25.059999465942383
2010-03-19,25.030000686645508
2010-03-22,25.030000686645508
2010-03-23,25.020000457763672
2010-03-24,25.030000686645508
2010-03-25,25.0
2010-03-26,25.040000915527344
2010-03-29,25.040000915527344
2010-03-30,24.950000762939453
