,BIB
2010-04-09,7.508749961853027
2010-04-12,7.447500228881836
2010-04-13,7.497499942779541
2010-04-14,7.598750114440918
2010-04-15,7.617499828338623
2010-04-16,7.453750133514404
2010-04-19,7.488749980926514
2010-04-20,7.519999980926514
2010-04-21,7.278749942779541
2010-04-22,7.159999847412109
2010-04-23,7.298749923706055
2010-04-26,7.198750019073486
2010-04-27,7.00124979019165
2010-04-28,7.073750019073486
2010-04-29,7.493750095367432
2010-04-30,7.378749847412109
2010-05-03,7.538750171661377
2010-05-04,7.238749980926514
2010-05-05,6.916250228881836
2010-05-06,5.668749809265137
2010-05-07,6.022500038146973
2010-05-10,6.362500190734863
2010-05-11,6.554999828338623
2010-05-12,6.78125
2010-05-13,6.78125
2010-05-14,6.355000019073486
2010-05-17,6.15749979019165
2010-05-18,6.260000228881836
2010-05-19,6.148749828338623
2010-05-20,5.721250057220459
2010-05-21,5.681250095367432
2010-05-24,5.677499771118164
2010-05-25,5.611249923706055
2010-05-26,5.53125
2010-05-27,5.808750152587891
2010-05-28,5.808750152587891
2010-06-01,5.566249847412109
2010-06-02,5.932499885559082
2010-06-03,6.052499771118164
2010-06-04,5.597499847412109
2010-06-07,5.445000171661377
2010-06-08,5.3125
2010-06-09,5.267499923706055
2010-06-10,5.5625
2010-06-11,5.726250171661377
2010-06-14,5.726250171661377
2010-06-15,6.008749961853027
2010-06-16,5.965000152587891
2010-06-17,5.986249923706055
2010-06-18,5.986249923706055
2010-06-21,5.986249923706055
2010-06-22,5.712500095367432
2010-06-23,5.712500095367432
2010-06-24,5.638750076293945
2010-06-25,5.855000019073486
2010-06-28,5.760000228881836
2010-06-29,5.355000019073486
2010-06-30,5.212500095367432
2010-07-01,4.852499961853027
2010-07-02,5.096250057220459
2010-07-06,5.050000190734863
2010-07-07,5.121250152587891
2010-07-08,5.201250076293945
2010-07-09,5.278749942779541
2010-07-12,5.278749942779541
2010-07-13,5.278749942779541
2010-07-14,5.489999771118164
2010-07-15,5.572500228881836
2010-07-16,5.309999942779541
2010-07-19,5.309999942779541
2010-07-20,5.150000095367432
2010-07-21,5.210000038146973
2010-07-22,5.371250152587891
2010-07-23,5.256249904632568
2010-07-26,5.806250095367432
2010-07-27,5.710000038146973
2010-07-28,5.486249923706055
2010-07-29,5.474999904632568
2010-07-30,5.648749828338623
2010-08-02,5.860000133514404
2010-08-03,5.877500057220459
2010-08-04,6.002500057220459
2010-08-05,6.002500057220459
2010-08-06,5.889999866485596
2010-08-09,6.148749828338623
2010-08-10,6.013750076293945
2010-08-11,5.707499980926514
2010-08-12,5.707499980926514
2010-08-13,5.707499980926514
2010-08-16,5.712500095367432
2010-08-17,5.862500190734863
2010-08-18,5.815000057220459
2010-08-19,5.578750133514404
2010-08-20,5.583749771118164
2010-08-23,5.493750095367432
2010-08-24,5.341249942779541
2010-08-25,5.346250057220459
2010-08-26,5.291250228881836
2010-08-27,5.440000057220459
2010-08-30,5.336249828338623
2010-08-31,5.358749866485596
2010-09-01,5.358749866485596
2010-09-02,5.358749866485596
2010-09-03,5.795000076293945
2010-09-07,5.706250190734863
2010-09-08,5.940000057220459
2010-09-09,5.973750114440918
2010-09-10,6.121250152587891
2010-09-13,6.176249980926514
2010-09-14,6.172500133514404
2010-09-15,6.277500152587891
2010-09-16,6.208749771118164
2010-09-17,6.232500076293945
2010-09-20,6.428750038146973
2010-09-21,6.4375
2010-09-22,6.385000228881836
2010-09-23,6.320000171661377
2010-09-24,6.53125
2010-09-27,6.422500133514404
2010-09-28,6.471250057220459
2010-09-29,6.40625
2010-09-30,6.40625
2010-10-01,6.400000095367432
2010-10-04,6.297500133514404
2010-10-05,6.482500076293945
2010-10-06,6.473750114440918
2010-10-07,6.473750114440918
2010-10-08,6.610000133514404
2010-10-11,6.610000133514404
2010-10-12,6.633749961853027
2010-10-13,6.633749961853027
2010-10-14,6.673749923706055
2010-10-15,6.787499904632568
2010-10-18,6.835000038146973
2010-10-19,6.835000038146973
2010-10-20,6.835000038146973
2010-10-21,6.761250019073486
2010-10-22,6.690000057220459
2010-10-25,6.847499847412109
2010-10-26,6.631249904632568
2010-10-27,6.738749980926514
2010-10-28,6.902500152587891
2010-10-29,6.908750057220459
2010-11-01,6.741250038146973
2010-11-02,6.741250038146973
2010-11-03,6.815000057220459
2010-11-04,6.855000019073486
2010-11-05,6.763750076293945
2010-11-08,6.691249847412109
2010-11-09,6.588749885559082
2010-11-10,6.588749885559082
2010-11-11,6.613749980926514
2010-11-12,6.526249885559082
2010-11-15,6.661250114440918
2010-11-16,6.661250114440918
2010-11-17,6.503749847412109
2010-11-18,6.733749866485596
2010-11-19,6.752500057220459
2010-11-22,6.752500057220459
2010-11-23,6.752500057220459
2010-11-24,6.752500057220459
