,CROX
2006-02-08,14.274999618530273
2006-02-09,13.5
2006-02-10,13.274999618530273
2006-02-13,13.850000381469727
2006-02-14,13.899999618530273
2006-02-15,14.0
2006-02-16,14.175000190734863
2006-02-17,13.699999809265137
2006-02-21,14.0
2006-02-22,13.585000038146973
2006-02-23,13.845000267028809
2006-02-24,14.229999542236328
2006-02-27,14.225000381469727
2006-02-28,13.744999885559082
2006-03-01,13.449999809265137
2006-03-02,13.300000190734863
2006-03-03,13.170000076293945
2006-03-06,13.024999618530273
2006-03-07,12.875
2006-03-08,12.975000381469727
2006-03-09,12.75
2006-03-10,12.125
2006-03-13,11.739999771118164
2006-03-14,11.859999656677246
2006-03-15,12.029999732971191
2006-03-16,12.550000190734863
2006-03-17,12.164999961853027
2006-03-20,11.5
2006-03-21,11.029999732971191
2006-03-22,10.8149995803833
2006-03-23,10.984999656677246
2006-03-24,11.755000114440918
2006-03-27,11.970000267028809
2006-03-28,11.925000190734863
2006-03-29,11.864999771118164
2006-03-30,12.404999732971191
2006-03-31,12.574999809265137
2006-04-03,13.164999961853027
2006-04-04,13.545000076293945
2006-04-05,13.569999694824219
2006-04-06,13.145000457763672
2006-04-07,13.03499984741211
2006-04-10,13.0
2006-04-11,13.25
2006-04-12,13.345000267028809
2006-04-13,13.350000381469727
2006-04-17,13.300000190734863
2006-04-18,13.484999656677246
2006-04-19,13.489999771118164
2006-04-20,13.734999656677246
2006-04-21,13.880000114440918
2006-04-24,13.930000305175781
2006-04-25,13.885000228881836
2006-04-26,14.305000305175781
2006-04-27,14.954999923706055
2006-04-28,14.949999809265137
2006-05-01,14.725000381469727
2006-05-02,14.864999771118164
2006-05-03,15.75
2006-05-04,16.174999237060547
2006-05-05,15.925000190734863
2006-05-08,14.5
2006-05-09,14.904999732971191
2006-05-10,14.604999542236328
2006-05-11,14.600000381469727
2006-05-12,14.470000267028809
2006-05-15,14.164999961853027
2006-05-16,13.835000038146973
2006-05-17,14.149999618530273
2006-05-18,14.005000114440918
2006-05-19,14.510000228881836
2006-05-22,14.545000076293945
2006-05-23,14.0
2006-05-24,13.204999923706055
2006-05-25,13.0
2006-05-26,12.09000015258789
2006-05-30,11.774999618530273
2006-05-31,11.454999923706055
2006-06-01,12.045000076293945
2006-06-02,12.265000343322754
2006-06-05,11.744999885559082
2006-06-06,11.65999984741211
2006-06-07,11.720000267028809
2006-06-08,11.550000190734863
2006-06-09,12.164999961853027
2006-06-12,11.649999618530273
2006-06-13,11.050000190734863
2006-06-14,11.494999885559082
2006-06-15,11.805000305175781
2006-06-16,12.154999732971191
2006-06-19,11.75
2006-06-20,11.949999809265137
2006-06-21,11.875
2006-06-22,11.954999923706055
2006-06-23,11.989999771118164
2006-06-26,12.015000343322754
2006-06-27,11.635000228881836
2006-06-28,11.845000267028809
2006-06-29,12.4399995803833
2006-06-30,12.574999809265137
2006-07-03,12.835000038146973
2006-07-05,12.359999656677246
2006-07-06,12.420000076293945
2006-07-07,12.350000381469727
2006-07-10,11.449999809265137
2006-07-11,11.755000114440918
2006-07-12,11.899999618530273
2006-07-13,11.930000305175781
2006-07-14,11.739999771118164
2006-07-17,11.675000190734863
2006-07-18,11.704999923706055
2006-07-19,12.300000190734863
2006-07-20,12.3149995803833
2006-07-21,12.46500015258789
2006-07-24,13.350000381469727
2006-07-25,13.425000190734863
2006-07-26,13.010000228881836
2006-07-27,13.199999809265137
2006-07-28,13.354999542236328
2006-07-31,13.835000038146973
2006-08-01,14.010000228881836
2006-08-02,13.895000457763672
2006-08-03,14.5
2006-08-04,13.704999923706055
2006-08-07,13.220000267028809
2006-08-08,12.699999809265137
2006-08-09,12.6899995803833
2006-08-10,12.645000457763672
2006-08-11,13.4399995803833
2006-08-14,13.524999618530273
2006-08-15,13.425000190734863
2006-08-16,13.829999923706055
2006-08-17,13.5
2006-08-18,13.270000457763672
2006-08-21,13.770000457763672
2006-08-22,13.625
2006-08-23,13.350000381469727
2006-08-24,13.140000343322754
2006-08-25,13.329999923706055
2006-08-28,13.800000190734863
2006-08-29,13.914999961853027
2006-08-30,13.505000114440918
2006-08-31,13.510000228881836
2006-09-01,13.239999771118164
2006-09-05,13.354999542236328
2006-09-06,13.5
2006-09-07,13.875
2006-09-08,13.859999656677246
2006-09-11,13.614999771118164
2006-09-12,14.289999961853027
2006-09-13,14.675000190734863
2006-09-14,14.800000190734863
2006-09-15,14.819999694824219
2006-09-18,14.960000038146973
2006-09-19,15.055000305175781
2006-09-20,14.975000381469727
2006-09-21,15.149999618530273
2006-09-22,15.095000267028809
2006-09-25,16.075000762939453
2006-09-26,16.829999923706055
2006-09-27,16.950000762939453
2006-09-28,16.969999313354492
2006-09-29,16.975000381469727
2006-10-02,16.200000762939453
2006-10-03,16.78499984741211
2006-10-04,17.1200008392334
2006-10-05,17.450000762939453
2006-10-06,17.114999771118164
2006-10-09,16.985000610351562
2006-10-10,17.8799991607666
2006-10-11,18.799999237060547
2006-10-12,19.34000015258789
2006-10-13,19.440000534057617
2006-10-16,19.270000457763672
2006-10-17,18.665000915527344
2006-10-18,18.604999542236328
2006-10-19,18.454999923706055
2006-10-20,18.454999923706055
2006-10-23,18.475000381469727
2006-10-24,18.895000457763672
2006-10-25,18.704999923706055
2006-10-26,19.385000228881836
2006-10-27,19.475000381469727
2006-10-30,19.610000610351562
2006-10-31,19.809999465942383
2006-11-01,18.90999984741211
2006-11-02,18.75
2006-11-03,19.5
2006-11-06,20.635000228881836
2006-11-07,22.125
2006-11-08,22.31999969482422
2006-11-09,22.360000610351562
2006-11-10,23.56999969482422
2006-11-13,24.40999984741211
2006-11-14,24.065000534057617
2006-11-15,23.895000457763672
2006-11-16,22.834999084472656
2006-11-17,23.2450008392334
2006-11-20,22.639999389648438
2006-11-21,21.395000457763672
2006-11-22,21.235000610351562
2006-11-24,21.225000381469727
2006-11-27,20.885000228881836
2006-11-28,21.299999237060547
2006-11-29,21.625
2006-11-30,21.475000381469727
2006-12-01,20.8700008392334
2006-12-04,21.059999465942383
2006-12-05,21.165000915527344
2006-12-06,21.524999618530273
2006-12-07,21.30500030517578
2006-12-08,21.545000076293945
2006-12-11,21.575000762939453
2006-12-12,21.0
2006-12-13,21.3799991607666
2006-12-14,21.93000030517578
2006-12-15,21.204999923706055
2006-12-18,21.06999969482422
2006-12-19,20.93000030517578
2006-12-20,21.114999771118164
2006-12-21,21.260000228881836
2006-12-22,21.05500030517578
2006-12-26,21.165000915527344
2006-12-27,21.764999389648438
2006-12-28,21.315000534057617
2006-12-29,21.600000381469727
2007-01-03,22.0
2007-01-04,21.975000381469727
2007-01-05,21.84000015258789
2007-01-08,22.399999618530273
2007-01-09,22.915000915527344
2007-01-10,23.84000015258789
2007-01-11,23.514999389648438
2007-01-12,23.985000610351562
2007-01-16,25.010000228881836
2007-01-17,25.46500015258789
2007-01-18,24.18000030517578
2007-01-19,23.975000381469727
2007-01-22,24.684999465942383
2007-01-23,24.420000076293945
2007-01-24,24.6200008392334
2007-01-25,23.924999237060547
