,CCMP
2000-04-05,27.5
2000-04-06,33.5625
2000-04-07,31.9375
2000-04-10,30.0
2000-04-11,29.625
2000-04-12,28.25
2000-04-13,30.125
2000-04-14,30.0
2000-04-17,29.125
2000-04-18,34.375
2000-04-19,31.6875
2000-04-20,30.3125
2000-04-24,29.375
2000-04-25,29.75
2000-04-26,28.5
2000-04-27,33.0
2000-04-28,32.5
2000-05-01,33.625
2000-05-02,28.875
2000-05-03,32.0
2000-05-04,30.4375
2000-05-05,30.875
2000-05-08,30.75
2000-05-09,32.75
2000-05-10,35.125
2000-05-11,35.6875
2000-05-12,34.125
2000-05-15,34.125
2000-05-16,34.0625
2000-05-17,32.375
2000-05-18,32.0
2000-05-19,32.125
2000-05-22,34.0
2000-05-23,29.8125
2000-05-24,29.625
2000-05-25,29.25
2000-05-26,30.0
2000-05-30,31.75
2000-05-31,32.75
2000-06-01,30.875
2000-06-02,32.375
2000-06-05,33.4375
2000-06-06,32.75
2000-06-07,42.875
2000-06-08,40.125
2000-06-09,42.25
2000-06-12,49.375
2000-06-13,47.875
2000-06-14,46.5
2000-06-15,45.0
2000-06-16,42.5
2000-06-19,42.5
2000-06-20,46.125
2000-06-21,46.1875
2000-06-22,43.75
2000-06-23,41.1875
2000-06-26,45.25
2000-06-27,47.5
2000-06-28,49.3125
2000-06-29,48.8125
2000-06-30,45.75
2000-07-03,47.125
2000-07-05,52.125
2000-07-06,48.0
2000-07-07,50.0
2000-07-10,54.25
2000-07-11,53.875
2000-07-12,55.375
2000-07-13,51.859375
2000-07-14,53.5
2000-07-17,51.25
2000-07-18,49.0
2000-07-19,45.0
2000-07-20,48.5
2000-07-21,47.125
2000-07-24,44.0
2000-07-25,47.625
2000-07-26,48.0
2000-07-27,47.0
2000-07-28,46.125
2000-07-31,47.0
2000-08-01,46.8125
2000-08-02,48.4375
2000-08-03,46.375
2000-08-04,46.5
2000-08-07,52.0
2000-08-08,50.8125
2000-08-09,49.25
2000-08-10,48.375
2000-08-11,50.5625
2000-08-14,54.625
2000-08-15,60.875
2000-08-16,62.875
2000-08-17,65.125
2000-08-18,65.0
2000-08-21,63.6875
2000-08-22,64.25
2000-08-23,60.875
2000-08-24,60.0
2000-08-25,60.9375
2000-08-28,63.125
2000-08-29,59.375
2000-08-30,59.25
2000-08-31,58.375
2000-09-01,57.0625
2000-09-05,55.3125
2000-09-06,57.0
2000-09-07,57.0
2000-09-08,50.0
2000-09-11,49.375
2000-09-12,47.75
2000-09-13,49.9375
2000-09-14,48.5
2000-09-15,47.4375
2000-09-18,40.5625
2000-09-19,41.875
2000-09-20,47.0
2000-09-21,43.625
2000-09-22,44.3125
2000-09-25,45.5
2000-09-26,46.0
2000-09-27,48.5
2000-09-28,49.25
2000-09-29,48.0
2000-10-02,49.0
2000-10-03,49.0
2000-10-04,47.5
2000-10-05,46.0
2000-10-06,45.0
2000-10-09,44.515625
2000-10-10,43.0
2000-10-11,43.5
2000-10-12,43.0
2000-10-13,43.8125
2000-10-16,43.75
2000-10-17,40.3125
2000-10-18,38.5625
2000-10-19,40.3125
2000-10-20,39.5
2000-10-23,39.1875
2000-10-24,38.5
2000-10-25,36.625
2000-10-26,42.0625
2000-10-27,44.625
2000-10-30,44.0
2000-10-31,44.1875
2000-11-01,46.875
2000-11-02,46.75
2000-11-03,46.1875
2000-11-06,44.5
2000-11-07,45.1875
2000-11-08,44.75
2000-11-09,46.0
2000-11-10,41.5
2000-11-13,41.125
2000-11-14,43.0
2000-11-15,43.515625
2000-11-16,42.75
2000-11-17,40.1875
2000-11-20,39.875
2000-11-21,39.875
2000-11-22,38.25
2000-11-24,38.625
2000-11-27,39.875
2000-11-28,39.75
2000-11-29,39.3125
2000-11-30,36.75
2000-12-01,41.0
2000-12-04,41.875
2000-12-05,48.5
2000-12-06,44.5625
2000-12-07,48.25
2000-12-08,57.0
2000-12-11,54.75
2000-12-12,50.625
2000-12-13,49.75
2000-12-14,47.0
2000-12-15,47.171875
2000-12-18,48.8125
2000-12-19,39.875
2000-12-20,44.875
2000-12-21,45.0
2000-12-22,45.5
2000-12-26,48.0625
2000-12-27,53.875
2000-12-28,55.625
2000-12-29,51.9375
2001-01-02,49.0
2001-01-03,53.0
2001-01-04,51.5625
2001-01-05,52.8125
2001-01-08,50.6875
2001-01-09,54.6875
2001-01-10,58.4375
2001-01-11,66.0
2001-01-12,69.6875
2001-01-16,67.5625
2001-01-17,65.125
2001-01-18,72.5
2001-01-19,63.0
2001-01-22,59.5
2001-01-23,66.125
2001-01-24,66.75
2001-01-25,69.8125
2001-01-26,66.140625
2001-01-29,74.1875
2001-01-30,81.5625
2001-01-31,84.8125
2001-02-01,84.25
2001-02-02,83.75
2001-02-05,83.25
2001-02-06,85.3125
2001-02-07,85.25
2001-02-08,81.25
2001-02-09,81.625
2001-02-12,82.625
2001-02-13,77.8125
2001-02-14,83.1875
2001-02-15,99.375
2001-02-16,95.25
2001-02-20,89.375
2001-02-21,91.203125
2001-02-22,89.0625
2001-02-23,83.625
2001-02-26,79.25
2001-02-27,70.65625
2001-02-28,60.5625
2001-03-01,60.21875
2001-03-02,61.0625
2001-03-05,62.5625
2001-03-06,71.5
2001-03-07,71.484375
2001-03-08,68.34375
2001-03-09,61.3125
2001-03-12,60.0
2001-03-13,46.875
2001-03-14,49.125
2001-03-15,42.125
2001-03-16,41.125
2001-03-19,44.0625
2001-03-20,40.5625
2001-03-21,38.3125
2001-03-22,47.3125
2001-03-23,44.3125
2001-03-26,47.5625
2001-03-27,50.09375
2001-03-28,45.5
2001-03-29,44.0
2001-03-30,44.25
2001-04-02,40.5
2001-04-03,41.765625
2001-04-04,38.0
2001-04-05,48.1875
2001-04-06,45.0
2001-04-09,44.16999816894531
2001-04-10,49.63999938964844
2001-04-11,53.779998779296875
2001-04-12,56.880001068115234
2001-04-16,55.33000183105469
2001-04-17,54.779998779296875
2001-04-18,65.94999694824219
2001-04-19,74.47000122070312
2001-04-20,70.01000213623047
2001-04-23,64.12999725341797
2001-04-24,60.7400016784668
2001-04-25,62.0
2001-04-26,59.38999938964844
2001-04-27,59.45000076293945
2001-04-30,64.0199966430664
2001-05-01,67.06999969482422
2001-05-02,73.8499984741211
2001-05-03,69.5
2001-05-04,76.41000366210938
2001-05-07,69.9800033569336
2001-05-08,72.8499984741211
2001-05-09,69.33000183105469
2001-05-10,64.87999725341797
2001-05-11,64.8499984741211
2001-05-14,64.12999725341797
2001-05-15,61.619998931884766
2001-05-16,66.31999969482422
2001-05-17,67.44999694824219
2001-05-18,69.31999969482422
2001-05-21,76.1500015258789
2001-05-22,76.30999755859375
2001-05-23,66.55000305175781
2001-05-24,70.0999984741211
2001-05-25,67.83000183105469
2001-05-29,66.69000244140625
2001-05-30,63.130001068115234
2001-05-31,64.26000213623047
2001-06-01,66.25
2001-06-04,65.4800033569336
2001-06-05,70.2699966430664
2001-06-06,66.75
2001-06-07,71.8499984741211
2001-06-08,68.19999694824219
2001-06-11,67.55000305175781
2001-06-12,66.30000305175781
2001-06-13,63.75
2001-06-14,61.81999969482422
2001-06-15,57.099998474121094
2001-06-18,56.41999816894531
2001-06-19,58.540000915527344
2001-06-20,58.02000045776367
2001-06-21,59.0099983215332
2001-06-22,59.25
2001-06-25,57.810001373291016
2001-06-26,56.599998474121094
2001-06-27,56.4900016784668
2001-06-28,59.369998931884766
2001-06-29,62.0
2001-07-02,58.84000015258789
2001-07-03,58.95000076293945
2001-07-05,58.25
2001-07-06,54.25
2001-07-09,55.25
2001-07-10,51.470001220703125
2001-07-11,53.66999816894531
2001-07-12,58.7400016784668
2001-07-13,58.5099983215332
2001-07-16,56.560001373291016
2001-07-17,59.81999969482422
2001-07-18,56.95000076293945
2001-07-19,60.119998931884766
2001-07-20,59.18000030517578
2001-07-23,58.0
2001-07-24,55.88999938964844
2001-07-25,61.099998474121094
2001-07-26,68.08000183105469
2001-07-27,68.4800033569336
2001-07-30,68.91999816894531
2001-07-31,70.25
2001-08-01,74.02999877929688
2001-08-02,75.33999633789062
2001-08-03,74.87999725341797
2001-08-06,75.72000122070312
2001-08-07,73.83999633789062
2001-08-08,69.27999877929688
2001-08-09,70.23999786376953
2001-08-10,72.44000244140625
2001-08-13,73.80999755859375
2001-08-14,73.30000305175781
2001-08-15,72.51000213623047
2001-08-16,72.4000015258789
2001-08-17,68.5
2001-08-20,69.87000274658203
2001-08-21,66.55000305175781
2001-08-22,72.63999938964844
2001-08-23,72.0
2001-08-24,78.56999969482422
2001-08-27,79.33999633789062
2001-08-28,75.91999816894531
2001-08-29,74.30000305175781
2001-08-30,71.51000213623047
2001-08-31,70.05000305175781
2001-09-04,66.5199966430664
2001-09-05,63.459999084472656
2001-09-06,62.25
2001-09-07,63.5099983215332
2001-09-10,65.16999816894531
2001-09-17,60.72999954223633
2001-09-18,56.5
2001-09-19,56.15999984741211
2001-09-20,55.25
2001-09-21,53.130001068115234
2001-09-24,57.20000076293945
2001-09-25,54.79999923706055
2001-09-26,51.02000045776367
2001-09-27,50.400001525878906
2001-09-28,48.310001373291016
2001-10-01,43.720001220703125
2001-10-02,43.150001525878906
2001-10-03,49.5
2001-10-04,48.880001068115234
2001-10-05,49.9900016784668
2001-10-08,50.720001220703125
2001-10-09,48.5
2001-10-10,51.31999969482422
2001-10-11,57.22999954223633
2001-10-12,58.900001525878906
2001-10-15,56.40999984741211
2001-10-16,57.369998931884766
2001-10-17,56.0
2001-10-18,55.9900016784668
2001-10-19,55.380001068115234
2001-10-22,57.5
2001-10-23,56.47999954223633
2001-10-24,61.689998626708984
2001-10-25,67.58999633789062
2001-10-26,69.05000305175781
2001-10-29,64.66000366210938
2001-10-30,64.87999725341797
2001-10-31,66.27999877929688
2001-11-01,71.05000305175781
2001-11-02,70.83000183105469
2001-11-05,66.68000030517578
2001-11-06,69.58000183105469
2001-11-07,72.7300033569336
2001-11-08,68.72000122070312
2001-11-09,69.4000015258789
2001-11-12,69.18000030517578
2001-11-13,71.4800033569336
