,CFV
2021-03-31,9.862000465393066
2021-04-01,9.862000465393066
2021-04-05,9.862000465393066
2021-04-06,9.949999809265137
2021-04-07,9.687000274658203
2021-04-08,9.800000190734863
2021-04-09,9.880000114440918
2021-04-12,9.899999618530273
2021-04-13,9.970000267028809
2021-04-14,9.869999885559082
2021-04-15,9.869999885559082
2021-04-16,9.869999885559082
2021-04-19,9.869999885559082
2021-04-20,9.869999885559082
2021-04-21,9.869999885559082
2021-04-22,9.800000190734863
2021-04-23,9.800000190734863
2021-04-26,9.800000190734863
2021-04-27,9.789999961853027
2021-04-28,9.800000190734863
2021-04-29,9.84000015258789
2021-04-30,9.850000381469727
2021-05-03,9.899999618530273
2021-05-04,9.760000228881836
2021-05-05,9.8100004196167
2021-05-06,9.84000015258789
2021-05-07,9.819999694824219
2021-05-10,9.829999923706055
2021-05-11,9.859999656677246
2021-05-12,9.850000381469727
2021-05-13,9.819999694824219
2021-05-14,9.800000190734863
