,CMLF
2020-11-04,9.800000190734863
2020-11-05,9.800000190734863
2020-11-06,9.800000190734863
2020-11-09,9.800000190734863
2020-11-10,9.800000190734863
2020-11-11,9.800000190734863
2020-11-12,10.300000190734863
2020-11-13,10.229999542236328
2020-11-16,9.930000305175781
2020-11-17,9.930000305175781
2020-11-18,9.930000305175781
2020-11-19,9.920000076293945
2020-11-20,10.020000457763672
2020-11-23,10.020000457763672
2020-11-24,10.069999694824219
2020-11-25,10.149999618530273
2020-11-27,10.130000114440918
2020-11-30,10.244999885559082
2020-12-01,10.35099983215332
2020-12-02,10.666000366210938
2020-12-03,10.199999809265137
2020-12-04,10.25
2020-12-07,10.5
2020-12-08,10.350000381469727
2020-12-09,10.5
2020-12-10,10.428999900817871
2020-12-11,10.5600004196167
2020-12-14,10.729999542236328
2020-12-15,10.600000381469727
2020-12-16,10.680000305175781
2020-12-17,10.65999984741211
2020-12-18,10.850000381469727
2020-12-21,11.300000190734863
2020-12-22,11.270000457763672
2020-12-23,11.470000267028809
2020-12-24,11.59000015258789
2020-12-28,11.390000343322754
2020-12-29,11.100000381469727
2020-12-30,11.069999694824219
2020-12-31,11.039999961853027
2021-01-04,10.75
2021-01-05,10.949999809265137
2021-01-06,10.890000343322754
2021-01-07,11.199999809265137
2021-01-08,11.350000381469727
2021-01-11,11.520000457763672
2021-01-12,11.729999542236328
2021-01-13,12.1899995803833
2021-01-14,12.149999618530273
2021-01-15,11.859999656677246
2021-01-19,11.649999618530273
2021-01-20,11.90999984741211
2021-01-21,12.010000228881836
2021-01-22,12.25
2021-01-25,12.489999771118164
2021-01-26,12.979999542236328
2021-01-27,12.460000038146973
2021-01-28,12.579999923706055
2021-01-29,12.510000228881836
2021-02-01,12.729999542236328
2021-02-02,13.140000343322754
2021-02-03,13.579999923706055
2021-02-04,13.75
2021-02-05,13.8100004196167
2021-02-08,14.270000457763672
2021-02-09,15.520000457763672
2021-02-10,22.100000381469727
2021-02-11,22.350000381469727
2021-02-12,25.809999465942383
2021-02-16,24.489999771118164
2021-02-17,23.280000686645508
2021-02-18,23.899999618530273
2021-02-19,23.100000381469727
2021-02-22,21.489999771118164
2021-02-23,19.559999465942383
2021-02-24,20.100000381469727
2021-02-25,19.260000228881836
2021-02-26,20.010000228881836
2021-03-01,20.979999542236328
2021-03-02,19.75
2021-03-03,18.190000534057617
2021-03-04,16.010000228881836
2021-03-05,16.40999984741211
2021-03-08,15.109999656677246
2021-03-09,16.100000381469727
2021-03-10,16.75
2021-03-11,17.229999542236328
2021-03-12,17.270000457763672
2021-03-15,17.989999771118164
2021-03-16,16.959999084472656
2021-03-17,16.649999618530273
2021-03-18,15.649999618530273
2021-03-19,15.760000228881836
2021-03-22,16.719999313354492
2021-03-23,15.4399995803833
2021-03-24,13.84000015258789
2021-03-25,14.380000114440918
2021-03-26,14.130000114440918
2021-03-29,13.670000076293945
2021-03-30,13.630000114440918
2021-03-31,14.890000343322754
2021-04-01,16.75
2021-04-05,15.609999656677246
2021-04-06,15.609999656677246
2021-04-07,15.229999542236328
2021-04-08,15.430000305175781
2021-04-09,15.0
2021-04-12,14.579999923706055
2021-04-13,14.369999885559082
2021-04-14,13.979999542236328
2021-04-15,13.550000190734863
2021-04-16,13.9399995803833
2021-04-19,13.829999923706055
2021-04-20,13.460000038146973
2021-04-21,14.210000038146973
2021-04-22,13.949999809265137
2021-04-23,14.239999771118164
2021-04-26,14.210000038146973
2021-04-27,13.84000015258789
2021-04-28,13.600000381469727
2021-04-29,13.9399995803833
2021-04-30,13.550000190734863
2021-05-03,13.210000038146973
2021-05-04,12.9399995803833
2021-05-05,12.59000015258789
2021-05-06,11.680000305175781
2021-05-07,12.069999694824219
2021-05-10,11.050000190734863
2021-05-11,10.75
2021-05-12,11.109999656677246
2021-05-13,11.029999732971191
2021-05-14,11.130000114440918
