,ADAG
2021-02-09,29.989999771118164
2021-02-10,26.200000762939453
2021-02-11,29.600000381469727
2021-02-12,27.65999984741211
2021-02-16,25.559999465942383
2021-02-17,25.459999084472656
2021-02-18,25.15999984741211
2021-02-19,26.31999969482422
2021-02-22,26.239999771118164
2021-02-23,24.860000610351562
2021-02-24,25.0
2021-02-25,24.860000610351562
2021-02-26,24.5
2021-03-01,24.979999542236328
2021-03-02,24.559999465942383
2021-03-03,23.75
2021-03-04,22.989999771118164
2021-03-05,23.110000610351562
2021-03-08,21.719999313354492
2021-03-09,21.219999313354492
2021-03-10,21.010000228881836
2021-03-11,21.3799991607666
2021-03-12,22.219999313354492
2021-03-15,21.950000762939453
2021-03-16,22.360000610351562
2021-03-17,22.0
2021-03-18,21.40999984741211
2021-03-19,20.950000762939453
2021-03-22,18.770000457763672
2021-03-23,18.729999542236328
2021-03-24,17.739999771118164
2021-03-25,17.709999084472656
2021-03-26,17.729999542236328
2021-03-29,17.0
2021-03-30,17.389999389648438
2021-03-31,17.950000762939453
2021-04-01,17.68000030517578
2021-04-05,17.8700008392334
2021-04-06,17.75
2021-04-07,16.950000762939453
2021-04-08,15.84000015258789
2021-04-09,14.479999542236328
2021-04-12,13.430000305175781
2021-04-13,13.460000038146973
2021-04-14,13.600000381469727
2021-04-15,13.199999809265137
2021-04-16,13.390000343322754
2021-04-19,13.329999923706055
2021-04-20,13.5
2021-04-21,15.399999618530273
2021-04-22,14.069999694824219
2021-04-23,14.880000114440918
2021-04-26,15.050000190734863
2021-04-27,15.175000190734863
2021-04-28,14.8100004196167
2021-04-29,14.779999732971191
2021-04-30,14.600000381469727
2021-05-03,14.489999771118164
2021-05-04,13.6899995803833
2021-05-05,13.399999618530273
2021-05-06,12.670000076293945
2021-05-07,12.649999618530273
2021-05-10,11.800000190734863
2021-05-11,13.079999923706055
2021-05-12,12.550000190734863
2021-05-13,12.550000190734863
2021-05-14,12.699999809265137
