,AOUT
2020-08-21,15.5
2020-08-24,19.399999618530273
2020-08-25,17.780000686645508
2020-08-26,18.93000030517578
2020-08-27,17.940000534057617
2020-08-28,16.459999084472656
2020-08-31,15.229999542236328
2020-09-01,16.280000686645508
2020-09-02,16.200000762939453
2020-09-03,15.229999542236328
2020-09-04,14.630000114440918
2020-09-08,13.300000190734863
2020-09-09,13.420000076293945
2020-09-10,14.0
2020-09-11,14.229999542236328
2020-09-14,13.760000228881836
2020-09-15,13.010000228881836
2020-09-16,13.460000038146973
2020-09-17,14.3100004196167
2020-09-18,13.9399995803833
2020-09-21,13.210000038146973
2020-09-22,12.949999809265137
2020-09-23,12.770000457763672
2020-09-24,13.739999771118164
2020-09-25,13.170000076293945
2020-09-28,13.859999656677246
2020-09-29,13.520000457763672
2020-09-30,13.029999732971191
2020-10-01,12.989999771118164
2020-10-02,13.109999656677246
2020-10-05,13.529999732971191
2020-10-06,13.920000076293945
2020-10-07,13.979999542236328
2020-10-08,14.930000305175781
2020-10-09,15.010000228881836
2020-10-12,15.079999923706055
2020-10-13,15.229999542236328
2020-10-14,15.050000190734863
2020-10-15,15.130000114440918
2020-10-16,15.010000228881836
2020-10-19,15.069999694824219
2020-10-20,15.789999961853027
2020-10-21,15.140000343322754
2020-10-22,14.9399995803833
2020-10-23,15.079999923706055
2020-10-26,14.170000076293945
2020-10-27,15.0
2020-10-28,15.210000038146973
2020-10-29,15.640000343322754
2020-10-30,15.130000114440918
2020-11-02,15.550000190734863
2020-11-03,15.75
2020-11-04,15.34000015258789
2020-11-05,15.369999885559082
2020-11-06,14.880000114440918
2020-11-09,14.239999771118164
2020-11-10,14.569999694824219
2020-11-11,14.579999923706055
2020-11-12,14.140000343322754
2020-11-13,14.199999809265137
2020-11-16,14.119999885559082
2020-11-17,13.989999771118164
2020-11-18,14.880000114440918
2020-11-19,14.960000038146973
2020-11-20,14.239999771118164
2020-11-23,14.449999809265137
2020-11-24,14.369999885559082
2020-11-25,13.979999542236328
2020-11-27,14.229999542236328
2020-11-30,13.885000228881836
2020-12-01,13.960000038146973
2020-12-02,13.899999618530273
2020-12-03,13.670000076293945
2020-12-04,13.84000015258789
2020-12-07,13.819999694824219
2020-12-08,13.899999618530273
2020-12-09,13.779999732971191
2020-12-10,13.949999809265137
2020-12-11,13.90999984741211
2020-12-14,14.069999694824219
2020-12-15,15.84000015258789
2020-12-16,17.59000015258789
2020-12-17,18.530000686645508
2020-12-18,17.850000381469727
2020-12-21,17.56999969482422
2020-12-22,18.15999984741211
2020-12-23,18.139999389648438
2020-12-24,17.479999542236328
2020-12-28,17.450000762939453
2020-12-29,16.809999465942383
2020-12-30,17.1200008392334
2020-12-31,17.030000686645508
2021-01-04,16.700000762939453
2021-01-05,17.360000610351562
2021-01-06,18.489999771118164
2021-01-07,19.440000534057617
2021-01-08,19.010000228881836
2021-01-11,19.440000534057617
2021-01-12,20.299999237060547
2021-01-13,19.860000610351562
2021-01-14,19.969999313354492
2021-01-15,19.729999542236328
2021-01-19,19.93000030517578
2021-01-20,19.479999542236328
2021-01-21,19.1299991607666
2021-01-22,19.84000015258789
2021-01-25,20.6200008392334
2021-01-26,20.239999771118164
2021-01-27,19.399999618530273
2021-01-28,19.780000686645508
2021-01-29,18.979999542236328
2021-02-01,19.59000015258789
2021-02-02,19.559999465942383
2021-02-03,19.34000015258789
2021-02-04,19.90999984741211
2021-02-05,19.489999771118164
2021-02-08,19.670000076293945
2021-02-09,20.15999984741211
2021-02-10,21.0
2021-02-11,22.5
2021-02-12,23.309999465942383
2021-02-16,23.25
2021-02-17,22.829999923706055
2021-02-18,22.239999771118164
2021-02-19,23.329999923706055
2021-02-22,22.469999313354492
2021-02-23,21.75
2021-02-24,21.610000610351562
2021-02-25,20.899999618530273
2021-02-26,20.010000228881836
2021-03-01,21.139999389648438
2021-03-02,20.770000457763672
2021-03-03,20.200000762939453
2021-03-04,20.739999771118164
2021-03-05,21.329999923706055
2021-03-08,21.649999618530273
2021-03-09,22.510000228881836
2021-03-10,22.520000457763672
2021-03-11,22.93000030517578
2021-03-12,22.700000762939453
2021-03-15,21.920000076293945
2021-03-16,22.540000915527344
2021-03-17,23.219999313354492
2021-03-18,26.0
2021-03-19,26.139999389648438
2021-03-22,26.030000686645508
2021-03-23,25.420000076293945
2021-03-24,24.6299991607666
2021-03-25,25.25
2021-03-26,26.100000381469727
2021-03-29,25.030000686645508
2021-03-30,24.75
2021-03-31,25.200000762939453
2021-04-01,26.06999969482422
2021-04-05,26.360000610351562
2021-04-06,25.81999969482422
2021-04-07,25.43000030517578
2021-04-08,26.639999389648438
2021-04-09,26.56999969482422
2021-04-12,28.860000610351562
2021-04-13,28.520000457763672
2021-04-14,27.309999465942383
2021-04-15,26.899999618530273
2021-04-16,26.329999923706055
2021-04-19,25.8799991607666
2021-04-20,25.34000015258789
2021-04-21,26.040000915527344
2021-04-22,25.90999984741211
2021-04-23,26.610000610351562
2021-04-26,26.979999542236328
2021-04-27,27.200000762939453
2021-04-28,26.6200008392334
2021-04-29,26.8799991607666
2021-04-30,25.850000381469727
2021-05-03,26.440000534057617
2021-05-04,26.559999465942383
2021-05-05,27.170000076293945
2021-05-06,26.8799991607666
2021-05-07,27.540000915527344
2021-05-10,27.229999542236328
2021-05-11,27.260000228881836
2021-05-12,27.610000610351562
2021-05-13,27.940000534057617
2021-05-14,29.75
