,CLSN
1999-09-13,931.16552734375
1999-09-14,901.604736328125
1999-09-15,901.604736328125
1999-09-16,916.3851318359375
1999-09-17,931.16552734375
1999-09-20,916.3851318359375
1999-09-21,901.604736328125
1999-09-22,901.604736328125
1999-09-23,945.9459228515625
1999-09-24,886.8243408203125
1999-09-27,872.0439453125
1999-09-28,798.1419067382812
1999-09-29,827.7026977539062
1999-09-30,827.7026977539062
1999-10-01,753.8006591796875
1999-10-04,783.3615112304688
1999-10-05,783.3615112304688
1999-10-06,798.1419067382812
1999-10-07,798.1419067382812
1999-10-08,753.8006591796875
1999-10-11,783.3615112304688
1999-10-12,901.604736328125
1999-10-13,872.0439453125
1999-10-14,857.2634887695312
1999-10-15,857.2634887695312
1999-10-18,857.2634887695312
1999-10-19,798.1419067382812
1999-10-20,827.7026977539062
1999-10-21,827.7026977539062
1999-10-22,827.7026977539062
1999-10-25,827.7026977539062
1999-10-26,812.9223022460938
1999-10-27,842.4830932617188
1999-10-28,812.9223022460938
1999-10-29,842.4830932617188
1999-11-01,827.7026977539062
1999-11-02,783.3615112304688
1999-11-03,753.8006591796875
1999-11-04,753.8006591796875
1999-11-05,739.020263671875
1999-11-08,709.45947265625
1999-11-09,724.2398681640625
1999-11-10,709.45947265625
1999-11-11,709.45947265625
1999-11-12,739.020263671875
1999-11-15,783.3615112304688
1999-11-16,753.8006591796875
1999-11-17,768.5810546875
1999-11-18,768.5810546875
1999-11-19,753.8006591796875
1999-11-22,753.8006591796875
1999-11-23,768.5810546875
1999-11-24,753.8006591796875
1999-11-26,768.5810546875
1999-11-29,724.2398681640625
1999-11-30,753.8006591796875
1999-12-01,768.5810546875
1999-12-02,768.5810546875
1999-12-03,768.5810546875
1999-12-06,768.5810546875
1999-12-07,812.9223022460938
1999-12-08,886.8243408203125
1999-12-09,960.7263793945312
1999-12-10,975.5067749023438
1999-12-13,1359.7972412109375
1999-12-14,1773.648681640625
1999-12-15,2719.594482421875
1999-12-16,2483.108154296875
1999-12-17,1803.20947265625
1999-12-20,2364.86474609375
1999-12-21,2601.351318359375
1999-12-22,2010.1351318359375
1999-12-23,2364.86474609375
1999-12-27,2571.79052734375
1999-12-28,2601.351318359375
1999-12-29,2778.71630859375
1999-12-30,2778.71630859375
1999-12-31,2778.71630859375
2000-01-03,2837.837890625
2000-01-04,2660.472900390625
2000-01-05,2364.86474609375
2000-01-06,2483.108154296875
