,CAC
1997-10-08,11.11111068725586
1997-10-09,11.222222328186035
1997-10-10,11.333333015441895
1997-10-13,11.5
1997-10-14,11.722222328186035
1997-10-15,12.0
1997-10-16,12.5
1997-10-17,12.777777671813965
1997-10-20,12.972222328186035
1997-10-21,13.0
1997-10-22,13.222222328186035
1997-10-23,12.944443702697754
1997-10-24,13.055556297302246
1997-10-27,13.11111068725586
1997-10-28,13.11111068725586
1997-10-29,13.0
1997-10-30,13.0
1997-10-31,13.0
1997-11-03,13.166666984558105
1997-11-04,13.11111068725586
1997-11-05,13.11111068725586
1997-11-06,13.11111068725586
1997-11-07,13.38888931274414
1997-11-10,13.444443702697754
1997-11-11,13.444443702697754
1997-11-12,13.5
1997-11-13,13.222222328186035
1997-11-14,13.36111068725586
1997-11-17,13.333333015441895
1997-11-18,13.38888931274414
1997-11-19,13.222222328186035
1997-11-20,13.222222328186035
1997-11-21,13.277777671813965
1997-11-24,13.166666984558105
1997-11-25,13.222222328186035
1997-11-26,13.11111068725586
1997-11-28,13.11111068725586
1997-12-01,13.11111068725586
1997-12-02,13.055556297302246
1997-12-03,13.0
1997-12-04,12.555556297302246
1997-12-05,13.0
1997-12-08,13.0
1997-12-09,13.0
1997-12-10,13.0
1997-12-11,12.88888931274414
1997-12-12,12.944443702697754
1997-12-15,12.86111068725586
1997-12-16,12.86111068725586
1997-12-17,12.88888931274414
1997-12-18,13.11111068725586
1997-12-19,12.722222328186035
1997-12-22,13.055556297302246
1997-12-23,13.055556297302246
1997-12-24,13.055556297302246
1997-12-26,13.055556297302246
1997-12-29,13.027777671813965
1997-12-30,12.944443702697754
1997-12-31,13.01388931274414
1998-01-02,12.944443702697754
1998-01-05,13.11111068725586
1998-01-06,13.11111068725586
1998-01-07,13.222222328186035
1998-01-08,12.944443702697754
1998-01-09,12.88888931274414
1998-01-12,12.333333015441895
1998-01-13,12.277777671813965
1998-01-14,12.333333015441895
1998-01-15,12.430556297302246
1998-01-16,12.833333015441895
1998-01-20,13.027777671813965
1998-01-21,13.222222328186035
1998-01-22,13.055556297302246
1998-01-23,13.055556297302246
1998-01-26,13.11111068725586
1998-01-27,13.055556297302246
1998-01-28,13.055556297302246
1998-01-29,12.833333015441895
1998-01-30,12.88888931274414
1998-02-02,12.88888931274414
1998-02-03,12.88888931274414
1998-02-04,12.88888931274414
1998-02-05,13.0
1998-02-06,13.0
1998-02-09,13.194443702697754
1998-02-10,13.277777671813965
1998-02-11,13.277777671813965
1998-02-12,13.166666984558105
1998-02-13,13.333333015441895
1998-02-17,13.222222328186035
1998-02-18,13.305556297302246
1998-02-19,13.166666984558105
1998-02-20,12.833333015441895
1998-02-23,12.88888931274414
1998-02-24,13.277777671813965
1998-02-25,13.277777671813965
1998-02-26,13.277777671813965
1998-02-27,13.319443702697754
1998-03-02,13.11111068725586
1998-03-03,13.11111068725586
1998-03-04,12.88888931274414
1998-03-05,12.777777671813965
1998-03-06,12.777777671813965
1998-03-09,12.972222328186035
1998-03-10,13.083333015441895
1998-03-11,13.083333015441895
1998-03-12,13.083333015441895
1998-03-13,13.069443702697754
1998-03-16,13.083333015441895
1998-03-17,13.055556297302246
1998-03-18,13.055556297302246
1998-03-19,12.972222328186035
1998-03-20,12.972222328186035
1998-03-23,13.055556297302246
1998-03-24,13.055556297302246
1998-03-25,12.944443702697754
1998-03-26,12.944443702697754
1998-03-27,13.0
1998-03-30,12.88888931274414
1998-03-31,12.88888931274414
1998-04-01,12.88888931274414
1998-04-02,12.666666984558105
1998-04-03,13.027777671813965
1998-04-06,13.166666984558105
1998-04-07,12.944443702697754
1998-04-08,13.083333015441895
1998-04-09,12.944443702697754
1998-04-13,12.88888931274414
1998-04-14,12.88888931274414
1998-04-15,13.0
1998-04-16,12.944443702697754
1998-04-17,13.027777671813965
1998-04-20,13.222222328186035
1998-04-21,13.055556297302246
1998-04-22,13.055556297302246
1998-04-23,13.055556297302246
1998-04-24,12.944443702697754
1998-04-27,12.944443702697754
1998-04-28,12.972222328186035
1998-04-29,12.88888931274414
1998-04-30,12.88888931274414
1998-05-01,12.88888931274414
1998-05-04,13.055556297302246
1998-05-05,13.11111068725586
1998-05-06,13.11111068725586
1998-05-07,13.11111068725586
1998-05-08,13.11111068725586
1998-05-11,13.11111068725586
1998-05-12,13.11111068725586
1998-05-13,13.11111068725586
1998-05-14,13.11111068725586
