,ERYP
2017-10-26,29.700000762939453
2017-10-27,29.700000762939453
2017-10-30,29.700000762939453
2017-10-31,29.700000762939453
2017-11-01,29.700000762939453
2017-11-02,29.700000762939453
2017-11-03,29.700000762939453
2017-11-06,29.700000762939453
2017-11-07,29.700000762939453
2017-11-08,29.700000762939453
2017-11-09,29.700000762939453
2017-11-10,24.75
2017-11-13,25.600000381469727
2017-11-14,26.6299991607666
2017-11-15,25.639999389648438
2017-11-16,25.950000762939453
2017-11-17,26.6200008392334
2017-11-20,26.079999923706055
2017-11-21,26.010000228881836
2017-11-22,26.799999237060547
2017-11-24,26.610000610351562
2017-11-27,27.299999237060547
2017-11-28,28.65999984741211
2017-11-29,28.139999389648438
2017-11-30,28.450000762939453
2017-12-01,27.75
2017-12-04,29.360000610351562
2017-12-05,30.299999237060547
2017-12-06,28.8700008392334
2017-12-07,27.940000534057617
2017-12-08,19.200000762939453
2017-12-11,18.290000915527344
2017-12-12,18.559999465942383
2017-12-13,18.5
2017-12-14,18.600000381469727
2017-12-15,18.389999389648438
2017-12-18,18.389999389648438
2017-12-19,19.020000457763672
2017-12-20,17.93000030517578
2017-12-21,18.729999542236328
2017-12-22,18.700000762939453
2017-12-26,18.6200008392334
2017-12-27,19.75
2017-12-28,20.56999969482422
2017-12-29,22.020000457763672
2018-01-02,21.645000457763672
2018-01-03,21.399999618530273
2018-01-04,21.226999282836914
2018-01-05,21.399999618530273
2018-01-08,22.027999877929688
2018-01-09,22.6200008392334
2018-01-10,22.770000457763672
2018-01-11,21.799999237060547
2018-01-12,22.43000030517578
2018-01-16,22.049999237060547
2018-01-17,22.5
2018-01-18,22.5
2018-01-19,22.049999237060547
2018-01-22,23.030000686645508
2018-01-23,23.149999618530273
2018-01-24,23.073999404907227
2018-01-25,22.799999237060547
2018-01-26,22.799999237060547
2018-01-29,23.280000686645508
2018-01-30,23.280000686645508
2018-01-31,22.6200008392334
2018-02-01,22.639999389648438
2018-02-02,22.51799964904785
2018-02-05,20.0
2018-02-06,20.6299991607666
2018-02-07,20.860000610351562
2018-02-08,20.860000610351562
2018-02-09,20.299999237060547
2018-02-12,20.299999237060547
2018-02-13,20.219999313354492
2018-02-14,20.84000015258789
2018-02-15,20.959999084472656
2018-02-16,21.510000228881836
2018-02-20,21.010000228881836
2018-02-21,21.010000228881836
2018-02-22,20.360000610351562
2018-02-23,20.489999771118164
2018-02-26,20.489999771118164
2018-02-27,20.489999771118164
2018-02-28,20.739999771118164
2018-03-01,20.299999237060547
2018-03-02,20.420000076293945
2018-03-05,20.15999984741211
2018-03-06,20.610000610351562
2018-03-07,20.3799991607666
2018-03-08,20.75
2018-03-09,20.6200008392334
2018-03-12,20.5
2018-03-13,20.5
2018-03-14,20.600000381469727
2018-03-15,20.600000381469727
2018-03-16,20.600000381469727
2018-03-19,20.290000915527344
2018-03-20,20.43000030517578
2018-03-21,20.360000610351562
2018-03-22,20.200000762939453
2018-03-23,20.200000762939453
2018-03-26,20.600000381469727
2018-03-27,20.600000381469727
2018-03-28,20.600000381469727
2018-03-29,21.0
2018-04-02,20.25
2018-04-03,20.309999465942383
2018-04-04,20.559999465942383
2018-04-05,20.559999465942383
2018-04-06,20.440000534057617
2018-04-09,20.440000534057617
2018-04-10,21.110000610351562
2018-04-11,20.829999923706055
2018-04-12,21.010000228881836
2018-04-13,20.920000076293945
2018-04-16,20.690000534057617
2018-04-17,20.690000534057617
2018-04-18,20.690000534057617
2018-04-19,21.40999984741211
2018-04-20,21.40999984741211
2018-04-23,20.84000015258789
2018-04-24,21.0
2018-04-25,20.850000381469727
2018-04-26,20.5
2018-04-27,20.649999618530273
2018-04-30,20.649999618530273
2018-05-01,20.450000762939453
2018-05-02,20.309999465942383
2018-05-03,20.440000534057617
2018-05-04,20.440000534057617
2018-05-07,20.43000030517578
2018-05-08,20.43000030517578
2018-05-09,20.43000030517578
2018-05-10,20.40999984741211
2018-05-11,20.309999465942383
2018-05-14,20.309999465942383
2018-05-15,20.274999618530273
2018-05-16,20.274999618530273
2018-05-17,20.0
2018-05-18,20.0
2018-05-21,20.0
2018-05-22,19.756999969482422
2018-05-23,19.756999969482422
2018-05-24,19.756999969482422
2018-05-25,19.756999969482422
2018-05-29,18.0
2018-05-30,18.989999771118164
2018-05-31,18.450000762939453
2018-06-01,18.200000762939453
2018-06-04,18.200000762939453
2018-06-05,18.30299949645996
2018-06-06,18.30299949645996
2018-06-07,18.6200008392334
2018-06-08,19.149999618530273
2018-06-11,18.25
2018-06-12,18.329999923706055
2018-06-13,18.329999923706055
2018-06-14,18.25
2018-06-15,18.25
2018-06-18,18.06999969482422
2018-06-19,17.559999465942383
2018-06-20,18.190000534057617
2018-06-21,17.989999771118164
2018-06-22,17.950000762939453
2018-06-25,12.75
2018-06-26,12.439000129699707
2018-06-27,11.234999656677246
2018-06-28,11.199999809265137
2018-06-29,11.170000076293945
2018-07-02,10.746000289916992
2018-07-03,10.220000267028809
2018-07-05,11.3100004196167
2018-07-06,11.119999885559082
2018-07-09,11.119999885559082
2018-07-10,11.043000221252441
2018-07-11,10.710000038146973
2018-07-12,11.125
2018-07-13,10.979999542236328
2018-07-16,10.84000015258789
2018-07-17,11.25
2018-07-18,10.84000015258789
2018-07-19,11.0600004196167
2018-07-20,11.100000381469727
2018-07-23,10.850000381469727
2018-07-24,10.949999809265137
2018-07-25,10.949999809265137
2018-07-26,10.949999809265137
2018-07-27,10.4399995803833
2018-07-30,11.119000434875488
2018-07-31,11.029999732971191
2018-08-01,11.029999732971191
2018-08-02,11.40999984741211
2018-08-03,10.5600004196167
2018-08-06,10.5600004196167
2018-08-07,10.65999984741211
2018-08-08,10.65999984741211
2018-08-09,10.479999542236328
2018-08-10,10.239999771118164
2018-08-13,10.109999656677246
2018-08-14,10.029999732971191
2018-08-15,9.720000267028809
2018-08-16,9.720000267028809
2018-08-17,10.255999565124512
2018-08-20,10.255999565124512
2018-08-21,10.458999633789062
2018-08-22,10.392000198364258
2018-08-23,10.392000198364258
2018-08-24,10.392000198364258
2018-08-27,10.380000114440918
2018-08-28,10.380000114440918
2018-08-29,10.380000114440918
2018-08-30,10.369999885559082
2018-08-31,10.550000190734863
2018-09-04,10.100000381469727
2018-09-05,10.199999809265137
2018-09-06,9.800000190734863
2018-09-07,9.640000343322754
2018-09-10,9.640000343322754
2018-09-11,10.710000038146973
2018-09-12,10.399999618530273
2018-09-13,10.399999618530273
2018-09-14,10.0
2018-09-17,10.25
2018-09-18,10.25
2018-09-19,10.25
2018-09-20,9.789999961853027
2018-09-21,9.940999984741211
2018-09-24,9.795000076293945
2018-09-25,9.40999984741211
2018-09-26,9.0
2018-09-27,9.074999809265137
2018-09-28,8.569999694824219
2018-10-01,8.920000076293945
2018-10-02,8.899999618530273
2018-10-03,9.22599983215332
2018-10-04,9.22599983215332
2018-10-05,9.22599983215332
2018-10-08,9.22599983215332
2018-10-09,8.5
2018-10-10,8.25
2018-10-11,8.180000305175781
2018-10-12,8.180000305175781
2018-10-15,8.180000305175781
2018-10-16,7.849999904632568
2018-10-17,7.800000190734863
2018-10-18,7.849999904632568
2018-10-19,7.800000190734863
2018-10-22,7.739999771118164
2018-10-23,7.079999923706055
2018-10-24,6.630000114440918
2018-10-25,8.119999885559082
2018-10-26,7.23199987411499
2018-10-29,7.0
2018-10-30,7.090000152587891
2018-10-31,7.050000190734863
2018-11-01,7.584000110626221
2018-11-02,7.409999847412109
2018-11-05,7.829999923706055
2018-11-06,7.880000114440918
2018-11-07,7.820000171661377
2018-11-08,8.100000381469727
2018-11-09,7.710000038146973
2018-11-12,7.260000228881836
2018-11-13,7.880000114440918
2018-11-14,8.039999961853027
2018-11-15,7.320000171661377
2018-11-16,7.630000114440918
2018-11-19,7.130000114440918
2018-11-20,6.570000171661377
2018-11-21,6.570000171661377
2018-11-23,7.21999979019165
2018-11-26,7.0
2018-11-27,7.142000198364258
2018-11-28,7.199999809265137
2018-11-29,7.561999797821045
2018-11-30,7.756999969482422
2018-12-03,7.71999979019165
2018-12-04,7.71999979019165
2018-12-06,7.389999866485596
2018-12-07,7.0
2018-12-10,6.880000114440918
2018-12-11,7.0
2018-12-12,7.420000076293945
2018-12-13,7.420000076293945
2018-12-14,6.929999828338623
2018-12-17,7.374000072479248
