,AGNC
2008-05-15,19.350000381469727
2008-05-16,19.989999771118164
2008-05-19,19.510000228881836
2008-05-20,19.350000381469727
2008-05-21,19.25
2008-05-22,19.0
2008-05-23,19.049999237060547
2008-05-27,19.100000381469727
2008-05-28,19.25
2008-05-29,19.700000762939453
2008-05-30,19.700000762939453
2008-06-02,19.600000381469727
2008-06-03,19.06999969482422
2008-06-04,19.100000381469727
2008-06-05,19.329999923706055
2008-06-06,19.020000457763672
2008-06-09,19.0
2008-06-10,18.200000762939453
2008-06-11,17.149999618530273
2008-06-12,17.229999542236328
2008-06-13,17.059999465942383
2008-06-16,17.799999237060547
2008-06-17,17.8700008392334
2008-06-18,17.040000915527344
2008-06-19,16.8799991607666
2008-06-20,16.6299991607666
2008-06-23,17.899999618530273
2008-06-24,17.760000228881836
2008-06-25,17.799999237060547
2008-06-26,17.209999084472656
2008-06-27,17.110000610351562
2008-06-30,16.639999389648438
2008-07-01,16.399999618530273
2008-07-02,16.649999618530273
2008-07-03,16.479999542236328
2008-07-07,14.979999542236328
2008-07-08,15.5
2008-07-09,14.869999885559082
2008-07-10,13.970000267028809
2008-07-11,14.859999656677246
2008-07-14,15.729999542236328
2008-07-15,14.729999542236328
2008-07-16,15.109999656677246
2008-07-17,15.649999618530273
2008-07-18,15.529999732971191
2008-07-21,15.460000038146973
2008-07-22,15.770000457763672
2008-07-23,15.920000076293945
2008-07-24,15.430000305175781
2008-07-25,15.399999618530273
2008-07-28,15.010000228881836
2008-07-29,15.710000038146973
2008-07-30,15.65999984741211
2008-07-31,15.640000343322754
2008-08-01,15.920000076293945
2008-08-04,15.699999809265137
2008-08-05,15.789999961853027
2008-08-06,15.640000343322754
2008-08-07,15.350000381469727
2008-08-08,16.489999771118164
2008-08-11,16.739999771118164
2008-08-12,16.68000030517578
2008-08-13,16.649999618530273
2008-08-14,16.790000915527344
2008-08-15,16.709999084472656
2008-08-18,16.709999084472656
2008-08-19,16.700000762939453
2008-08-20,17.100000381469727
2008-08-21,17.459999084472656
2008-08-22,18.110000610351562
2008-08-25,17.65999984741211
2008-08-26,17.520000457763672
2008-08-27,18.200000762939453
2008-08-28,18.739999771118164
2008-08-29,18.950000762939453
2008-09-02,18.639999389648438
2008-09-03,18.520000457763672
2008-09-04,18.34000015258789
2008-09-05,18.6200008392334
2008-09-08,20.0
2008-09-09,18.899999618530273
2008-09-10,19.139999389648438
2008-09-11,18.950000762939453
2008-09-12,19.68000030517578
2008-09-15,18.270000457763672
2008-09-16,18.700000762939453
2008-09-17,16.770000457763672
2008-09-18,17.829999923706055
2008-09-19,18.68000030517578
2008-09-22,18.149999618530273
2008-09-23,19.489999771118164
2008-09-24,19.530000686645508
2008-09-25,18.229999542236328
2008-09-26,17.809999465942383
2008-09-29,15.859999656677246
2008-09-30,17.31999969482422
2008-10-01,16.84000015258789
2008-10-02,16.3799991607666
2008-10-03,16.299999237060547
2008-10-06,16.739999771118164
2008-10-07,16.299999237060547
2008-10-08,15.819999694824219
2008-10-09,15.039999961853027
2008-10-10,14.710000038146973
2008-10-13,15.399999618530273
2008-10-14,15.1899995803833
2008-10-15,14.800000190734863
2008-10-16,16.3799991607666
2008-10-17,16.389999389648438
2008-10-20,17.260000228881836
2008-10-21,16.899999618530273
2008-10-22,16.25
2008-10-23,15.949999809265137
2008-10-24,15.850000381469727
2008-10-27,15.800000190734863
2008-10-28,16.979999542236328
2008-10-29,17.170000076293945
2008-10-30,18.010000228881836
2008-10-31,18.600000381469727
2008-11-03,18.5
2008-11-04,18.979999542236328
2008-11-05,18.989999771118164
2008-11-06,18.75
2008-11-07,18.860000610351562
2008-11-10,17.81999969482422
2008-11-11,17.40999984741211
2008-11-12,17.190000534057617
2008-11-13,18.93000030517578
2008-11-14,18.25
2008-11-17,18.209999084472656
2008-11-18,18.8700008392334
2008-11-19,17.889999389648438
2008-11-20,16.889999389648438
2008-11-21,17.540000915527344
2008-11-24,18.5
2008-11-25,19.309999465942383
2008-11-26,19.700000762939453
2008-11-28,19.940000534057617
2008-12-01,18.440000534057617
2008-12-02,19.93000030517578
2008-12-03,19.959999084472656
2008-12-04,19.389999389648438
2008-12-05,19.600000381469727
2008-12-08,19.850000381469727
2008-12-09,19.1200008392334
2008-12-10,19.1299991607666
2008-12-11,17.93000030517578
2008-12-12,18.329999923706055
2008-12-15,17.93000030517578
2008-12-16,19.170000076293945
2008-12-17,19.139999389648438
2008-12-18,19.299999237060547
2008-12-19,20.0
2008-12-22,21.239999771118164
2008-12-23,21.389999389648438
2008-12-24,21.950000762939453
2008-12-26,21.600000381469727
2008-12-29,20.639999389648438
2008-12-30,20.84000015258789
2008-12-31,21.360000610351562
2009-01-02,20.940000534057617
2009-01-05,21.100000381469727
2009-01-06,21.190000534057617
2009-01-07,21.1299991607666
2009-01-08,21.239999771118164
2009-01-09,20.829999923706055
2009-01-12,20.600000381469727
2009-01-13,21.040000915527344
2009-01-14,20.899999618530273
2009-01-15,20.8799991607666
2009-01-16,20.56999969482422
2009-01-20,19.860000610351562
2009-01-21,20.43000030517578
2009-01-22,19.989999771118164
2009-01-23,19.93000030517578
2009-01-26,20.149999618530273
2009-01-27,20.43000030517578
2009-01-28,20.700000762939453
2009-01-29,20.170000076293945
2009-01-30,19.979999542236328
2009-02-02,19.899999618530273
2009-02-03,20.299999237060547
2009-02-04,19.84000015258789
2009-02-05,17.799999237060547
2009-02-06,17.360000610351562
2009-02-09,17.239999771118164
2009-02-10,16.81999969482422
2009-02-11,17.0
2009-02-12,16.8799991607666
2009-02-13,16.8799991607666
2009-02-17,16.399999618530273
2009-02-18,16.209999084472656
2009-02-19,15.90999984741211
2009-02-20,15.970000267028809
2009-02-23,15.920000076293945
2009-02-24,16.8700008392334
2009-02-25,16.280000686645508
2009-02-26,16.459999084472656
2009-02-27,16.100000381469727
2009-03-02,15.279999732971191
2009-03-03,15.010000228881836
2009-03-04,15.350000381469727
2009-03-05,14.960000038146973
2009-03-06,14.729999542236328
2009-03-09,15.0
2009-03-10,16.25
2009-03-11,16.610000610351562
2009-03-12,16.489999771118164
2009-03-13,17.479999542236328
2009-03-16,17.399999618530273
2009-03-17,17.5
2009-03-18,17.6299991607666
2009-03-19,16.829999923706055
2009-03-20,16.360000610351562
2009-03-23,16.84000015258789
2009-03-24,16.799999237060547
2009-03-25,17.3799991607666
2009-03-26,17.850000381469727
2009-03-27,17.670000076293945
2009-03-30,17.809999465942383
2009-03-31,17.110000610351562
2009-04-01,16.920000076293945
2009-04-02,17.1200008392334
2009-04-03,17.209999084472656
2009-04-06,17.110000610351562
2009-04-07,16.979999542236328
2009-04-08,17.1299991607666
2009-04-09,17.18000030517578
2009-04-13,17.31999969482422
2009-04-14,16.899999618530273
2009-04-15,17.149999618530273
2009-04-16,17.469999313354492
2009-04-17,17.510000228881836
2009-04-20,17.110000610351562
2009-04-21,17.540000915527344
2009-04-22,17.31999969482422
2009-04-23,17.079999923706055
2009-04-24,17.049999237060547
2009-04-27,17.1200008392334
2009-04-28,17.270000457763672
2009-04-29,17.68000030517578
2009-04-30,18.75
2009-05-01,18.389999389648438
2009-05-04,18.639999389648438
2009-05-05,18.399999618530273
2009-05-06,18.6200008392334
2009-05-07,18.459999084472656
2009-05-08,18.690000534057617
2009-05-11,18.56999969482422
2009-05-12,18.84000015258789
2009-05-13,18.559999465942383
2009-05-14,18.850000381469727
2009-05-15,18.850000381469727
2009-05-18,19.270000457763672
2009-05-19,19.3700008392334
2009-05-20,19.139999389648438
2009-05-21,19.239999771118164
2009-05-22,19.200000762939453
2009-05-26,19.739999771118164
2009-05-27,19.209999084472656
2009-05-28,19.469999313354492
2009-05-29,18.989999771118164
2009-06-01,19.270000457763672
2009-06-02,19.940000534057617
2009-06-03,19.899999618530273
2009-06-04,20.239999771118164
2009-06-05,19.889999389648438
2009-06-08,19.889999389648438
2009-06-09,20.360000610351562
2009-06-10,19.600000381469727
2009-06-11,19.110000610351562
2009-06-12,19.15999984741211
2009-06-15,19.309999465942383
2009-06-16,19.59000015258789
2009-06-17,19.969999313354492
2009-06-18,20.450000762939453
