,CLAR
1998-05-27,8.483034133911133
1998-05-28,8.046406745910645
1998-05-29,7.984032154083252
1998-06-01,7.6097798347473145
1998-06-02,7.8125
1998-06-03,8.358283042907715
1998-06-04,8.483034133911133
1998-06-05,8.483034133911133
1998-06-08,8.483034133911133
1998-06-09,8.420659065246582
1998-06-10,8.545409202575684
1998-06-11,8.358283042907715
1998-06-12,7.796905994415283
1998-06-15,7.859281063079834
1998-06-16,7.859281063079834
1998-06-17,8.108781814575195
1998-06-18,8.108781814575195
1998-06-19,8.171157836914062
1998-06-22,8.732535362243652
1998-06-23,8.545409202575684
1998-06-24,8.420659065246582
1998-06-25,8.483034133911133
1998-06-26,8.732535362243652
1998-06-29,8.982035636901855
1998-06-30,9.106785774230957
1998-07-01,8.732535362243652
1998-07-02,8.732535362243652
1998-07-06,8.732535362243652
1998-07-07,8.857284545898438
1998-07-08,8.919660568237305
1998-07-09,8.919660568237305
1998-07-10,8.857284545898438
1998-07-13,8.857284545898438
1998-07-14,8.732535362243652
1998-07-15,8.857284545898438
1998-07-16,9.106785774230957
1998-07-17,9.106785774230957
1998-07-20,9.106785774230957
1998-07-21,9.605788230895996
1998-07-22,9.106785774230957
1998-07-23,9.106785774230957
1998-07-24,9.231536865234375
1998-07-27,9.231536865234375
1998-07-28,9.106785774230957
1998-07-29,8.732535362243652
1998-07-30,9.106785774230957
1998-07-31,8.545409202575684
1998-08-03,7.485030174255371
1998-08-04,7.485030174255371
1998-08-05,7.485030174255371
1998-08-06,7.485030174255371
1998-08-07,7.42265510559082
1998-08-10,7.485030174255371
1998-08-11,7.485030174255371
1998-08-12,6.98602819442749
1998-08-13,6.362275123596191
1998-08-14,6.050398826599121
1998-08-17,6.362275123596191
1998-08-18,6.362275123596191
1998-08-19,5.80089807510376
1998-08-20,5.8632731437683105
1998-08-21,6.050398826599121
1998-08-24,6.175149917602539
1998-08-25,6.175149917602539
1998-08-26,6.112773895263672
1998-08-27,6.050398826599121
1998-08-28,5.8632731437683105
1998-08-31,5.301896095275879
1998-09-01,5.426647186279297
1998-09-02,5.426647186279297
1998-09-03,5.426647186279297
1998-09-04,5.426647186279297
1998-09-08,5.426647186279297
1998-09-09,5.36427116394043
1998-09-10,4.740519046783447
1998-09-11,4.615767955780029
1998-09-14,4.116765975952148
1998-09-15,4.054390907287598
1998-09-16,4.054390907287598
1998-09-17,4.054390907287598
1998-09-18,3.992016077041626
1998-09-21,3.867264986038208
1998-09-22,3.7425150871276855
1998-09-23,3.7425150871276855
1998-09-24,3.6177639961242676
1998-09-25,3.5865769386291504
1998-09-28,3.555388927459717
1998-09-29,3.555388927459717
1998-09-30,3.5242021083831787
1998-10-01,3.493014097213745
1998-10-02,3.4618260860443115
1998-10-05,3.4306390285491943
1998-10-06,3.4306390285491943
1998-10-07,3.4306390285491943
1998-10-08,2.7445108890533447
1998-10-09,3.8048899173736572
1998-10-12,3.836077928543091
1998-10-13,3.8048899173736572
1998-10-14,3.867264986038208
1998-10-15,4.615767955780029
1998-10-16,4.990019798278809
1998-10-19,5.8632731437683105
1998-10-20,5.769711017608643
1998-10-21,5.738523006439209
1998-10-22,5.8632731437683105
1998-10-23,5.613771915435791
1998-10-26,5.676147937774658
1998-10-27,5.613771915435791
1998-10-28,5.426647186279297
1998-10-29,5.55139684677124
1998-10-30,5.676147937774658
1998-11-02,5.613771915435791
1998-11-03,5.676147937774658
1998-11-04,5.36427116394043
1998-11-05,5.738523006439209
1998-11-06,5.4890217781066895
1998-11-09,5.738523006439209
1998-11-10,5.738523006439209
1998-11-11,5.8632731437683105
1998-11-12,5.8632731437683105
1998-11-13,5.613771915435791
1998-11-16,5.4890217781066895
1998-11-17,5.55139684677124
1998-11-18,5.239521026611328
1998-11-19,4.5533928871154785
1998-11-20,4.865269184112549
1998-11-23,5.052394866943359
1998-11-24,5.239521026611328
1998-11-25,5.052394866943359
1998-11-27,5.239521026611328
1998-11-30,5.9880242347717285
1998-12-01,7.485030174255371
1998-12-02,7.173153877258301
1998-12-03,7.6097798347473145
1998-12-04,8.483034133911133
1998-12-07,8.607784271240234
1998-12-08,8.607784271240234
1998-12-09,8.545409202575684
1998-12-10,6.9236531257629395
1998-12-11,7.173153877258301
1998-12-14,6.299900054931641
1998-12-15,6.611775875091553
1998-12-16,6.98602819442749
1998-12-17,7.547404766082764
1998-12-18,7.110777854919434
1998-12-21,6.98602819442749
1998-12-22,6.98602819442749
1998-12-23,6.1439619064331055
1998-12-24,6.487026214599609
1998-12-28,6.23752498626709
1998-12-29,6.050398826599121
1998-12-30,5.9880242347717285
1998-12-31,5.9880242347717285
1999-01-04,4.0232038497924805
1999-01-05,3.9608280658721924
1999-01-06,3.6801400184631348
1999-01-07,3.3058879375457764
1999-01-08,3.4306390285491943
1999-01-11,3.4618260860443115
1999-01-12,3.3994510173797607
1999-01-13,3.4306390285491943
1999-01-14,3.493014097213745
1999-01-15,3.493014097213745
1999-01-19,3.7425150871276855
1999-01-20,3.6177639961242676
1999-01-21,3.6177639961242676
1999-01-22,3.5242021083831787
1999-01-25,3.493014097213745
1999-01-26,3.493014097213745
1999-01-27,3.493014097213745
1999-01-28,3.555388927459717
1999-01-29,3.493014097213745
1999-02-01,3.555388927459717
1999-02-02,3.493014097213745
1999-02-03,3.4306390285491943
1999-02-04,3.4306390285491943
