,CRAI
1998-04-24,23.125
1998-04-27,22.875
1998-04-28,23.5
1998-04-29,23.625
1998-04-30,24.0
1998-05-01,24.5
1998-05-04,24.75
1998-05-05,24.875
1998-05-06,25.125
1998-05-07,25.125
1998-05-08,24.875
1998-05-11,26.0
1998-05-12,26.0
1998-05-13,25.5
1998-05-14,25.25
1998-05-15,26.0
1998-05-18,27.125
1998-05-19,26.875
1998-05-20,26.75
1998-05-21,24.875
1998-05-22,24.125
1998-05-26,24.75
1998-05-27,24.0
1998-05-28,24.625
1998-05-29,25.375
1998-06-01,25.0
1998-06-02,25.125
1998-06-03,24.5
1998-06-04,24.5
1998-06-05,25.25
1998-06-08,25.625
1998-06-09,27.5
1998-06-10,26.5
1998-06-11,26.375
1998-06-12,27.125
1998-06-15,26.5
1998-06-16,27.0
1998-06-17,26.125
1998-06-18,25.5
1998-06-19,25.0
1998-06-22,24.875
1998-06-23,25.625
1998-06-24,25.625
1998-06-25,25.0
1998-06-26,25.5
1998-06-29,25.0
1998-06-30,25.0
1998-07-01,26.75
1998-07-02,26.375
1998-07-06,26.625
1998-07-07,26.875
1998-07-08,26.125
1998-07-09,26.875
1998-07-10,26.25
1998-07-13,26.0
1998-07-14,27.875
1998-07-15,27.25
1998-07-16,28.25
1998-07-17,28.0
1998-07-20,28.25
1998-07-21,28.25
1998-07-22,29.0
1998-07-23,28.125
1998-07-24,29.125
1998-07-27,29.375
1998-07-28,29.375
1998-07-29,29.625
1998-07-30,28.625
1998-07-31,28.125
1998-08-03,27.875
1998-08-04,27.875
1998-08-05,28.0
1998-08-06,28.0
1998-08-07,27.75
1998-08-10,27.75
1998-08-11,28.0
1998-08-12,27.6875
1998-08-13,28.25
1998-08-14,27.5625
1998-08-17,27.5625
1998-08-18,27.375
1998-08-19,27.5
1998-08-20,27.5
1998-08-21,27.625
1998-08-24,28.0
1998-08-25,26.5
1998-08-26,26.5
1998-08-27,25.0
1998-08-28,24.0
1998-08-31,24.5
1998-09-01,24.0
1998-09-02,23.75
1998-09-03,24.5
1998-09-04,24.5
1998-09-08,23.75
1998-09-09,23.875
1998-09-10,23.75
1998-09-11,24.5
1998-09-14,23.75
1998-09-15,23.875
1998-09-16,24.25
1998-09-17,23.5
1998-09-18,23.5
1998-09-21,23.5
1998-09-22,24.125
1998-09-23,24.5
1998-09-24,25.25
1998-09-25,25.125
1998-09-28,25.125
1998-09-29,24.5
1998-09-30,23.75
1998-10-01,24.75
1998-10-02,25.0
1998-10-05,23.875
1998-10-06,23.5
1998-10-07,20.5
1998-10-08,19.75
1998-10-09,20.25
1998-10-12,20.0
1998-10-13,21.75
1998-10-14,22.0
1998-10-15,22.0
1998-10-16,23.0
1998-10-19,23.25
1998-10-20,22.625
1998-10-21,23.5
1998-10-22,23.0
1998-10-23,23.75
1998-10-26,24.25
1998-10-27,25.0
1998-10-28,24.9375
1998-10-29,24.9375
1998-10-30,25.0
1998-11-02,24.875
1998-11-03,25.0
1998-11-04,24.5
1998-11-05,24.625
1998-11-06,24.625
1998-11-09,24.625
1998-11-10,24.5
1998-11-11,24.5
1998-11-12,24.5
1998-11-13,24.5
1998-11-16,24.625
1998-11-17,24.0
1998-11-18,24.25
1998-11-19,23.5
1998-11-20,22.5
1998-11-23,22.25
1998-11-24,23.0
1998-11-25,22.375
1998-11-27,22.5
1998-11-30,22.75
1998-12-01,23.375
1998-12-02,23.125
1998-12-03,23.5
1998-12-04,23.0
1998-12-07,23.125
1998-12-08,23.8125
1998-12-09,24.125
1998-12-10,24.375
1998-12-11,24.75
1998-12-14,24.625
1998-12-15,23.75
1998-12-16,23.75
1998-12-17,23.375
1998-12-18,23.375
1998-12-21,21.0
1998-12-22,21.0
1998-12-23,20.25
1998-12-24,20.25
1998-12-28,20.375
1998-12-29,20.625
1998-12-30,21.0
1998-12-31,21.875
1999-01-04,22.0
1999-01-05,23.5
1999-01-06,23.25
1999-01-07,24.25
