,CATH
2016-04-26,25.1200008392334
2016-04-27,25.1299991607666
2016-04-28,25.18000030517578
2016-04-29,24.809999465942383
2016-05-02,24.979999542236328
2016-05-03,24.75
2016-05-04,24.65999984741211
2016-05-05,24.597000122070312
2016-05-06,24.597000122070312
2016-05-09,24.739999771118164
2016-05-10,24.899999618530273
2016-05-11,24.84000015258789
2016-05-12,24.649999618530273
2016-05-13,24.579999923706055
2016-05-16,24.579999923706055
2016-05-17,24.780000686645508
2016-05-18,24.780000686645508
2016-05-19,24.489999771118164
2016-05-20,24.670000076293945
2016-05-23,24.670000076293945
2016-05-24,24.979999542236328
2016-05-25,25.100000381469727
2016-05-26,25.139999389648438
2016-05-27,25.219999313354492
2016-05-31,25.219999313354492
2016-06-01,25.2549991607666
2016-06-02,25.204999923706055
2016-06-03,25.270000457763672
2016-06-06,25.329999923706055
2016-06-07,25.440000534057617
2016-06-08,25.469999313354492
2016-06-09,25.43400001525879
2016-06-10,25.229999542236328
2016-06-13,25.170000076293945
2016-06-14,24.84000015258789
2016-06-15,25.0
2016-06-16,24.670000076293945
2016-06-17,24.670000076293945
2016-06-20,25.086999893188477
2016-06-21,25.1200008392334
2016-06-22,25.1200008392334
2016-06-23,25.1200008392334
2016-06-24,24.610000610351562
2016-06-27,23.950000762939453
2016-06-28,24.3799991607666
2016-06-29,24.8799991607666
2016-06-30,25.14299964904785
2016-07-01,25.14299964904785
2016-07-05,25.020000457763672
2016-07-06,25.010000228881836
2016-07-07,25.190000534057617
2016-07-08,25.489999771118164
2016-07-11,25.489999771118164
2016-07-12,25.905000686645508
2016-07-13,25.90999984741211
2016-07-14,26.031999588012695
2016-07-15,25.940000534057617
2016-07-18,26.040000915527344
2016-07-19,25.959999084472656
2016-07-20,26.139999389648438
2016-07-21,26.100000381469727
2016-07-22,26.16200065612793
2016-07-25,26.110000610351562
2016-07-26,26.06999969482422
2016-07-27,26.1299991607666
2016-07-28,26.100000381469727
2016-07-29,26.17799949645996
2016-08-01,26.020000457763672
2016-08-02,25.920000076293945
2016-08-03,26.049999237060547
2016-08-04,26.033000946044922
2016-08-05,26.033000946044922
2016-08-08,26.301000595092773
2016-08-09,26.30900001525879
2016-08-10,26.209999084472656
2016-08-11,26.389999389648438
2016-08-12,26.34000015258789
2016-08-15,26.420000076293945
2016-08-16,26.360000610351562
2016-08-17,26.31999969482422
2016-08-18,26.389999389648438
2016-08-19,26.35300064086914
2016-08-22,26.31999969482422
2016-08-23,26.440000534057617
2016-08-24,26.270999908447266
2016-08-25,26.280000686645508
2016-08-26,26.280000686645508
2016-08-29,26.344999313354492
2016-08-30,26.299999237060547
2016-08-31,26.18000030517578
2016-09-01,26.18000030517578
2016-09-02,26.360000610351562
2016-09-06,26.360000610351562
2016-09-07,26.440000534057617
2016-09-08,26.40999984741211
2016-09-09,25.809999465942383
2016-09-12,26.1299991607666
2016-09-13,25.719999313354492
2016-09-14,25.729999542236328
2016-09-15,26.010000228881836
2016-09-16,25.920000076293945
2016-09-19,25.979999542236328
2016-09-20,26.049999237060547
2016-09-21,25.979999542236328
2016-09-22,26.34000015258789
2016-09-23,26.219999313354492
2016-09-26,26.03499984741211
2016-09-27,26.15999984741211
2016-09-28,26.079999923706055
2016-09-29,26.020000457763672
2016-09-30,26.270000457763672
2016-10-03,26.270000457763672
2016-10-04,26.020000457763672
2016-10-05,26.209999084472656
2016-10-06,26.200000762939453
2016-10-07,26.219999313354492
2016-10-10,26.219999313354492
2016-10-11,25.8799991607666
2016-10-12,25.920000076293945
2016-10-13,25.8799991607666
2016-10-14,25.920000076293945
2016-10-17,25.860000610351562
2016-10-18,26.010000228881836
2016-10-19,26.049999237060547
2016-10-20,26.01099967956543
2016-10-21,25.959999084472656
2016-10-24,26.18000030517578
2016-10-25,26.18000030517578
2016-10-26,25.97599983215332
2016-10-27,25.940000534057617
2016-10-28,25.836000442504883
2016-10-31,25.860000610351562
2016-11-01,25.510000228881836
2016-11-02,25.549999237060547
2016-11-03,25.4689998626709
2016-11-04,25.469999313354492
2016-11-07,25.469999313354492
2016-11-08,26.059999465942383
2016-11-09,26.415000915527344
2016-11-10,26.40999984741211
2016-11-11,26.389999389648438
2016-11-14,26.229999542236328
2016-11-15,26.229999542236328
2016-11-16,26.559999465942383
2016-11-17,26.690000534057617
2016-11-18,26.639999389648438
2016-11-21,26.860000610351562
2016-11-22,26.920000076293945
2016-11-23,26.920000076293945
2016-11-25,26.920000076293945
2016-11-28,26.84000015258789
2016-11-29,26.899999618530273
2016-11-30,26.950000762939453
2016-12-01,26.780000686645508
2016-12-02,26.683000564575195
2016-12-05,26.920000076293945
2016-12-06,27.040000915527344
2016-12-07,27.309999465942383
2016-12-08,27.440000534057617
2016-12-09,27.440000534057617
2016-12-12,27.43000030517578
2016-12-13,27.760000228881836
2016-12-14,27.5
2016-12-15,27.649999618530273
2016-12-16,27.558000564575195
2016-12-19,27.639999389648438
2016-12-20,27.579999923706055
2016-12-21,27.645000457763672
2016-12-22,27.440000534057617
2016-12-23,27.559999465942383
2016-12-27,27.559999465942383
2016-12-28,27.389999389648438
2016-12-29,27.270000457763672
2016-12-30,27.139999389648438
2017-01-03,27.3700008392334
2017-01-04,27.562999725341797
2017-01-05,27.422000885009766
2017-01-06,27.709999084472656
2017-01-09,27.639999389648438
2017-01-10,27.600000381469727
2017-01-11,27.559999465942383
2017-01-12,27.5
2017-01-13,27.610000610351562
2017-01-17,27.600000381469727
2017-01-18,27.600000381469727
2017-01-19,27.562999725341797
2017-01-20,27.562999725341797
2017-01-23,27.56999969482422
2017-01-24,27.809999465942383
2017-01-25,27.809999465942383
2017-01-26,28.0
2017-01-27,27.989999771118164
