,AGNCN
2017-08-16,24.850000381469727
2017-08-17,24.950000762939453
2017-08-18,24.979999542236328
2017-08-21,24.950000762939453
2017-08-22,25.010000228881836
2017-08-23,25.06999969482422
2017-08-24,25.020000457763672
2017-08-25,25.09000015258789
2017-08-28,25.09000015258789
2017-08-29,25.06999969482422
2017-08-30,25.09000015258789
2017-08-31,25.09000015258789
2017-09-01,25.1200008392334
2017-09-05,25.06999969482422
2017-09-06,25.229000091552734
2017-09-07,25.34000015258789
2017-09-08,25.349000930786133
2017-09-11,25.31999969482422
2017-09-12,25.3700008392334
2017-09-13,25.309999465942383
2017-09-14,25.3799991607666
2017-09-15,25.329999923706055
2017-09-18,25.450000762939453
2017-09-19,25.389999389648438
2017-09-20,25.399999618530273
2017-09-21,25.360000610351562
2017-09-22,25.399999618530273
2017-09-25,25.45400047302246
2017-09-26,25.5
2017-09-27,25.540000915527344
2017-09-28,25.479999542236328
2017-09-29,25.84000015258789
2017-10-02,25.75
2017-10-03,25.65999984741211
2017-10-04,25.68000030517578
2017-10-05,25.770000457763672
2017-10-06,25.75
2017-10-09,25.719999313354492
2017-10-10,25.729999542236328
2017-10-11,25.799999237060547
2017-10-12,25.90999984741211
2017-10-13,26.139999389648438
2017-10-16,26.190000534057617
2017-10-17,26.200000762939453
2017-10-18,26.440000534057617
2017-10-19,26.459999084472656
2017-10-20,26.450000762939453
2017-10-23,26.540000915527344
2017-10-24,26.459999084472656
2017-10-25,26.459999084472656
2017-10-26,26.59000015258789
2017-10-27,26.559999465942383
2017-10-30,26.549999237060547
2017-10-31,26.75
2017-11-01,26.489999771118164
2017-11-02,26.479999542236328
2017-11-03,26.43000030517578
2017-11-06,26.350000381469727
2017-11-07,26.360000610351562
2017-11-08,26.209999084472656
2017-11-09,26.110000610351562
2017-11-10,26.25
2017-11-13,26.149999618530273
2017-11-14,26.260000228881836
2017-11-15,26.469999313354492
2017-11-16,25.81999969482422
2017-11-17,25.799999237060547
2017-11-20,25.860000610351562
2017-11-21,25.84000015258789
2017-11-22,25.979999542236328
2017-11-24,26.027999877929688
2017-11-27,26.010000228881836
2017-11-28,25.989999771118164
2017-11-29,25.899999618530273
2017-11-30,25.81999969482422
2017-12-01,25.889999389648438
2017-12-04,26.0
2017-12-05,26.06999969482422
2017-12-06,25.940000534057617
2017-12-07,26.280000686645508
2017-12-08,26.270000457763672
2017-12-11,26.25
2017-12-12,26.239999771118164
2017-12-13,26.209999084472656
2017-12-14,26.309999465942383
2017-12-15,26.18000030517578
2017-12-18,26.274999618530273
2017-12-19,26.25
2017-12-20,26.1200008392334
2017-12-21,26.31999969482422
2017-12-22,26.40999984741211
2017-12-26,26.420000076293945
2017-12-27,26.399999618530273
2017-12-28,25.780000686645508
2017-12-29,25.719999313354492
2018-01-02,25.860000610351562
2018-01-03,25.8700008392334
2018-01-04,25.829999923706055
2018-01-05,25.84000015258789
2018-01-08,26.030000686645508
2018-01-09,25.920000076293945
2018-01-10,25.850000381469727
2018-01-11,25.950000762939453
2018-01-12,25.950000762939453
2018-01-16,25.889999389648438
2018-01-17,25.8700008392334
2018-01-18,25.75
2018-01-19,26.059999465942383
2018-01-22,25.90999984741211
2018-01-23,25.899999618530273
2018-01-24,25.790000915527344
2018-01-25,25.65999984741211
2018-01-26,25.530000686645508
2018-01-29,25.389999389648438
2018-01-30,25.260000228881836
2018-01-31,25.440000534057617
2018-02-01,25.43000030517578
2018-02-02,25.43000030517578
2018-02-05,25.3700008392334
2018-02-06,25.399999618530273
2018-02-07,25.450000762939453
2018-02-08,25.450000762939453
2018-02-09,25.420000076293945
2018-02-12,25.469999313354492
2018-02-13,25.299999237060547
2018-02-14,25.200000762939453
2018-02-15,25.510000228881836
