,FDUSG
2019-10-17,25.299999237060547
2019-10-18,25.09000015258789
2019-10-21,25.18000030517578
2019-10-22,25.229999542236328
2019-10-23,25.231000900268555
2019-10-24,25.450000762939453
2019-10-25,25.549999237060547
2019-10-28,25.450000762939453
2019-10-29,25.520000457763672
2019-10-30,25.510000228881836
2019-10-31,25.270000457763672
2019-11-01,25.52400016784668
2019-11-04,25.649999618530273
2019-11-05,25.75
2019-11-06,25.649999618530273
2019-11-07,25.5
2019-11-08,25.538999557495117
2019-11-11,25.65999984741211
2019-11-12,25.65999984741211
2019-11-13,25.634000778198242
2019-11-14,25.520000457763672
2019-11-15,25.530000686645508
2019-11-18,25.59000015258789
2019-11-19,25.600000381469727
2019-11-20,25.75
2019-11-21,25.68000030517578
2019-11-22,25.670000076293945
2019-11-25,25.649999618530273
2019-11-26,25.780000686645508
2019-11-27,26.049999237060547
2019-11-29,25.950000762939453
2019-12-02,25.950000762939453
2019-12-03,25.93000030517578
2019-12-04,25.75
2019-12-05,25.75
2019-12-06,25.85700035095215
2019-12-09,25.600000381469727
2019-12-10,25.74799919128418
2019-12-11,25.75
2019-12-12,25.75
2019-12-13,25.709999084472656
2019-12-16,25.709999084472656
2019-12-17,25.711000442504883
2019-12-18,25.75
2019-12-19,25.75
2019-12-20,25.850000381469727
2019-12-23,25.600000381469727
2019-12-24,25.777000427246094
2019-12-26,25.899999618530273
2019-12-27,25.979999542236328
2019-12-30,25.889999389648438
2019-12-31,25.75
2020-01-02,25.75
2020-01-03,25.93000030517578
2020-01-06,25.70400047302246
2020-01-07,25.70400047302246
2020-01-08,25.700000762939453
2020-01-09,25.940000534057617
2020-01-10,25.75
2020-01-13,25.75
2020-01-14,25.649999618530273
2020-01-15,25.700000762939453
2020-01-16,25.700000762939453
2020-01-17,25.459999084472656
2020-01-21,25.520000457763672
2020-01-22,25.510000228881836
2020-01-23,25.80699920654297
2020-01-24,25.75
2020-01-27,26.0
2020-01-28,25.75
2020-01-29,25.760000228881836
2020-01-30,25.639999389648438
2020-01-31,25.639999389648438
2020-02-03,25.690000534057617
2020-02-04,25.559999465942383
2020-02-05,25.600000381469727
2020-02-06,25.68000030517578
2020-02-07,25.68000030517578
2020-02-10,25.600000381469727
2020-02-11,25.600000381469727
2020-02-12,25.600000381469727
2020-02-13,25.679000854492188
2020-02-14,25.670000076293945
2020-02-18,25.656999588012695
2020-02-19,25.780000686645508
2020-02-20,25.75
2020-02-21,25.75
2020-02-24,25.940000534057617
2020-02-25,25.760000228881836
2020-02-26,25.75
2020-02-27,25.649999618530273
2020-02-28,25.450000762939453
2020-03-02,25.75
2020-03-03,25.5
2020-03-04,25.600000381469727
2020-03-05,25.5
2020-03-06,25.549999237060547
2020-03-09,24.809999465942383
2020-03-10,24.799999237060547
2020-03-11,24.8700008392334
2020-03-12,22.18000030517578
2020-03-13,23.049999237060547
2020-03-16,22.499000549316406
2020-03-17,20.878000259399414
2020-03-18,14.0600004196167
2020-03-19,17.010000228881836
2020-03-20,16.5
2020-03-23,15.961000442504883
2020-03-24,16.75
2020-03-25,17.0
2020-03-26,18.5
2020-03-27,18.950000762939453
2020-03-30,18.93400001525879
2020-03-31,18.25
2020-04-01,18.698999404907227
2020-04-02,19.5
2020-04-03,19.5
2020-04-06,19.299999237060547
2020-04-07,19.5
2020-04-08,19.643999099731445
2020-04-09,21.0
2020-04-13,20.645000457763672
2020-04-14,20.899999618530273
2020-04-15,20.0
2020-04-16,20.020000457763672
2020-04-17,20.739999771118164
2020-04-20,22.0
2020-04-21,22.5
2020-04-22,22.700000762939453
2020-04-23,22.059999465942383
2020-04-24,22.200000762939453
2020-04-27,22.110000610351562
2020-04-28,22.600000381469727
2020-04-29,22.06999969482422
2020-04-30,22.149999618530273
2020-05-01,22.25
2020-05-04,22.18000030517578
2020-05-05,21.799999237060547
2020-05-06,21.649999618530273
2020-05-07,21.34000015258789
2020-05-08,21.344999313354492
2020-05-11,20.700000762939453
2020-05-12,20.170000076293945
2020-05-13,19.889999389648438
2020-05-14,20.110000610351562
2020-05-15,20.25
2020-05-18,20.809999465942383
2020-05-19,21.399999618530273
2020-05-20,21.399999618530273
2020-05-21,21.5
2020-05-22,21.5
2020-05-26,21.434999465942383
2020-05-27,21.299999237060547
2020-05-28,22.18400001525879
2020-05-29,22.104000091552734
2020-06-01,21.969999313354492
2020-06-02,22.408000946044922
2020-06-03,22.360000610351562
2020-06-04,22.700000762939453
2020-06-05,22.5
2020-06-08,23.799999237060547
2020-06-09,23.799999237060547
2020-06-10,23.799999237060547
2020-06-11,23.0
2020-06-12,22.700000762939453
2020-06-15,23.170000076293945
2020-06-16,22.719999313354492
2020-06-17,22.739999771118164
2020-06-18,22.69499969482422
2020-06-19,22.579999923706055
2020-06-22,22.399999618530273
2020-06-23,22.399999618530273
2020-06-24,22.43000030517578
2020-06-25,22.81999969482422
2020-06-26,22.799999237060547
2020-06-29,22.420000076293945
2020-06-30,22.25
2020-07-01,22.59000015258789
2020-07-02,22.690000534057617
2020-07-06,22.799999237060547
2020-07-07,22.738000869750977
2020-07-08,22.889999389648438
2020-07-09,22.889999389648438
2020-07-10,22.8799991607666
2020-07-13,22.854999542236328
2020-07-14,22.690000534057617
2020-07-15,22.709999084472656
2020-07-16,22.850000381469727
2020-07-17,22.989999771118164
2020-07-20,22.989999771118164
2020-07-21,23.28700065612793
2020-07-22,23.639999389648438
2020-07-23,23.649999618530273
2020-07-24,22.90999984741211
2020-07-27,22.770000457763672
2020-07-28,23.239999771118164
2020-07-29,23.165000915527344
2020-07-30,23.165000915527344
2020-07-31,23.165000915527344
2020-08-03,23.165000915527344
2020-08-04,23.299999237060547
2020-08-05,23.299999237060547
2020-08-06,23.301000595092773
2020-08-07,24.09000015258789
2020-08-10,24.5
2020-08-11,23.850000381469727
2020-08-12,24.100000381469727
2020-08-13,23.75
2020-08-14,24.0
