,AGFS
2014-11-20,9.640000343322754
2014-11-21,9.640000343322754
2014-11-24,9.640000343322754
2014-11-25,9.699999809265137
2014-11-26,9.699999809265137
2014-11-28,9.699999809265137
2014-12-01,9.654000282287598
2014-12-02,9.654000282287598
2014-12-03,9.654000282287598
2014-12-04,9.550000190734863
2014-12-05,9.550000190734863
2014-12-08,9.609999656677246
2014-12-09,9.569999694824219
2014-12-10,9.579999923706055
2014-12-11,9.619999885559082
2014-12-12,9.59000015258789
2014-12-15,9.619999885559082
2014-12-16,9.619999885559082
2014-12-17,9.649999618530273
2014-12-18,9.630000114440918
2014-12-19,9.640000343322754
2014-12-22,9.640000343322754
2014-12-23,9.640000343322754
2014-12-24,9.600000381469727
2014-12-26,9.640000343322754
2014-12-29,9.600000381469727
2014-12-30,9.600000381469727
2014-12-31,9.600000381469727
2015-01-02,9.600000381469727
2015-01-05,9.649999618530273
2015-01-06,9.65999984741211
2015-01-07,9.729999542236328
2015-01-08,9.75
2015-01-09,9.75
2015-01-12,9.75
2015-01-13,9.800000190734863
2015-01-14,9.729999542236328
2015-01-15,9.6899995803833
2015-01-16,9.699999809265137
2015-01-20,9.720000267028809
2015-01-21,9.75
2015-01-22,9.6899995803833
2015-01-23,9.75
2015-01-26,9.739999771118164
2015-01-27,9.779999732971191
2015-01-28,9.739999771118164
2015-01-29,9.75
2015-01-30,9.760000228881836
2015-02-02,9.710000038146973
2015-02-03,9.720000267028809
2015-02-04,9.699999809265137
2015-02-05,9.680000305175781
2015-02-06,9.680000305175781
2015-02-09,9.680000305175781
2015-02-10,9.6899995803833
2015-02-11,9.6899995803833
2015-02-12,9.729999542236328
2015-02-13,9.729999542236328
2015-02-17,9.729999542236328
2015-02-18,9.75
2015-02-19,9.75
2015-02-20,9.75
2015-02-23,9.680000305175781
2015-02-24,9.680000305175781
2015-02-25,9.680000305175781
2015-02-26,9.680000305175781
2015-02-27,9.680000305175781
2015-03-02,9.75
2015-03-03,9.75
2015-03-04,9.75
2015-03-05,9.75
2015-03-06,9.699999809265137
2015-03-09,9.699999809265137
2015-03-10,9.699999809265137
2015-03-11,9.699999809265137
2015-03-12,9.699999809265137
2015-03-13,9.699999809265137
2015-03-16,9.699999809265137
2015-03-17,9.699999809265137
2015-03-18,9.710000038146973
2015-03-19,9.710000038146973
2015-03-20,9.710000038146973
2015-03-23,9.75
2015-03-24,9.75
2015-03-25,9.770000457763672
2015-03-26,9.770000457763672
2015-03-27,9.779999732971191
2015-03-30,9.798999786376953
2015-03-31,9.800000190734863
2015-04-01,9.800000190734863
2015-04-02,9.930000305175781
2015-04-06,9.930000305175781
2015-04-07,9.930000305175781
2015-04-08,10.4399995803833
2015-04-09,10.180000305175781
2015-04-10,10.390000343322754
2015-04-13,10.390000343322754
2015-04-14,10.239999771118164
2015-04-15,10.119999885559082
2015-04-16,10.119999885559082
2015-04-17,10.050000190734863
2015-04-20,10.050000190734863
2015-04-21,10.020000457763672
2015-04-22,10.020000457763672
2015-04-23,10.020000457763672
2015-04-24,10.039999961853027
2015-04-27,10.039999961853027
2015-04-28,10.100000381469727
2015-04-29,10.100000381469727
2015-04-30,11.59000015258789
2015-05-01,11.960000038146973
2015-05-04,11.869999885559082
2015-05-05,11.630000114440918
2015-05-06,11.350000381469727
2015-05-07,11.149999618530273
2015-05-08,11.25
2015-05-11,11.229999542236328
2015-05-12,11.1899995803833
2015-05-13,11.199999809265137
2015-05-14,11.5600004196167
2015-05-15,11.569999694824219
2015-05-18,11.579999923706055
2015-05-19,11.40999984741211
2015-05-20,11.5
2015-05-21,11.770000457763672
2015-05-22,11.880000114440918
2015-05-26,11.680000305175781
2015-05-27,11.600000381469727
2015-05-28,11.289999961853027
2015-05-29,11.260000228881836
2015-06-01,11.34000015258789
2015-06-02,11.140000343322754
2015-06-03,11.130000114440918
2015-06-04,10.949999809265137
2015-06-05,10.979999542236328
