,DFHTU
2020-07-17,10.630000114440918
2020-07-20,10.720000267028809
2020-07-21,10.699999809265137
2020-07-22,10.850000381469727
2020-07-23,10.8100004196167
2020-07-24,10.800000190734863
2020-07-27,10.869999885559082
2020-07-28,10.850000381469727
2020-07-29,10.800000190734863
2020-07-30,10.5600004196167
2020-07-31,10.645000457763672
2020-08-03,10.550000190734863
2020-08-04,10.5
2020-08-05,10.399999618530273
2020-08-06,10.324999809265137
2020-08-07,10.390000343322754
2020-08-10,10.399999618530273
2020-08-11,10.390000343322754
2020-08-12,10.39900016784668
2020-08-13,10.39900016784668
2020-08-14,10.368000030517578
2020-08-17,10.350000381469727
2020-08-18,10.350000381469727
2020-08-19,10.300000190734863
2020-08-20,10.350000381469727
2020-08-21,10.350000381469727
2020-08-24,10.300000190734863
2020-08-25,10.489999771118164
2020-08-26,10.350000381469727
2020-08-27,10.300000190734863
2020-08-28,10.300000190734863
2020-08-31,10.3100004196167
2020-09-01,10.350000381469727
2020-09-02,10.399999618530273
2020-09-03,10.399999618530273
2020-09-04,10.567999839782715
2020-09-08,10.543000221252441
2020-09-09,10.619999885559082
2020-09-10,10.64900016784668
2020-09-11,10.574999809265137
2020-09-14,10.600000381469727
2020-09-15,10.619999885559082
2020-09-16,10.581000328063965
2020-09-17,10.619999885559082
2020-09-18,10.699999809265137
2020-09-21,10.579999923706055
2020-09-22,10.59000015258789
2020-09-23,10.520000457763672
2020-09-24,10.539999961853027
2020-09-25,10.600000381469727
2020-09-28,10.649999618530273
2020-09-29,10.574999809265137
2020-09-30,10.630000114440918
2020-10-01,10.649999618530273
2020-10-02,10.600000381469727
2020-10-05,10.625
2020-10-06,10.609999656677246
2020-10-07,10.699999809265137
2020-10-08,10.710000038146973
2020-10-09,10.699999809265137
2020-10-12,10.600000381469727
2020-10-13,10.661999702453613
2020-10-14,10.65999984741211
2020-10-15,10.723999977111816
2020-10-16,10.600000381469727
2020-10-19,10.62600040435791
2020-10-20,10.675000190734863
2020-10-21,10.619999885559082
2020-10-22,10.625
2020-10-23,10.420000076293945
2020-10-26,10.420000076293945
2020-10-27,10.444999694824219
2020-10-28,10.5649995803833
2020-10-29,10.515999794006348
2020-10-30,10.350000381469727
2020-11-02,10.350000381469727
2020-11-03,10.430000305175781
2020-11-04,10.597999572753906
2020-11-05,10.442000389099121
2020-11-06,10.633000373840332
2020-11-09,10.600000381469727
2020-11-10,10.524999618530273
2020-11-11,10.649999618530273
2020-11-12,10.5
2020-11-13,10.614999771118164
2020-11-16,10.614999771118164
2020-11-17,10.550000190734863
2020-11-18,10.524999618530273
2020-11-19,10.75
2020-11-20,10.699000358581543
2020-11-23,10.600000381469727
2020-11-24,10.600000381469727
2020-11-25,10.600000381469727
2020-11-27,10.907999992370605
2020-11-30,10.850000381469727
2020-12-01,11.0
2020-12-02,11.755000114440918
2020-12-03,11.800000190734863
2020-12-04,11.725000381469727
2020-12-07,11.491999626159668
2020-12-08,11.5
2020-12-09,11.529999732971191
2020-12-10,11.75
2020-12-11,11.75
2020-12-14,11.600000381469727
2020-12-15,11.25
2020-12-16,11.300000190734863
2020-12-17,11.399999618530273
2020-12-18,14.600000381469727
2020-12-21,14.550000190734863
2020-12-22,15.0
2020-12-23,15.760000228881836
2020-12-24,15.630000114440918
2020-12-28,15.75
2020-12-29,15.329999923706055
2020-12-30,15.510000228881836
2020-12-31,15.0
2021-01-04,16.649999618530273
2021-01-05,16.360000610351562
