,FMHI
2017-11-03,50.09000015258789
2017-11-06,50.09000015258789
2017-11-07,50.24800109863281
2017-11-08,50.20000076293945
2017-11-09,50.189998626708984
2017-11-10,50.189998626708984
2017-11-13,50.06999969482422
2017-11-14,50.20000076293945
2017-11-15,50.20000076293945
2017-11-16,50.20000076293945
2017-11-17,50.2599983215332
2017-11-20,50.290000915527344
2017-11-21,50.25
2017-11-22,50.25
2017-11-24,50.25
2017-11-27,50.25
2017-11-28,50.25
2017-11-29,50.25
2017-11-30,50.25
2017-12-01,50.25
2017-12-04,50.25
2017-12-05,50.25
2017-12-06,50.25
2017-12-07,50.7400016784668
2017-12-08,50.279998779296875
2017-12-11,50.279998779296875
2017-12-12,50.279998779296875
2017-12-13,50.56999969482422
2017-12-14,50.6510009765625
2017-12-15,50.61000061035156
2017-12-18,50.650001525878906
2017-12-19,50.650001525878906
2017-12-20,50.35300064086914
2017-12-21,50.380001068115234
2017-12-22,50.36000061035156
2017-12-26,50.36000061035156
2017-12-27,50.56999969482422
2017-12-28,50.518001556396484
2017-12-29,50.47999954223633
2018-01-02,50.56999969482422
2018-01-03,50.63999938964844
2018-01-04,50.63999938964844
2018-01-05,50.619998931884766
2018-01-08,50.61000061035156
2018-01-09,50.56999969482422
2018-01-10,50.41999816894531
2018-01-11,50.38999938964844
2018-01-12,50.415000915527344
2018-01-16,50.415000915527344
2018-01-17,50.34000015258789
2018-01-18,50.34000015258789
2018-01-19,50.34000015258789
2018-01-22,50.41999816894531
2018-01-23,50.470001220703125
2018-01-24,50.380001068115234
2018-01-25,50.380001068115234
2018-01-26,50.31999969482422
2018-01-29,50.224998474121094
2018-01-30,49.9900016784668
2018-01-31,50.150001525878906
2018-02-01,49.88399887084961
2018-02-02,49.678001403808594
2018-02-05,49.77000045776367
2018-02-06,49.77000045776367
2018-02-07,49.95000076293945
2018-02-08,49.95800018310547
2018-02-09,50.16999816894531
2018-02-12,50.16999816894531
2018-02-13,50.16999816894531
2018-02-14,49.88600158691406
2018-02-15,50.02000045776367
2018-02-16,49.77000045776367
2018-02-20,49.630001068115234
2018-02-21,49.494998931884766
2018-02-22,50.4640007019043
2018-02-23,49.79999923706055
2018-02-26,49.79999923706055
2018-02-27,49.900001525878906
2018-02-28,49.93000030517578
2018-03-01,49.93000030517578
2018-03-02,49.900001525878906
2018-03-05,49.689998626708984
2018-03-06,49.63999938964844
2018-03-07,49.63999938964844
2018-03-08,49.720001220703125
2018-03-09,49.577999114990234
2018-03-12,49.577999114990234
2018-03-13,49.577999114990234
2018-03-14,49.72999954223633
2018-03-15,49.88999938964844
2018-03-16,49.729000091552734
2018-03-19,49.729000091552734
2018-03-20,50.02000045776367
2018-03-21,50.04999923706055
2018-03-22,50.07500076293945
2018-03-23,50.02000045776367
2018-03-26,50.08000183105469
2018-03-27,50.15999984741211
2018-03-28,50.279998779296875
2018-03-29,49.88999938964844
2018-04-02,50.18000030517578
2018-04-03,50.11000061035156
2018-04-04,50.130001068115234
2018-04-05,50.117000579833984
2018-04-06,50.18000030517578
2018-04-09,50.209999084472656
2018-04-10,50.2400016784668
2018-04-11,50.22999954223633
2018-04-12,50.24300003051758
2018-04-13,50.10499954223633
2018-04-16,50.10499954223633
2018-04-17,50.150001525878906
2018-04-18,50.244998931884766
2018-04-19,50.178001403808594
2018-04-20,50.066001892089844
2018-04-23,50.10900115966797
2018-04-24,50.02399826049805
2018-04-25,49.68000030517578
2018-04-26,49.959999084472656
2018-04-27,50.040000915527344
2018-04-30,50.099998474121094
2018-05-01,50.060001373291016
2018-05-02,50.09000015258789
2018-05-03,50.09000015258789
2018-05-04,50.0099983215332
2018-05-07,50.220001220703125
2018-05-08,50.02000045776367
2018-05-09,50.05799865722656
2018-05-10,50.14899826049805
2018-05-11,50.14899826049805
2018-05-14,50.18199920654297
2018-05-15,49.959999084472656
2018-05-16,50.027000427246094
2018-05-17,50.027000427246094
2018-05-18,50.040000915527344
2018-05-21,50.13600158691406
2018-05-22,50.04999923706055
2018-05-23,50.053001403808594
2018-05-24,50.040000915527344
2018-05-25,50.15999984741211
2018-05-29,50.2599983215332
2018-05-30,50.150001525878906
2018-05-31,50.33000183105469
2018-06-01,50.25899887084961
2018-06-04,50.20500183105469
2018-06-05,50.20800018310547
2018-06-06,50.20800018310547
2018-06-07,50.26499938964844
2018-06-08,50.15599822998047
2018-06-11,50.26599884033203
