,EPAY
1999-02-12,20.46875
1999-02-16,23.125
1999-02-17,21.0
1999-02-18,19.875
1999-02-19,19.6875
1999-02-22,20.75
1999-02-23,21.625
1999-02-24,21.625
1999-02-25,21.0
1999-02-26,21.0
1999-03-01,20.75
1999-03-02,21.375
1999-03-03,22.0
1999-03-04,22.8125
1999-03-05,23.4375
1999-03-08,29.0
1999-03-09,28.0
1999-03-10,29.75
1999-03-11,37.625
1999-03-12,57.859375
1999-03-15,92.25
1999-03-16,68.5
1999-03-17,77.625
1999-03-18,72.0
1999-03-19,66.0
1999-03-22,56.5
1999-03-23,52.5
1999-03-24,71.5
1999-03-25,67.4375
1999-03-26,66.0
1999-03-29,64.5
1999-03-30,60.875
1999-03-31,63.8125
1999-04-01,64.5
1999-04-05,61.5
1999-04-06,61.0
1999-04-07,60.375
1999-04-08,60.75
1999-04-09,64.5
1999-04-12,64.625
1999-04-13,68.8125
1999-04-14,62.25
1999-04-15,60.0
1999-04-16,61.0
1999-04-19,47.625
1999-04-20,49.875
1999-04-21,60.875
1999-04-22,59.0
1999-04-23,61.0
1999-04-26,59.0
1999-04-27,57.0
1999-04-28,54.625
1999-04-29,53.25
1999-04-30,58.5
1999-05-03,61.9375
1999-05-04,57.6875
1999-05-05,61.0
1999-05-06,56.5
1999-05-07,55.0
1999-05-10,56.5
1999-05-11,56.625
1999-05-12,56.0
1999-05-13,53.125
1999-05-14,52.25
1999-05-17,51.0
1999-05-18,52.375
1999-05-19,51.5625
1999-05-20,48.75
1999-05-21,45.875
1999-05-24,41.0
1999-05-25,37.0
1999-05-26,40.25
1999-05-27,40.375
1999-05-28,41.25
1999-06-01,38.0625
1999-06-02,37.125
1999-06-03,33.8125
1999-06-04,34.5
1999-06-07,39.25
1999-06-08,37.5
1999-06-09,39.625
1999-06-10,38.875
1999-06-11,37.75
1999-06-14,35.0
1999-06-15,34.5
1999-06-16,36.125
1999-06-17,36.875
1999-06-18,37.25
1999-06-21,41.75
1999-06-22,40.5
1999-06-23,42.5
1999-06-24,39.875
1999-06-25,39.5
1999-06-28,40.375
1999-06-29,41.5625
1999-06-30,53.0
1999-07-01,47.5
1999-07-02,51.0
1999-07-06,50.625
1999-07-07,49.375
1999-07-08,50.0
1999-07-09,49.25
1999-07-12,52.25
1999-07-13,53.875
1999-07-14,55.25
1999-07-15,53.375
1999-07-16,52.125
1999-07-19,52.5625
1999-07-20,47.25
1999-07-21,47.4375
1999-07-22,45.0
1999-07-23,42.5625
1999-07-26,39.625
1999-07-27,42.125
1999-07-28,41.8125
1999-07-29,40.0625
1999-07-30,39.75
1999-08-02,38.5625
1999-08-03,33.9375
1999-08-04,30.4375
1999-08-05,32.0625
1999-08-06,34.0
1999-08-09,35.0
1999-08-10,33.625
1999-08-11,31.5
1999-08-12,31.25
1999-08-13,33.3125
1999-08-16,33.125
1999-08-17,34.0
1999-08-18,33.875
1999-08-19,31.875
1999-08-20,32.25
1999-08-23,31.75
1999-08-24,32.375
1999-08-25,33.0
1999-08-26,31.5
1999-08-27,30.5625
1999-08-30,28.0
1999-08-31,27.75
1999-09-01,28.25
1999-09-02,26.75
1999-09-03,27.0
1999-09-07,26.25
1999-09-08,23.8125
1999-09-09,22.3125
1999-09-10,25.1875
1999-09-13,27.25
1999-09-14,26.375
1999-09-15,25.625
1999-09-16,26.5
1999-09-17,26.125
1999-09-20,25.6875
1999-09-21,25.0
1999-09-22,16.5
1999-09-23,15.375
1999-09-24,16.0
1999-09-27,16.25
1999-09-28,15.5625
1999-09-29,14.625
1999-09-30,14.75
1999-10-01,13.875
1999-10-04,14.3125
1999-10-05,15.4375
1999-10-06,16.625
1999-10-07,15.8125
1999-10-08,16.5
1999-10-11,16.1875
1999-10-12,16.0625
1999-10-13,15.5
1999-10-14,15.1875
1999-10-15,14.25
1999-10-18,14.1875
1999-10-19,15.25
1999-10-20,15.5
1999-10-21,15.125
1999-10-22,15.0
1999-10-25,14.75
1999-10-26,15.375
1999-10-27,18.0
1999-10-28,17.0
1999-10-29,16.3125
1999-11-01,17.0
1999-11-02,17.25
1999-11-03,20.9375
1999-11-04,25.0
1999-11-05,27.25
1999-11-08,25.625
1999-11-09,24.5
1999-11-10,24.875
1999-11-11,27.0625
1999-11-12,26.375
1999-11-15,26.5625
1999-11-16,25.75
1999-11-17,25.5
1999-11-18,24.125
1999-11-19,25.375
1999-11-22,26.0
1999-11-23,25.0
1999-11-24,24.5
1999-11-26,24.75
1999-11-29,23.125
1999-11-30,21.625
1999-12-01,25.0
1999-12-02,25.75
1999-12-03,28.6875
1999-12-06,31.625
1999-12-07,36.875
1999-12-08,43.0
1999-12-09,49.625
1999-12-10,43.1875
1999-12-13,41.5
1999-12-14,38.625
1999-12-15,38.4375
1999-12-16,39.0
1999-12-17,38.0
1999-12-20,36.0
1999-12-21,37.375
1999-12-22,40.0
1999-12-23,39.875
1999-12-27,38.375
1999-12-28,35.6875
1999-12-29,38.625
1999-12-30,38.0
1999-12-31,36.0
2000-01-03,36.0
2000-01-04,34.4375
2000-01-05,39.375
2000-01-06,40.25
2000-01-07,41.75
2000-01-10,43.25
2000-01-11,39.6875
2000-01-12,38.875
2000-01-13,41.9375
2000-01-14,40.375
2000-01-18,40.25
2000-01-19,38.375
2000-01-20,39.25
2000-01-21,39.75
2000-01-24,38.0
2000-01-25,37.625
2000-01-26,38.75
2000-01-27,37.0
2000-01-28,36.0
2000-01-31,31.4375
2000-02-01,33.625
2000-02-02,34.0
2000-02-03,33.5
2000-02-04,38.25
2000-02-07,42.375
2000-02-08,43.125
2000-02-09,46.875
2000-02-10,44.25
2000-02-11,42.5
2000-02-14,41.875
2000-02-15,39.5
2000-02-16,42.1875
2000-02-17,43.0
2000-02-18,41.5
2000-02-22,40.0
2000-02-23,39.5
2000-02-24,39.8125
2000-02-25,40.0
2000-02-28,39.0
2000-02-29,39.0625
2000-03-01,40.4375
2000-03-02,41.6875
2000-03-03,42.5625
2000-03-06,47.5
2000-03-07,48.25
2000-03-08,45.0
2000-03-09,44.875
2000-03-10,43.75
2000-03-13,45.5625
