,BRLIU
2020-06-24,10.050000190734863
2020-06-25,10.03499984741211
2020-06-26,10.0
2020-06-29,10.0600004196167
2020-06-30,10.029999732971191
2020-07-01,10.039999961853027
2020-07-02,10.029999732971191
2020-07-06,10.029999732971191
2020-07-07,10.029999732971191
2020-07-08,10.024999618530273
2020-07-09,10.020000457763672
2020-07-10,10.029999732971191
2020-07-13,10.039999961853027
2020-07-14,10.050000190734863
2020-07-15,10.029999732971191
2020-07-16,10.029999732971191
2020-07-17,10.069999694824219
2020-07-20,10.09000015258789
2020-07-21,10.119999885559082
2020-07-22,10.09000015258789
2020-07-23,10.069999694824219
2020-07-24,10.0600004196167
2020-07-27,10.09000015258789
2020-07-28,10.100000381469727
2020-07-29,10.100000381469727
2020-07-30,10.0
2020-07-31,9.989999771118164
2020-08-03,9.989999771118164
2020-08-04,9.979999542236328
2020-08-05,10.020000457763672
2020-08-06,10.038000106811523
2020-08-07,10.0
2020-08-10,10.0
2020-08-11,10.039999961853027
2020-08-12,10.039999961853027
2020-08-13,10.0
2020-08-14,10.069000244140625
2020-08-17,10.0600004196167
2020-08-18,10.0600004196167
2020-08-19,10.020000457763672
2020-08-20,10.0
2020-08-21,10.050000190734863
2020-08-24,9.979999542236328
2020-08-25,10.050000190734863
2020-08-26,10.050000190734863
2020-08-27,10.069999694824219
2020-08-28,10.069999694824219
2020-08-31,10.020000457763672
2020-09-01,10.020000457763672
2020-09-02,10.079999923706055
2020-09-03,10.130000114440918
2020-09-04,10.149999618530273
2020-09-08,10.149999618530273
2020-09-09,10.100000381469727
2020-09-10,10.100000381469727
2020-09-11,10.199999809265137
2020-09-14,10.25
2020-09-15,10.100000381469727
2020-09-16,10.199999809265137
2020-09-17,10.199999809265137
2020-09-18,10.199999809265137
2020-09-21,10.199999809265137
2020-09-22,10.199999809265137
2020-09-23,10.081999778747559
2020-09-24,10.149999618530273
2020-09-25,10.149999618530273
2020-09-28,10.149999618530273
2020-09-29,10.149999618530273
2020-09-30,10.149999618530273
2020-10-01,10.149999618530273
2020-10-02,10.050000190734863
2020-10-05,10.210000038146973
2020-10-06,10.149999618530273
2020-10-07,10.149999618530273
2020-10-08,10.180000305175781
2020-10-09,10.180000305175781
2020-10-12,10.180000305175781
2020-10-13,10.180000305175781
2020-10-14,10.180000305175781
2020-10-15,10.199999809265137
2020-10-16,10.199999809265137
2020-10-19,10.199999809265137
2020-10-20,10.199999809265137
2020-10-21,10.199999809265137
2020-10-22,10.199999809265137
2020-10-23,10.199999809265137
2020-10-26,10.239999771118164
