,HRI
2006-11-16,47.15999984741211
2006-11-17,46.97999954223633
2006-11-20,48.29999923706055
2006-11-21,46.83000183105469
2006-11-22,46.22999954223633
2006-11-24,45.720001220703125
2006-11-27,44.25
2006-11-28,45.0
2006-11-29,45.5099983215332
2006-11-30,48.0
2006-12-01,47.72999954223633
2006-12-04,46.97999954223633
2006-12-05,46.86000061035156
2006-12-06,46.68000030517578
2006-12-07,46.79999923706055
2006-12-08,47.790000915527344
2006-12-11,48.38999938964844
2006-12-12,48.45000076293945
2006-12-13,48.18000030517578
2006-12-14,48.900001525878906
2006-12-15,50.369998931884766
2006-12-18,50.459999084472656
2006-12-19,48.9900016784668
2006-12-20,50.54999923706055
2006-12-21,51.93000030517578
2006-12-22,51.150001525878906
2006-12-26,50.63999938964844
2006-12-27,51.0
2006-12-28,51.0
2006-12-29,52.16999816894531
2007-01-03,51.84000015258789
2007-01-04,51.75
2007-01-05,52.31999969482422
2007-01-08,51.959999084472656
2007-01-09,51.029998779296875
2007-01-10,51.2400016784668
2007-01-11,50.06999969482422
2007-01-12,51.33000183105469
2007-01-16,51.779998779296875
2007-01-17,52.08000183105469
2007-01-18,52.13999938964844
2007-01-19,51.959999084472656
2007-01-22,54.56999969482422
2007-01-23,56.310001373291016
2007-01-24,57.9900016784668
2007-01-25,57.27000045776367
2007-01-26,56.66999816894531
2007-01-29,56.7599983215332
2007-01-30,56.310001373291016
2007-01-31,55.86000061035156
2007-02-01,56.849998474121094
2007-02-02,56.70000076293945
2007-02-05,58.290000915527344
2007-02-06,59.130001068115234
2007-02-07,59.880001068115234
2007-02-08,61.13999938964844
2007-02-09,62.099998474121094
2007-02-12,60.900001525878906
2007-02-13,61.08000183105469
2007-02-14,63.65999984741211
2007-02-15,64.86000061035156
2007-02-16,65.69999694824219
2007-02-20,66.75
2007-02-21,65.22000122070312
2007-02-22,65.0999984741211
2007-02-23,64.68000030517578
2007-02-26,64.08000183105469
2007-02-27,63.779998779296875
2007-02-28,63.779998779296875
2007-03-01,61.439998626708984
2007-03-02,63.33000183105469
2007-03-05,63.0
2007-03-06,63.689998626708984
2007-03-07,62.72999954223633
2007-03-08,63.0
2007-03-09,62.70000076293945
2007-03-12,63.36000061035156
2007-03-13,63.93000030517578
2007-03-14,66.33000183105469
2007-03-15,65.66999816894531
2007-03-16,66.08999633789062
2007-03-19,65.33999633789062
2007-03-20,65.27999877929688
2007-03-21,67.41000366210938
2007-03-22,68.58000183105469
2007-03-23,68.33999633789062
2007-03-26,68.33999633789062
2007-03-27,70.05000305175781
2007-03-28,70.2300033569336
2007-03-29,69.80999755859375
2007-03-30,71.0999984741211
2007-04-02,70.26000213623047
2007-04-03,72.44999694824219
2007-04-04,71.16000366210938
2007-04-05,71.94000244140625
2007-04-09,72.51000213623047
2007-04-10,72.56999969482422
2007-04-11,71.5199966430664
2007-04-12,71.19000244140625
2007-04-13,71.22000122070312
