,APOP
2016-08-01,26.5
2016-08-02,25.5
2016-08-03,24.5
2016-08-04,23.149999618530273
2016-08-05,23.5
2016-08-08,24.799999237060547
2016-08-09,26.0
2016-08-10,25.0
2016-08-11,25.200000762939453
2016-08-12,25.950000762939453
2016-08-15,24.950000762939453
2016-08-16,24.450000762939453
2016-08-17,24.049999237060547
2016-08-18,21.950000762939453
2016-08-19,22.950000762939453
2016-08-22,23.200000762939453
2016-08-23,23.950000762939453
2016-08-24,23.799999237060547
2016-08-25,23.700000762939453
2016-08-26,24.100000381469727
2016-08-29,23.850000381469727
2016-08-30,23.549999237060547
2016-08-31,22.350000381469727
2016-09-01,22.0
2016-09-02,22.149999618530273
2016-09-06,22.950000762939453
2016-09-07,23.149999618530273
2016-09-08,23.149999618530273
2016-09-09,22.170000076293945
2016-09-12,23.049999237060547
2016-09-13,23.049999237060547
2016-09-14,22.649999618530273
2016-09-15,22.299999237060547
2016-09-16,22.600000381469727
2016-09-19,23.799999237060547
2016-09-20,23.25
2016-09-21,22.5
2016-09-22,22.450000762939453
2016-09-23,22.649999618530273
2016-09-26,22.200000762939453
2016-09-27,22.399999618530273
2016-09-28,23.200000762939453
2016-09-29,22.700000762939453
2016-09-30,23.0
2016-10-03,22.924999237060547
2016-10-04,23.149999618530273
2016-10-05,22.850000381469727
2016-10-06,22.700000762939453
2016-10-07,23.049999237060547
2016-10-10,22.0
2016-10-11,22.049999237060547
2016-10-12,22.0
2016-10-13,21.600000381469727
2016-10-14,21.100000381469727
2016-10-17,20.950000762939453
2016-10-18,21.149999618530273
2016-10-19,20.5
2016-10-20,19.25
2016-10-21,19.309999465942383
2016-10-24,20.200000762939453
2016-10-25,20.799999237060547
2016-10-26,21.399999618530273
2016-10-27,20.299999237060547
2016-10-28,21.5
2016-10-31,20.954999923706055
2016-11-01,20.75
2016-11-02,20.549999237060547
2016-11-03,20.5
2016-11-04,20.5
2016-11-07,19.75
2016-11-08,18.799999237060547
2016-11-09,17.799999237060547
2016-11-10,19.0
2016-11-11,18.649999618530273
2016-11-14,18.25
2016-11-15,17.760000228881836
2016-11-16,17.760000228881836
2016-11-17,17.299999237060547
2016-11-18,17.799999237060547
