,CAKE
1992-09-18,3.5884768962860107
1992-09-21,3.4897119998931885
1992-09-22,3.2921810150146484
1992-09-23,3.242798089981079
1992-09-24,3.3251030445098877
1992-09-25,3.22633695602417
1992-09-28,3.1275720596313477
1992-09-29,3.193416118621826
1992-09-30,3.2921810150146484
1992-10-01,3.22633695602417
1992-10-02,3.061728000640869
1992-10-05,2.9300410747528076
1992-10-06,3.0946500301361084
1992-10-07,3.22633695602417
1992-10-08,3.3086419105529785
1992-10-09,3.22633695602417
1992-10-12,3.22633695602417
1992-10-13,3.0946500301361084
1992-10-14,3.22633695602417
1992-10-15,3.358025074005127
1992-10-16,3.42386794090271
1992-10-19,3.555556058883667
1992-10-20,3.62139892578125
1992-10-21,3.6543209552764893
1992-10-22,3.4897119998931885
1992-10-23,3.555556058883667
1992-10-26,3.5226340293884277
1992-10-27,3.42386794090271
1992-10-28,3.5720160007476807
1992-10-29,3.456789970397949
1992-10-30,3.242798089981079
1992-11-02,3.2757198810577393
1992-11-03,3.2921810150146484
1992-11-04,3.22633695602417
1992-11-05,3.456789970397949
1992-11-06,3.456789970397949
1992-11-09,3.4897119998931885
1992-11-10,3.42386794090271
1992-11-11,3.42386794090271
1992-11-12,3.456789970397949
1992-11-13,3.5226340293884277
1992-11-16,3.5226340293884277
1992-11-17,3.5061728954315186
1992-11-18,3.62139892578125
1992-11-19,3.62139892578125
1992-11-20,3.7201650142669678
1992-11-23,3.7201650142669678
1992-11-24,3.7201650142669678
1992-11-25,3.786007881164551
1992-11-27,3.9670779705047607
1992-11-30,4.049383163452148
1992-12-01,3.9506170749664307
1992-12-02,3.8518519401550293
1992-12-03,3.6543209552764893
1992-12-04,3.62139892578125
1992-12-07,3.7530860900878906
1992-12-08,3.6543209552764893
1992-12-09,3.4897119998931885
1992-12-10,3.456789970397949
1992-12-11,3.555556058883667
1992-12-14,3.42386794090271
1992-12-15,3.3251030445098877
1992-12-16,3.358025074005127
1992-12-17,3.62139892578125
1992-12-18,3.555556058883667
1992-12-21,3.555556058883667
1992-12-22,3.4897119998931885
1992-12-23,3.358025074005127
1992-12-24,3.374485969543457
1992-12-28,2.8641979694366455
1992-12-29,2.962963104248047
1992-12-30,3.061728000640869
1992-12-31,3.160494089126587
1993-01-04,3.2098770141601562
1993-01-05,3.193416118621826
1993-01-06,2.995884895324707
1993-01-07,2.8312759399414062
1993-01-08,2.798353910446167
1993-01-11,2.962963104248047
1993-01-12,2.8971190452575684
1993-01-13,2.9300410747528076
1993-01-14,3.259258985519409
1993-01-15,3.3251030445098877
1993-01-18,3.193416118621826
1993-01-19,3.176954984664917
1993-01-20,3.160494089126587
1993-01-21,3.061728000640869
1993-01-22,3.160494089126587
1993-01-25,3.0946500301361084
1993-01-26,3.0946500301361084
1993-01-27,3.3251030445098877
1993-01-28,3.193416118621826
1993-01-29,3.1275720596313477
1993-02-01,3.390947103500366
1993-02-02,3.358025074005127
1993-02-03,3.42386794090271
1993-02-04,3.259258985519409
1993-02-05,3.2757198810577393
1993-02-08,3.22633695602417
1993-02-09,3.078188896179199
1993-02-10,3.012346029281616
1993-02-11,2.9300410747528076
1993-02-12,2.7654318809509277
1993-02-16,2.8641979694366455
1993-02-17,2.979423999786377
1993-02-18,2.9465019702911377
1993-02-19,3.0288069248199463
1993-02-22,2.962963104248047
1993-02-23,2.8312759399414062
1993-02-24,2.8312759399414062
1993-02-25,2.8971190452575684
1993-02-26,2.962963104248047
1993-03-01,2.962963104248047
1993-03-02,3.061728000640869
1993-03-03,3.2098770141601562
1993-03-04,3.259258985519409
1993-03-05,3.2921810150146484
1993-03-08,3.4897119998931885
1993-03-09,3.4897119998931885
