,BSMR
2019-09-26,25.02199935913086
2019-09-27,25.02199935913086
2019-09-30,25.02199935913086
2019-10-01,25.02199935913086
2019-10-02,25.09000015258789
2019-10-03,25.09000015258789
2019-10-04,25.09000015258789
2019-10-07,25.09000015258789
2019-10-08,25.09000015258789
2019-10-09,25.09000015258789
2019-10-10,25.09000015258789
2019-10-11,25.09000015258789
2019-10-14,25.09000015258789
2019-10-15,25.09000015258789
2019-10-16,25.09000015258789
2019-10-17,25.09000015258789
2019-10-18,25.09000015258789
2019-10-21,25.09000015258789
2019-10-22,25.09000015258789
2019-10-23,25.09000015258789
2019-10-24,25.09000015258789
2019-10-25,25.09000015258789
2019-10-28,25.09000015258789
2019-10-29,24.8700008392334
2019-10-30,24.8700008392334
2019-10-31,24.8700008392334
2019-11-01,24.8700008392334
2019-11-04,24.950000762939453
2019-11-05,24.8700008392334
2019-11-06,24.8700008392334
2019-11-07,24.8700008392334
2019-11-08,24.8700008392334
2019-11-11,24.8700008392334
2019-11-12,24.8700008392334
2019-11-13,24.829999923706055
2019-11-14,24.867000579833984
2019-11-15,24.867000579833984
2019-11-18,24.84000015258789
2019-11-19,24.84000015258789
2019-11-20,24.940000534057617
2019-11-21,24.940000534057617
2019-11-22,24.940000534057617
2019-11-25,24.940000534057617
2019-11-26,24.90999984741211
2019-11-27,24.90999984741211
2019-11-29,24.90999984741211
2019-12-02,24.90999984741211
2019-12-03,24.90999984741211
2019-12-04,24.90999984741211
2019-12-05,24.90999984741211
2019-12-06,24.905000686645508
2019-12-09,24.934999465942383
2019-12-10,24.940000534057617
2019-12-11,24.940000534057617
2019-12-12,24.940000534057617
2019-12-13,24.940000534057617
2019-12-16,24.940000534057617
2019-12-17,24.975000381469727
2019-12-18,24.975000381469727
2019-12-19,24.979999542236328
2019-12-20,24.940000534057617
2019-12-23,24.940000534057617
2019-12-24,24.940000534057617
2019-12-26,24.93000030517578
2019-12-27,24.934999465942383
2019-12-30,24.950000762939453
2019-12-31,24.950000762939453
2020-01-02,24.959999084472656
2020-01-03,24.959999084472656
2020-01-06,25.084999084472656
2020-01-07,25.084999084472656
2020-01-08,25.13800048828125
2020-01-09,25.145000457763672
2020-01-10,25.145000457763672
2020-01-13,25.145000457763672
2020-01-14,25.15999984741211
2020-01-15,25.15999984741211
2020-01-16,25.2450008392334
2020-01-17,25.280000686645508
2020-01-21,25.243000030517578
2020-01-22,25.229999542236328
2020-01-23,25.229999542236328
2020-01-24,25.229999542236328
2020-01-27,25.389999389648438
2020-01-28,25.389999389648438
2020-01-29,25.389999389648438
2020-01-30,25.440000534057617
2020-01-31,25.475000381469727
2020-02-03,25.469999313354492
2020-02-04,25.40999984741211
2020-02-05,25.3700008392334
2020-02-06,25.364999771118164
2020-02-07,25.364999771118164
2020-02-10,25.450000762939453
2020-02-11,25.469999313354492
2020-02-12,25.459999084472656
2020-02-13,25.459999084472656
2020-02-14,25.459999084472656
2020-02-18,25.510000228881836
2020-02-19,25.530000686645508
2020-02-20,25.579999923706055
2020-02-21,25.684999465942383
2020-02-24,25.684999465942383
2020-02-25,25.684999465942383
2020-02-26,25.80699920654297
2020-02-27,25.80699920654297
2020-02-28,25.827999114990234
2020-03-02,25.889999389648438
2020-03-03,25.809999465942383
2020-03-04,25.790000915527344
2020-03-05,25.799999237060547
2020-03-06,25.799999237060547
2020-03-09,25.799999237060547
2020-03-10,25.799999237060547
2020-03-11,25.799999237060547
2020-03-12,24.218000411987305
2020-03-13,24.218000411987305
2020-03-16,24.218000411987305
2020-03-17,23.993000030517578
2020-03-18,23.68899917602539
2020-03-19,23.079999923706055
2020-03-20,23.079999923706055
2020-03-23,22.360000610351562
2020-03-24,22.790000915527344
