,CNSP
2020-04-28,2.9800000190734863
2020-04-29,2.9100000858306885
2020-04-30,2.869999885559082
2020-05-01,2.759999990463257
2020-05-04,2.759999990463257
2020-05-05,2.759999990463257
2020-05-06,2.759999990463257
2020-05-07,2.759999990463257
2020-05-08,2.759999990463257
2020-05-11,2.759999990463257
2020-05-12,2.759999990463257
2020-05-13,2.759999990463257
2020-05-14,2.759999990463257
2020-05-15,2.759999990463257
2020-05-18,2.759999990463257
2020-05-19,2.759999990463257
2020-05-20,2.759999990463257
2020-05-21,2.759999990463257
2020-05-22,2.759999990463257
2020-05-26,2.759999990463257
2020-05-27,2.759999990463257
2020-05-28,2.4000000953674316
2020-05-29,2.6600000858306885
2020-06-01,2.8499999046325684
2020-06-02,2.75
2020-06-03,2.700000047683716
2020-06-04,2.760999917984009
2020-06-05,2.6600000858306885
2020-06-08,2.5350000858306885
2020-06-09,2.5199999809265137
2020-06-10,2.680000066757202
2020-06-11,2.5899999141693115
2020-06-12,2.4700000286102295
2020-06-15,2.4200000762939453
2020-06-16,2.4200000762939453
2020-06-17,2.380000114440918
2020-06-18,2.3499999046325684
2020-06-19,2.2899999618530273
2020-06-22,2.2899999618530273
2020-06-23,2.4800000190734863
2020-06-24,2.3299999237060547
2020-06-25,2.25
2020-06-26,2.049999952316284
2020-06-29,2.069999933242798
2020-06-30,2.140000104904175
2020-07-01,2.0899999141693115
2020-07-02,2.069999933242798
2020-07-06,2.1549999713897705
2020-07-07,1.9500000476837158
2020-07-08,2.059999942779541
2020-07-09,1.9500000476837158
2020-07-10,1.8700000047683716
2020-07-13,1.690000057220459
2020-07-14,1.7200000286102295
2020-07-15,1.8700000047683716
2020-07-16,2.049999952316284
2020-07-17,2.049999952316284
2020-07-20,1.9600000381469727
2020-07-21,1.909999966621399
2020-07-22,1.9299999475479126
2020-07-23,1.9900000095367432
2020-07-24,1.9600000381469727
2020-07-27,1.9199999570846558
2020-07-28,1.9249999523162842
2020-07-29,1.899999976158142
2020-07-30,1.8899999856948853
2020-07-31,1.8600000143051147
2020-08-03,1.8300000429153442
2020-08-04,1.9299999475479126
2020-08-05,1.9299999475479126
2020-08-06,1.8700000047683716
2020-08-07,1.875
2020-08-10,1.909999966621399
2020-08-11,1.8300000429153442
2020-08-12,1.7699999809265137
2020-08-13,1.8250000476837158
2020-08-14,1.7699999809265137
2020-08-17,1.809999942779541
2020-08-18,1.7999999523162842
2020-08-19,1.7899999618530273
2020-08-20,1.7300000190734863
2020-08-21,1.7300000190734863
2020-08-24,2.1600000858306885
2020-08-25,2.180000066757202
2020-08-26,2.640000104904175
2020-08-27,2.5
2020-08-28,2.369999885559082
2020-08-31,2.1500000953674316
2020-09-01,2.069999933242798
2020-09-02,1.9800000190734863
2020-09-03,2.239000082015991
2020-09-04,2.1500000953674316
2020-09-08,2.069999933242798
2020-09-09,2.049999952316284
2020-09-10,2.059999942779541
2020-09-11,2.009999990463257
2020-09-14,1.9500000476837158
2020-09-15,1.9600000381469727
2020-09-16,1.9600000381469727
2020-09-17,1.9500000476837158
2020-09-18,1.8799999952316284
2020-09-21,1.899999976158142
2020-09-22,1.840000033378601
2020-09-23,1.7999999523162842
2020-09-24,1.7599999904632568
2020-09-25,1.850000023841858
2020-09-28,1.7999999523162842
2020-09-29,1.7799999713897705
2020-09-30,1.7599999904632568
2020-10-01,1.8650000095367432
2020-10-02,1.8300000429153442
2020-10-05,1.850000023841858
2020-10-06,1.8300000429153442
2020-10-07,1.8799999952316284
2020-10-08,1.850000023841858
2020-10-09,1.899999976158142
2020-10-12,1.850000023841858
2020-10-13,1.940000057220459
2020-10-14,1.899999976158142
2020-10-15,1.8539999723434448
2020-10-16,1.8300000429153442
2020-10-19,1.8200000524520874
2020-10-20,1.8600000143051147
2020-10-21,1.8300000429153442
2020-10-22,1.8200000524520874
2020-10-23,1.8799999952316284
2020-10-26,1.809999942779541
2020-10-27,1.840000033378601
2020-10-28,1.75
2020-10-29,1.7899999618530273
2020-10-30,1.6820000410079956
2020-11-02,1.6799999475479126
2020-11-03,1.7000000476837158
2020-11-04,1.8200000524520874
2020-11-05,1.840000033378601
2020-11-06,2.1600000858306885
2020-11-09,2.130000114440918
2020-11-10,2.0199999809265137
2020-11-11,2.200000047683716
2020-11-12,2.2200000286102295
2020-11-13,2.119999885559082
2020-11-16,2.0799999237060547
2020-11-17,2.1540000438690186
2020-11-18,2.0999999046325684
2020-11-19,2.1500000953674316
2020-11-20,2.25
2020-11-23,2.369999885559082
2020-11-24,2.299999952316284
2020-11-25,2.375
2020-11-27,2.4000000953674316
2020-11-30,2.240000009536743
2020-12-01,2.200000047683716
2020-12-02,2.2200000286102295
2020-12-03,2.190000057220459
2020-12-04,2.259999990463257
2020-12-07,2.359999895095825
2020-12-08,2.450000047683716
2020-12-09,2.5799999237060547
2020-12-10,2.5399999618530273
2020-12-11,2.4000000953674316
2020-12-14,2.430000066757202
2020-12-15,2.2899999618530273
2020-12-16,2.180000066757202
2020-12-17,2.5
2020-12-18,2.890000104904175
2020-12-21,2.4700000286102295
2020-12-22,2.0999999046325684
2020-12-23,1.8200000524520874
2020-12-24,1.7799999713897705
2020-12-28,1.850000023841858
2020-12-29,1.7300000190734863
2020-12-30,1.7699999809265137
2020-12-31,1.7799999713897705
2021-01-04,1.7699999809265137
2021-01-05,1.7400000095367432
2021-01-06,1.7599999904632568
2021-01-07,1.7999999523162842
2021-01-08,1.809999942779541
2021-01-11,1.850000023841858
2021-01-12,1.8899999856948853
2021-01-13,1.840000033378601
2021-01-14,1.8799999952316284
2021-01-15,1.9199999570846558
2021-01-19,2.0199999809265137
2021-01-20,1.9600000381469727
2021-01-21,2.0199999809265137
2021-01-22,2.0399999618530273
2021-01-25,2.190000057220459
2021-01-26,2.130000114440918
2021-01-27,1.8700000047683716
2021-01-28,1.809999942779541
2021-01-29,1.7200000286102295
2021-02-01,1.7999999523162842
2021-02-02,2.0299999713897705
2021-02-03,2.0799999237060547
2021-02-04,3.5
2021-02-05,3.359999895095825
2021-02-08,4.179999828338623
2021-02-09,4.159999847412109
2021-02-10,3.9700000286102295
2021-02-11,3.680000066757202
2021-02-12,3.440000057220459
2021-02-16,3.240000009536743
2021-02-17,3.2699999809265137
2021-02-18,3.059999942779541
2021-02-19,3.0799999237060547
2021-02-22,3.069999933242798
2021-02-23,2.700000047683716
2021-02-24,2.950000047683716
2021-02-25,2.880000114440918
2021-02-26,2.630000114440918
2021-03-01,2.799999952316284
2021-03-02,2.740000009536743
2021-03-03,2.6500000953674316
2021-03-04,2.25
2021-03-05,2.3499999046325684
2021-03-08,2.200000047683716
2021-03-09,2.4600000381469727
2021-03-10,2.4200000762939453
2021-03-11,2.700000047683716
2021-03-12,2.6700000762939453
2021-03-15,2.7300000190734863
2021-03-16,2.6500000953674316
2021-03-17,2.8299999237060547
2021-03-18,2.990000009536743
2021-03-19,2.700000047683716
2021-03-22,2.75
2021-03-23,2.640000104904175
2021-03-24,2.5299999713897705
2021-03-25,2.5199999809265137
2021-03-26,2.359999895095825
2021-03-29,2.2200000286102295
2021-03-30,2.319999933242798
2021-03-31,2.390000104904175
2021-04-01,2.359999895095825
2021-04-05,2.4100000858306885
2021-04-06,2.4200000762939453
2021-04-07,2.359999895095825
2021-04-08,2.2799999713897705
2021-04-09,2.2300000190734863
2021-04-12,2.059999942779541
2021-04-13,2.069999933242798
2021-04-14,2.130000114440918
2021-04-15,2.0299999713897705
2021-04-16,2.0799999237060547
2021-04-19,2.0199999809265137
2021-04-20,1.9299999475479126
2021-04-21,2.0299999713897705
2021-04-22,2.049999952316284
2021-04-23,2.049999952316284
2021-04-26,2.0799999237060547
2021-04-27,2.0299999713897705
2021-04-28,2.069999933242798
2021-04-29,2.049999952316284
2021-04-30,2.0
2021-05-03,2.0
2021-05-04,1.8899999856948853
2021-05-05,1.8910000324249268
2021-05-06,1.7899999618530273
2021-05-07,1.840000033378601
2021-05-10,1.7999999523162842
2021-05-11,1.840000033378601
2021-05-12,1.7999999523162842
2021-05-13,1.7100000381469727
2021-05-14,1.7899999618530273
