,CRVL
1991-06-28,1.013888955116272
1991-07-01,1.0833330154418945
1991-07-02,1.111111044883728
1991-07-03,1.111111044883728
1991-07-05,1.111111044883728
1991-07-08,1.0833330154418945
1991-07-09,1.0833330154418945
1991-07-10,1.111111044883728
1991-07-11,1.111111044883728
1991-07-12,1.138888955116272
1991-07-15,1.138888955116272
1991-07-16,1.1666669845581055
1991-07-17,1.25
1991-07-18,1.3333330154418945
1991-07-19,1.388888955116272
1991-07-22,1.388888955116272
1991-07-23,1.3472219705581665
1991-07-24,1.361111044883728
1991-07-25,1.388888955116272
1991-07-26,1.4166669845581055
1991-07-29,1.444443941116333
1991-07-30,1.5416669845581055
1991-07-31,1.555556058883667
1991-08-01,1.694443941116333
1991-08-02,1.694443941116333
1991-08-05,1.638888955116272
1991-08-06,1.694443941116333
1991-08-07,1.7222219705581665
1991-08-08,1.7916669845581055
1991-08-09,1.7777780294418335
1991-08-12,1.7222219705581665
1991-08-13,1.7222219705581665
1991-08-14,1.611111044883728
1991-08-15,1.555556058883667
1991-08-16,1.5277780294418335
1991-08-19,1.5833330154418945
1991-08-20,1.736111044883728
1991-08-21,1.8333330154418945
1991-08-22,1.7777780294418335
1991-08-23,1.805556058883667
1991-08-26,1.7777780294418335
1991-08-27,1.7222219705581665
1991-08-28,1.7777780294418335
1991-08-29,1.8333330154418945
1991-08-30,1.7777780294418335
1991-09-03,1.75
1991-09-04,1.6666669845581055
1991-09-05,1.638888955116272
1991-09-06,1.6666669845581055
1991-09-09,1.638888955116272
1991-09-10,1.638888955116272
1991-09-11,1.625
1991-09-12,1.680556058883667
1991-09-13,1.6527780294418335
1991-09-16,1.611111044883728
1991-09-17,1.5833330154418945
1991-09-18,1.638888955116272
1991-09-19,1.861111044883728
1991-09-20,1.861111044883728
1991-09-23,1.805556058883667
1991-09-24,1.861111044883728
1991-09-25,2.027777910232544
1991-09-26,2.055556058883667
1991-09-27,1.805556058883667
1991-09-30,1.888888955116272
1991-10-01,1.875
1991-10-02,1.805556058883667
1991-10-03,1.805556058883667
1991-10-04,1.8472219705581665
1991-10-07,1.930556058883667
1991-10-08,2.027777910232544
1991-10-09,2.1111109256744385
1991-10-10,2.222222089767456
1991-10-11,2.1111109256744385
1991-10-14,2.0833330154418945
1991-10-15,2.0833330154418945
1991-10-16,2.1666669845581055
1991-10-17,2.1388890743255615
1991-10-18,2.194443941116333
1991-10-21,2.194443941116333
1991-10-22,2.1666669845581055
1991-10-23,2.1388890743255615
1991-10-24,2.055556058883667
1991-10-25,2.0
1991-10-28,2.055556058883667
1991-10-29,2.277777910232544
1991-10-30,2.555556058883667
1991-10-31,2.4166669845581055
1991-11-01,2.3333330154418945
1991-11-04,2.3333330154418945
1991-11-05,2.305556058883667
1991-11-06,2.3611109256744385
1991-11-07,2.5
1991-11-08,2.3611109256744385
1991-11-11,2.444443941116333
1991-11-12,2.5
1991-11-13,2.472222089767456
1991-11-14,2.4166669845581055
1991-11-15,2.277777910232544
1991-11-18,2.1111109256744385
1991-11-19,2.097222089767456
1991-11-20,2.1388890743255615
1991-11-21,2.1388890743255615
1991-11-22,2.152777910232544
1991-11-25,2.1388890743255615
1991-11-26,2.1666669845581055
1991-11-27,2.1666669845581055
1991-11-29,2.1111109256744385
1991-12-02,2.055556058883667
1991-12-03,2.1111109256744385
1991-12-04,2.1111109256744385
1991-12-05,2.1666669845581055
1991-12-06,2.1111109256744385
1991-12-09,2.1111109256744385
1991-12-10,2.1111109256744385
1991-12-11,2.055556058883667
