,ALTUW
2021-01-29,1.7000000476837158
2021-02-01,2.049999952316284
2021-02-02,2.390000104904175
2021-02-03,2.049999952316284
2021-02-04,2.049999952316284
2021-02-05,2.119999885559082
2021-02-08,2.0450000762939453
2021-02-09,2.0799999237060547
2021-02-10,2.200000047683716
2021-02-11,2.049999952316284
2021-02-12,2.049999952316284
2021-02-16,2.140000104904175
2021-02-17,2.3499999046325684
2021-02-18,3.6500000953674316
2021-02-19,4.260000228881836
2021-02-22,4.559999942779541
2021-02-23,3.8399999141693115
2021-02-24,3.7799999713897705
2021-02-25,3.190000057220459
2021-02-26,3.0
2021-03-01,3.0999999046325684
2021-03-02,3.0
2021-03-03,2.740000009536743
2021-03-04,2.0899999141693115
2021-03-05,2.0999999046325684
2021-03-08,1.9199999570846558
2021-03-09,1.940000057220459
2021-03-10,2.0199999809265137
2021-03-11,2.3499999046325684
2021-03-12,2.559999942779541
2021-03-15,2.450000047683716
2021-03-16,2.430000066757202
2021-03-17,2.0999999046325684
2021-03-18,2.059999942779541
2021-03-19,2.0199999809265137
2021-03-22,1.9500000476837158
2021-03-23,1.6799999475479126
2021-03-24,1.5499999523162842
2021-03-25,1.5
2021-03-26,1.8899999856948853
2021-03-29,1.8300000429153442
2021-03-30,1.690000057220459
2021-03-31,1.7000000476837158
2021-04-01,1.690000057220459
2021-04-05,1.649999976158142
2021-04-06,1.649999976158142
2021-04-07,1.649999976158142
2021-04-08,1.7300000190734863
2021-04-09,1.7400000095367432
2021-04-12,1.6299999952316284
2021-04-13,1.5800000429153442
2021-04-14,1.5199999809265137
2021-04-15,1.4700000286102295
2021-04-16,1.4600000381469727
2021-04-19,1.3600000143051147
2021-04-20,1.2599999904632568
2021-04-21,1.2699999809265137
2021-04-22,1.340000033378601
2021-04-23,1.2999999523162842
2021-04-26,1.25
2021-04-27,1.25
2021-04-28,1.2799999713897705
2021-04-29,1.2200000286102295
2021-04-30,1.2200000286102295
2021-05-03,1.2100000381469727
2021-05-04,1.1399999856948853
2021-05-05,1.1649999618530273
2021-05-06,1.0700000524520874
2021-05-07,1.1100000143051147
2021-05-10,1.0199999809265137
2021-05-11,0.9599999785423279
2021-05-12,0.9599999785423279
2021-05-13,0.8109999895095825
2021-05-14,0.878000020980835
