,CONX
2020-12-21,10.199999809265137
2020-12-22,10.199000358581543
2020-12-23,10.25
2020-12-24,10.199999809265137
2020-12-28,10.149999618530273
2020-12-29,10.220000267028809
2020-12-30,10.170999526977539
2020-12-31,10.229999542236328
2021-01-04,10.140000343322754
2021-01-05,10.140000343322754
2021-01-06,10.140000343322754
2021-01-07,10.15999984741211
2021-01-08,10.170000076293945
2021-01-11,10.1899995803833
2021-01-12,10.390000343322754
2021-01-13,10.390000343322754
2021-01-14,10.430000305175781
2021-01-15,10.449999809265137
2021-01-19,10.520000457763672
2021-01-20,10.5
2021-01-21,10.479999542236328
2021-01-22,10.510000228881836
2021-01-25,10.5
2021-01-26,10.479999542236328
2021-01-27,10.3100004196167
2021-01-28,10.350000381469727
2021-01-29,10.399999618530273
2021-02-01,10.399999618530273
2021-02-02,10.479999542236328
2021-02-03,10.6899995803833
2021-02-04,10.579999923706055
2021-02-05,10.569999694824219
2021-02-08,10.5600004196167
2021-02-09,10.489999771118164
2021-02-10,10.489999771118164
2021-02-11,10.5600004196167
2021-02-12,10.579999923706055
2021-02-16,10.720000267028809
2021-02-17,10.739999771118164
2021-02-18,10.75
2021-02-19,10.949999809265137
2021-02-22,10.800000190734863
2021-02-23,10.619999885559082
2021-02-24,10.489999771118164
2021-02-25,10.350000381469727
2021-02-26,10.34000015258789
2021-03-01,10.239999771118164
2021-03-02,10.149999618530273
2021-03-03,10.109999656677246
2021-03-04,9.979999542236328
2021-03-05,10.09000015258789
2021-03-08,10.100000381469727
2021-03-09,10.010000228881836
2021-03-10,9.989999771118164
2021-03-11,10.0600004196167
2021-03-12,10.100000381469727
2021-03-15,10.130000114440918
2021-03-16,10.0600004196167
2021-03-17,10.079999923706055
2021-03-18,10.0
2021-03-19,10.010000228881836
2021-03-22,9.989999771118164
2021-03-23,10.039999961853027
2021-03-24,9.899999618530273
2021-03-25,9.899999618530273
2021-03-26,10.029999732971191
2021-03-29,9.989999771118164
2021-03-30,9.920000076293945
2021-03-31,9.970000267028809
2021-04-01,10.020000457763672
2021-04-05,9.989999771118164
2021-04-06,10.029999732971191
2021-04-07,10.020000457763672
2021-04-08,10.0600004196167
2021-04-09,10.050000190734863
2021-04-12,10.050000190734863
2021-04-13,10.029999732971191
2021-04-14,10.020000457763672
2021-04-15,10.050000190734863
2021-04-16,10.0
2021-04-19,9.989999771118164
2021-04-20,9.90999984741211
2021-04-21,9.949999809265137
2021-04-22,9.90999984741211
2021-04-23,9.90999984741211
2021-04-26,9.989999771118164
2021-04-27,9.90999984741211
2021-04-28,9.949999809265137
2021-04-29,9.970000267028809
2021-04-30,9.960000038146973
2021-05-03,9.949999809265137
2021-05-04,9.989999771118164
2021-05-05,9.9399995803833
2021-05-06,9.979999542236328
2021-05-07,9.960000038146973
2021-05-10,9.970000267028809
2021-05-11,9.949999809265137
2021-05-12,9.90999984741211
2021-05-13,9.899999618530273
2021-05-14,9.920000076293945
