,EDIT
2016-02-03,18.200000762939453
2016-02-04,18.5
2016-02-05,17.600000381469727
2016-02-08,15.850000381469727
2016-02-09,12.8100004196167
2016-02-10,13.09000015258789
2016-02-11,15.770000457763672
2016-02-12,15.399999618530273
2016-02-16,15.9399995803833
2016-02-17,16.700000762939453
2016-02-18,16.75
2016-02-19,18.479999542236328
2016-02-22,21.6200008392334
2016-02-23,22.6200008392334
2016-02-24,23.219999313354492
2016-02-25,23.950000762939453
2016-02-26,27.489999771118164
2016-02-29,28.950000762939453
2016-03-01,28.959999084472656
2016-03-02,31.899999618530273
2016-03-03,37.4900016784668
2016-03-04,35.560001373291016
2016-03-07,39.11000061035156
2016-03-08,41.9900016784668
2016-03-09,31.100000381469727
2016-03-10,26.739999771118164
2016-03-11,31.25
2016-03-14,30.770000457763672
2016-03-15,32.34000015258789
2016-03-16,31.020000457763672
2016-03-17,30.43000030517578
2016-03-18,29.360000610351562
2016-03-21,29.959999084472656
2016-03-22,29.8799991607666
2016-03-23,30.450000762939453
2016-03-24,31.309999465942383
2016-03-28,30.530000686645508
2016-03-29,32.61000061035156
2016-03-30,31.190000534057617
2016-03-31,34.540000915527344
2016-04-01,36.900001525878906
2016-04-04,39.58000183105469
2016-04-05,42.040000915527344
2016-04-06,41.83000183105469
2016-04-07,39.86000061035156
2016-04-08,40.45000076293945
2016-04-11,37.869998931884766
2016-04-12,37.11000061035156
2016-04-13,38.189998626708984
2016-04-14,39.72999954223633
2016-04-15,39.869998931884766
2016-04-18,40.36000061035156
2016-04-19,39.59000015258789
2016-04-20,40.63999938964844
2016-04-21,40.22999954223633
2016-04-22,38.099998474121094
2016-04-25,38.709999084472656
2016-04-26,37.0
2016-04-27,36.369998931884766
2016-04-28,34.13999938964844
2016-04-29,33.04999923706055
2016-05-02,33.5099983215332
2016-05-03,30.989999771118164
2016-05-04,30.200000762939453
2016-05-05,31.989999771118164
2016-05-06,30.1299991607666
2016-05-09,30.299999237060547
2016-05-10,30.610000610351562
2016-05-11,30.389999389648438
2016-05-12,28.540000915527344
2016-05-13,30.09000015258789
2016-05-16,34.0
2016-05-17,32.20000076293945
2016-05-18,33.34000015258789
2016-05-19,32.849998474121094
2016-05-20,33.25
2016-05-23,33.779998779296875
2016-05-24,35.75
2016-05-25,36.02000045776367
2016-05-26,35.38999938964844
2016-05-27,35.220001220703125
2016-05-31,37.09000015258789
2016-06-01,36.790000915527344
2016-06-02,34.84000015258789
2016-06-03,33.709999084472656
2016-06-06,32.88999938964844
2016-06-07,33.56999969482422
2016-06-08,34.470001220703125
2016-06-09,32.38999938964844
2016-06-10,30.540000915527344
2016-06-13,30.030000686645508
2016-06-14,30.8700008392334
2016-06-15,32.529998779296875
2016-06-16,31.299999237060547
2016-06-17,29.690000534057617
2016-06-20,29.68000030517578
2016-06-21,27.59000015258789
2016-06-22,28.079999923706055
2016-06-23,28.350000381469727
2016-06-24,26.06999969482422
2016-06-27,23.860000610351562
2016-06-28,24.809999465942383
2016-06-29,25.18000030517578
2016-06-30,24.399999618530273
2016-07-01,25.450000762939453
2016-07-05,25.200000762939453
2016-07-06,25.5
2016-07-07,25.6200008392334
2016-07-08,25.31999969482422
2016-07-11,25.239999771118164
2016-07-12,25.639999389648438
2016-07-13,25.3700008392334
2016-07-14,24.770000457763672
2016-07-15,24.729999542236328
2016-07-18,24.559999465942383
2016-07-19,24.579999923706055
2016-07-20,25.479999542236328
2016-07-21,25.84000015258789
2016-07-22,27.110000610351562
2016-07-25,26.450000762939453
2016-07-26,27.079999923706055
2016-07-27,28.200000762939453
2016-07-28,27.280000686645508
2016-07-29,25.719999313354492
2016-08-01,25.700000762939453
2016-08-02,24.969999313354492
2016-08-03,25.059999465942383
2016-08-04,24.989999771118164
2016-08-05,24.8700008392334
2016-08-08,23.700000762939453
2016-08-09,23.280000686645508
2016-08-10,21.5
2016-08-11,20.739999771118164
2016-08-12,20.110000610351562
2016-08-15,20.360000610351562
2016-08-16,19.940000534057617
2016-08-17,19.059999465942383
2016-08-18,17.760000228881836
2016-08-19,18.670000076293945
2016-08-22,19.420000076293945
2016-08-23,20.1299991607666
2016-08-24,18.350000381469727
2016-08-25,18.350000381469727
2016-08-26,18.329999923706055
2016-08-29,17.420000076293945
2016-08-30,17.709999084472656
2016-08-31,16.81999969482422
2016-09-01,16.739999771118164
2016-09-02,16.110000610351562
2016-09-06,16.020000457763672
2016-09-07,16.610000610351562
2016-09-08,17.209999084472656
2016-09-09,16.510000228881836
2016-09-12,16.56999969482422
2016-09-13,15.539999961853027
2016-09-14,14.970000267028809
2016-09-15,15.0600004196167
2016-09-16,14.489999771118164
2016-09-19,14.75
2016-09-20,14.899999618530273
2016-09-21,14.9399995803833
2016-09-22,14.800000190734863
2016-09-23,14.460000038146973
2016-09-26,14.119999885559082
2016-09-27,14.119999885559082
2016-09-28,13.920000076293945
2016-09-29,13.539999961853027
2016-09-30,13.479999542236328
2016-10-03,13.489999771118164
2016-10-04,14.920000076293945
2016-10-05,15.479999542236328
2016-10-06,15.010000228881836
2016-10-07,14.0600004196167
2016-10-10,14.510000228881836
2016-10-11,14.050000190734863
2016-10-12,13.140000343322754
2016-10-13,13.770000457763672
2016-10-14,13.4399995803833
2016-10-17,13.260000228881836
2016-10-18,13.8100004196167
2016-10-19,13.90999984741211
2016-10-20,14.699999809265137
2016-10-21,15.319999694824219
2016-10-24,16.280000686645508
2016-10-25,14.640000343322754
2016-10-26,14.0
2016-10-27,13.220000267028809
2016-10-28,13.100000381469727
2016-10-31,14.140000343322754
2016-11-01,13.989999771118164
2016-11-02,13.100000381469727
2016-11-03,12.460000038146973
2016-11-04,13.229999542236328
2016-11-07,13.460000038146973
2016-11-08,13.899999618530273
2016-11-09,14.460000038146973
2016-11-10,15.109999656677246
2016-11-11,16.350000381469727
2016-11-14,17.0
2016-11-15,16.489999771118164
2016-11-16,15.600000381469727
2016-11-17,15.65999984741211
2016-11-18,15.210000038146973
2016-11-21,15.65999984741211
2016-11-22,15.729999542236328
2016-11-23,15.680000305175781
2016-11-25,15.289999961853027
