,CFIVW
2021-02-18,2.0199999809265137
2021-02-19,2.0
2021-02-22,1.9800000190734863
2021-02-23,1.850000023841858
2021-02-24,1.899999976158142
2021-02-25,1.6200000047683716
2021-02-26,1.4249999523162842
2021-03-01,1.4500000476837158
2021-03-02,1.2100000381469727
2021-03-03,1.0199999809265137
2021-03-04,0.9340000152587891
2021-03-05,1.1399999856948853
2021-03-08,1.0499999523162842
2021-03-09,1.059999942779541
2021-03-10,0.9900000095367432
2021-03-11,1.0700000524520874
2021-03-12,1.159999966621399
2021-03-15,1.0800000429153442
2021-03-16,0.9599999785423279
2021-03-17,0.9810000061988831
2021-03-18,0.9900000095367432
2021-03-19,0.9900000095367432
2021-03-22,1.0199999809265137
2021-03-23,0.9900000095367432
2021-03-24,0.9399999976158142
2021-03-25,0.9449999928474426
2021-03-26,0.9100000262260437
2021-03-29,0.9800000190734863
2021-03-30,0.9200000166893005
2021-03-31,0.8799999952316284
2021-04-01,0.8700000047683716
2021-04-05,0.9100000262260437
2021-04-06,0.9300000071525574
2021-04-07,0.949999988079071
2021-04-08,0.9900000095367432
2021-04-09,0.9399999976158142
2021-04-12,0.9399999976158142
2021-04-13,0.9200000166893005
2021-04-14,0.9300000071525574
2021-04-15,0.8999999761581421
2021-04-16,0.8899999856948853
2021-04-19,0.8949999809265137
2021-04-20,0.8349999785423279
2021-04-21,0.8199999928474426
2021-04-22,0.824999988079071
2021-04-23,0.8500000238418579
2021-04-26,0.8700000047683716
2021-04-27,0.8899999856948853
2021-04-28,0.9100000262260437
2021-04-29,0.9100000262260437
2021-04-30,0.8799999952316284
2021-05-03,0.8799999952316284
2021-05-04,0.8989999890327454
2021-05-05,0.8799999952316284
2021-05-06,0.8700000047683716
2021-05-07,0.8399999737739563
2021-05-10,0.8799999952316284
2021-05-11,0.8450000286102295
2021-05-12,0.8500000238418579
2021-05-13,0.8399999737739563
2021-05-14,0.8299999833106995
