,CENH
2021-04-05,9.600000381469727
2021-04-06,9.949999809265137
2021-04-07,9.949999809265137
2021-04-08,9.949999809265137
2021-04-09,9.949999809265137
2021-04-12,9.9399995803833
2021-04-13,9.930000305175781
2021-04-14,10.039999961853027
2021-04-15,10.039999961853027
2021-04-16,10.039999961853027
2021-04-19,10.039999961853027
2021-04-20,9.6899995803833
2021-04-21,9.739999771118164
2021-04-22,9.75
2021-04-23,9.729999542236328
2021-04-26,9.729999542236328
2021-04-27,9.850000381469727
2021-04-28,9.850000381469727
2021-04-29,9.800000190734863
2021-04-30,9.770000457763672
2021-05-03,9.75
2021-05-04,9.729999542236328
2021-05-05,9.789999961853027
2021-05-06,9.755000114440918
2021-05-07,9.720000267028809
2021-05-10,9.789999961853027
2021-05-11,9.699999809265137
2021-05-12,9.880000114440918
2021-05-13,9.859999656677246
2021-05-14,9.850000381469727
