,FCA
2011-04-21,30.850000381469727
2011-04-25,30.479999542236328
2011-04-26,30.540000915527344
2011-04-27,29.93000030517578
2011-04-28,29.84000015258789
2011-04-29,29.84000015258789
2011-05-02,30.459999084472656
2011-05-03,30.459999084472656
2011-05-04,28.649999618530273
2011-05-05,28.649999618530273
2011-05-06,29.229999542236328
2011-05-09,29.200000762939453
2011-05-10,29.200000762939453
2011-05-11,29.200000762939453
2011-05-12,28.780000686645508
2011-05-13,28.200000762939453
2011-05-16,28.469999313354492
2011-05-17,28.3799991607666
2011-05-18,29.229999542236328
2011-05-19,29.229999542236328
2011-05-20,28.670000076293945
2011-05-23,28.020000457763672
2011-05-24,28.010000228881836
2011-05-25,28.010000228881836
2011-05-26,28.219999313354492
2011-05-27,28.219999313354492
2011-05-31,28.649999618530273
2011-06-01,28.649999618530273
2011-06-02,28.649999618530273
2011-06-03,28.389999389648438
2011-06-06,28.0
2011-06-07,27.920000076293945
2011-06-08,27.420000076293945
2011-06-09,27.420000076293945
2011-06-10,27.420000076293945
2011-06-13,26.260000228881836
2011-06-14,27.170000076293945
2011-06-15,26.770000457763672
2011-06-16,26.5
2011-06-17,26.5
2011-06-20,26.3700008392334
2011-06-21,26.3700008392334
2011-06-22,26.3700008392334
2011-06-23,26.40999984741211
2011-06-24,26.40999984741211
2011-06-27,26.40999984741211
2011-06-28,26.40999984741211
2011-06-29,27.5
2011-06-30,27.969999313354492
2011-07-01,27.969999313354492
2011-07-05,27.969999313354492
2011-07-06,27.969999313354492
2011-07-07,28.6200008392334
2011-07-08,28.3799991607666
2011-07-11,27.610000610351562
2011-07-12,27.610000610351562
2011-07-13,27.889999389648438
2011-07-14,27.889999389648438
2011-07-15,27.299999237060547
2011-07-18,27.299999237060547
2011-07-19,27.299999237060547
2011-07-20,27.299999237060547
2011-07-21,26.950000762939453
2011-07-22,26.950000762939453
2011-07-25,27.18000030517578
2011-07-26,27.18000030517578
2011-07-27,27.18000030517578
2011-07-28,27.1299991607666
2011-07-29,26.639999389648438
2011-08-01,26.639999389648438
2011-08-02,26.639999389648438
2011-08-03,26.100000381469727
2011-08-04,25.770000457763672
2011-08-05,24.3799991607666
2011-08-08,24.3799991607666
2011-08-09,23.979999542236328
2011-08-10,23.34000015258789
2011-08-11,23.34000015258789
2011-08-12,23.420000076293945
2011-08-15,24.15999984741211
2011-08-16,24.40999984741211
2011-08-17,24.1200008392334
2011-08-18,24.1200008392334
2011-08-19,24.1200008392334
2011-08-22,22.510000228881836
2011-08-23,22.510000228881836
2011-08-24,22.510000228881836
2011-08-25,22.510000228881836
2011-08-26,22.020000457763672
2011-08-29,22.020000457763672
2011-08-30,22.020000457763672
2011-08-31,23.600000381469727
2011-09-01,23.600000381469727
2011-09-02,23.450000762939453
2011-09-06,23.450000762939453
2011-09-07,23.450000762939453
2011-09-08,23.450000762939453
2011-09-09,23.450000762939453
2011-09-12,21.3799991607666
2011-09-13,21.489999771118164
2011-09-14,20.799999237060547
2011-09-15,20.989999771118164
2011-09-16,20.989999771118164
2011-09-19,20.989999771118164
2011-09-20,20.989999771118164
2011-09-21,20.989999771118164
2011-09-22,17.31999969482422
2011-09-23,17.31999969482422
2011-09-26,17.31999969482422
2011-09-27,17.31999969482422
2011-09-28,17.31999969482422
2011-09-29,18.559999465942383
2011-09-30,17.049999237060547
2011-10-03,16.600000381469727
2011-10-04,16.600000381469727
2011-10-05,16.600000381469727
2011-10-06,16.600000381469727
2011-10-07,16.600000381469727
2011-10-10,16.600000381469727
2011-10-11,18.959999084472656
2011-10-12,20.18000030517578
2011-10-13,20.18000030517578
2011-10-14,20.200000762939453
2011-10-17,20.200000762939453
2011-10-18,19.479999542236328
2011-10-19,19.18000030517578
2011-10-20,18.510000228881836
2011-10-21,18.510000228881836
2011-10-24,20.520000457763672
2011-10-25,19.780000686645508
2011-10-26,19.450000762939453
2011-10-27,19.450000762939453
2011-10-28,22.020000457763672
2011-10-31,21.290000915527344
2011-11-01,20.469999313354492
2011-11-02,21.190000534057617
2011-11-03,21.190000534057617
2011-11-04,21.190000534057617
2011-11-07,21.700000762939453
2011-11-08,21.850000381469727
2011-11-09,20.479999542236328
2011-11-10,20.829999923706055
2011-11-11,20.8799991607666
2011-11-14,20.8799991607666
2011-11-15,21.1200008392334
2011-11-16,20.790000915527344
2011-11-17,20.790000915527344
2011-11-18,20.790000915527344
2011-11-21,19.700000762939453
2011-11-22,19.649999618530273
2011-11-23,19.649999618530273
2011-11-25,19.010000228881836
2011-11-28,19.010000228881836
2011-11-29,19.010000228881836
2011-11-30,21.18000030517578
2011-12-01,21.18000030517578
2011-12-02,21.18000030517578
2011-12-05,21.059999465942383
2011-12-06,21.059999465942383
2011-12-07,20.579999923706055
2011-12-08,20.579999923706055
2011-12-09,20.600000381469727
2011-12-12,20.600000381469727
2011-12-13,19.329999923706055
2011-12-14,18.860000610351562
2011-12-15,18.940000534057617
2011-12-16,19.489999771118164
2011-12-19,19.489999771118164
2011-12-20,19.049999237060547
2011-12-21,19.389999389648438
2011-12-22,19.389999389648438
2011-12-23,19.389999389648438
2011-12-27,19.530000686645508
2011-12-28,19.020000457763672
2011-12-29,19.6299991607666
2011-12-30,19.6299991607666
2012-01-03,19.6299991607666
2012-01-04,20.040000915527344
2012-01-05,19.989999771118164
2012-01-06,19.280000686645508
2012-01-09,19.280000686645508
2012-01-10,20.440000534057617
2012-01-11,20.440000534057617
2012-01-12,20.6200008392334
2012-01-13,20.540000915527344
2012-01-17,20.8700008392334
2012-01-18,20.8700008392334
