,CFAC
2021-01-11,10.680000305175781
2021-01-12,10.75
2021-01-13,10.75
2021-01-14,13.289999961853027
2021-01-15,12.770000457763672
2021-01-19,12.390000343322754
2021-01-20,12.199999809265137
2021-01-21,12.0600004196167
2021-01-22,12.0600004196167
2021-01-25,12.529999732971191
2021-01-26,12.699999809265137
2021-01-27,11.850000381469727
2021-01-28,11.800000190734863
2021-01-29,11.699999809265137
2021-02-01,12.449999809265137
2021-02-02,12.819999694824219
2021-02-03,12.869999885559082
2021-02-04,12.970000267028809
2021-02-05,13.579999923706055
2021-02-08,13.710000038146973
2021-02-09,13.649999618530273
2021-02-10,13.369999885559082
2021-02-11,13.210000038146973
2021-02-12,13.65999984741211
2021-02-16,13.539999961853027
2021-02-17,11.149999618530273
2021-02-18,11.199999809265137
2021-02-19,11.0
2021-02-22,10.739999771118164
2021-02-23,10.40999984741211
2021-02-24,10.640000343322754
2021-02-25,10.510000228881836
2021-02-26,10.479999542236328
2021-03-01,10.420000076293945
2021-03-02,10.470000267028809
2021-03-03,10.119999885559082
2021-03-04,9.970000267028809
2021-03-05,10.180000305175781
2021-03-08,10.15999984741211
2021-03-09,10.130000114440918
2021-03-10,10.020000457763672
2021-03-11,10.199999809265137
2021-03-12,10.199999809265137
2021-03-15,10.220000267028809
2021-03-16,10.1899995803833
2021-03-17,10.100000381469727
2021-03-18,10.079999923706055
2021-03-19,10.149999618530273
2021-03-22,10.119999885559082
2021-03-23,10.0600004196167
2021-03-24,9.949999809265137
2021-03-25,10.010000228881836
2021-03-26,10.050000190734863
2021-03-29,10.0
2021-03-30,9.960000038146973
2021-03-31,10.0
2021-04-01,10.020000457763672
2021-04-05,9.960000038146973
2021-04-06,9.970000267028809
2021-04-07,9.970000267028809
2021-04-08,9.989999771118164
2021-04-09,9.979999542236328
2021-04-12,9.960000038146973
2021-04-13,9.960000038146973
2021-04-14,9.970000267028809
2021-04-15,10.0
2021-04-16,9.979999542236328
2021-04-19,9.979999542236328
2021-04-20,9.970000267028809
2021-04-21,9.970000267028809
2021-04-22,10.0
2021-04-23,10.0
2021-04-26,9.989999771118164
2021-04-27,9.989999771118164
2021-04-28,9.989999771118164
2021-04-29,9.979999542236328
2021-04-30,9.979999542236328
2021-05-03,10.020000457763672
2021-05-04,10.0
2021-05-05,9.979999542236328
2021-05-06,9.979999542236328
2021-05-07,9.989999771118164
2021-05-10,10.0
2021-05-11,9.979999542236328
2021-05-12,9.989999771118164
2021-05-13,9.979999542236328
2021-05-14,9.979999542236328
