,CTEC
2020-10-29,15.619999885559082
2020-10-30,15.149999618530273
2020-11-02,15.380000114440918
2020-11-03,15.593000411987305
2020-11-04,15.215999603271484
2020-11-05,16.510000228881836
2020-11-06,16.65999984741211
2020-11-09,16.84000015258789
2020-11-10,16.5
2020-11-11,17.06599998474121
2020-11-12,16.900999069213867
2020-11-13,16.950000762939453
2020-11-16,17.076000213623047
2020-11-17,17.229999542236328
2020-11-18,17.270000457763672
2020-11-19,17.604999542236328
2020-11-20,17.857999801635742
2020-11-23,18.54599952697754
2020-11-24,18.829999923706055
2020-11-25,18.889999389648438
2020-11-27,19.179000854492188
2020-11-30,19.0
2020-12-01,18.84600067138672
2020-12-02,18.450000762939453
2020-12-03,18.333999633789062
2020-12-04,18.551000595092773
2020-12-07,18.670000076293945
2020-12-08,19.334999084472656
2020-12-09,18.753000259399414
2020-12-10,18.93000030517578
2020-12-11,19.02199935913086
2020-12-14,19.25
2020-12-15,20.341999053955078
2020-12-16,20.430999755859375
2020-12-17,20.84000015258789
2020-12-18,21.295000076293945
2020-12-21,21.770000457763672
2020-12-22,22.420000076293945
2020-12-23,22.780000686645508
2020-12-24,22.618000030517578
2020-12-28,22.549999237060547
2020-12-29,22.209999084472656
2020-12-30,22.68000030517578
2020-12-31,22.719999313354492
2021-01-04,22.979999542236328
2021-01-05,23.40999984741211
2021-01-06,24.670000076293945
2021-01-07,26.739999771118164
2021-01-08,26.559999465942383
2021-01-11,25.920000076293945
2021-01-12,26.829999923706055
2021-01-13,27.309999465942383
2021-01-14,26.950000762939453
2021-01-15,25.270000457763672
2021-01-19,26.940000534057617
2021-01-20,26.989999771118164
2021-01-21,27.920000076293945
2021-01-22,28.290000915527344
2021-01-25,28.229999542236328
2021-01-26,28.709999084472656
2021-01-27,27.06999969482422
2021-01-28,27.34000015258789
2021-01-29,26.270000457763672
2021-02-01,26.700000762939453
2021-02-02,27.520000457763672
2021-02-03,27.979999542236328
2021-02-04,27.90999984741211
2021-02-05,27.989999771118164
2021-02-08,28.450000762939453
2021-02-09,28.979999542236328
2021-02-10,28.420000076293945
2021-02-11,28.719999313354492
2021-02-12,28.829999923706055
2021-02-16,28.40999984741211
2021-02-17,27.6200008392334
2021-02-18,25.889999389648438
2021-02-19,26.510000228881836
2021-02-22,24.440000534057617
2021-02-23,24.049999237060547
2021-02-24,24.450000762939453
2021-02-25,23.389999389648438
2021-02-26,23.809999465942383
2021-03-01,24.969999313354492
2021-03-02,23.90999984741211
2021-03-03,22.700000762939453
2021-03-04,21.030000686645508
2021-03-05,20.851999282836914
2021-03-08,19.770000457763672
2021-03-09,21.610000610351562
2021-03-10,21.479999542236328
2021-03-11,23.15999984741211
2021-03-12,23.079999923706055
2021-03-15,22.950000762939453
2021-03-16,22.579999923706055
2021-03-17,21.959999084472656
2021-03-18,21.110000610351562
2021-03-19,21.540000915527344
2021-03-22,21.90999984741211
2021-03-23,21.1200008392334
2021-03-24,20.1299991607666
2021-03-25,20.329999923706055
2021-03-26,21.079999923706055
2021-03-29,20.299999237060547
2021-03-30,21.334999084472656
2021-03-31,22.110000610351562
2021-04-01,22.15999984741211
2021-04-05,21.924999237060547
2021-04-06,21.829999923706055
2021-04-07,21.09000015258789
2021-04-08,21.299999237060547
2021-04-09,21.170000076293945
2021-04-12,20.610000610351562
2021-04-13,20.764999389648438
2021-04-14,20.670000076293945
2021-04-15,20.270000457763672
2021-04-16,20.6299991607666
2021-04-19,20.149999618530273
2021-04-20,19.959999084472656
2021-04-21,20.540000915527344
2021-04-22,21.149999618530273
2021-04-23,21.655000686645508
2021-04-26,22.0
2021-04-27,21.850000381469727
2021-04-28,21.290000915527344
2021-04-29,20.93000030517578
2021-04-30,20.399999618530273
2021-05-03,19.93000030517578
2021-05-04,18.65999984741211
2021-05-05,18.770000457763672
2021-05-06,18.040000915527344
2021-05-07,18.479999542236328
2021-05-10,17.760000228881836
2021-05-11,17.950000762939453
2021-05-12,17.049999237060547
2021-05-13,16.899999618530273
2021-05-14,17.600000381469727
