,BCML
2005-11-10,12.0
2005-11-11,12.0
2005-11-14,12.0
2005-11-15,12.0
2005-11-16,12.0
2005-11-17,12.0
2005-11-18,12.300000190734863
2005-11-21,12.300000190734863
2005-11-22,11.75
2005-11-23,11.75
2005-11-25,11.75
2005-11-28,11.75
2005-11-29,11.75
2005-11-30,12.0
2005-12-01,12.0
2005-12-02,12.0
2005-12-05,12.0
2005-12-06,12.300000190734863
2005-12-07,12.300000190734863
2005-12-08,12.300000190734863
2005-12-09,12.300000190734863
2005-12-12,12.0
2005-12-13,12.0
2005-12-14,12.0
2005-12-15,12.300000190734863
2005-12-16,12.350000381469727
2005-12-19,12.350000381469727
2005-12-20,12.350000381469727
2005-12-21,12.5
2005-12-22,12.5
2005-12-23,12.350000381469727
2005-12-27,11.649999618530273
2005-12-28,11.899999618530273
2005-12-29,11.899999618530273
2005-12-30,12.0
2006-01-03,12.0
2006-01-04,11.399999618530273
2006-01-05,11.5
2006-01-06,12.25
2006-01-09,12.25
2006-01-10,12.5
2006-01-11,12.75
2006-01-12,13.25
2006-01-13,13.25
2006-01-17,13.399999618530273
2006-01-18,13.399999618530273
2006-01-19,13.0
2006-01-20,13.399999618530273
2006-01-23,13.0
2006-01-24,13.0
2006-01-25,13.0
2006-01-26,12.800000190734863
2006-01-27,12.800000190734863
2006-01-30,12.800000190734863
2006-01-31,12.800000190734863
2006-02-01,12.75
2006-02-02,12.850000381469727
2006-02-03,12.850000381469727
2006-02-06,12.850000381469727
2006-02-07,12.850000381469727
2006-02-08,12.850000381469727
2006-02-09,12.850000381469727
2006-02-10,12.25
2006-02-13,12.850000381469727
2006-02-14,12.800000190734863
2006-02-15,12.800000190734863
2006-02-16,12.800000190734863
2006-02-17,12.850000381469727
2006-02-21,12.850000381469727
2006-02-22,12.850000381469727
2006-02-23,12.5
2006-02-24,12.75
2006-02-27,12.75
2006-02-28,12.5
2006-03-01,12.5
2006-03-02,12.5
2006-03-03,12.899999618530273
2006-03-06,13.100000381469727
2006-03-07,13.100000381469727
2006-03-08,13.100000381469727
2006-03-09,13.100000381469727
2006-03-10,13.0
2006-03-13,13.0
2006-03-14,13.100000381469727
2006-03-15,13.100000381469727
2006-03-16,13.100000381469727
2006-03-17,12.949999809265137
2006-03-20,12.850000381469727
2006-03-21,12.949999809265137
2006-03-22,12.949999809265137
2006-03-23,12.949999809265137
2006-03-24,12.949999809265137
2006-03-27,12.949999809265137
2006-03-28,13.0
2006-03-29,13.0
2006-03-30,13.0
2006-03-31,13.0
2006-04-03,13.0
2006-04-04,13.0
2006-04-05,13.0
2006-04-06,13.0
2006-04-07,13.0
2006-04-10,13.0
2006-04-11,13.0
2006-04-12,13.0
2006-04-13,12.800000190734863
2006-04-17,12.850000381469727
2006-04-18,12.800000190734863
2006-04-19,12.800000190734863
2006-04-20,12.850000381469727
2006-04-21,12.850000381469727
2006-04-24,12.850000381469727
2006-04-25,12.850000381469727
2006-04-26,12.850000381469727
2006-04-27,12.850000381469727
2006-04-28,12.850000381469727
2006-05-01,12.850000381469727
2006-05-02,12.850000381469727
2006-05-03,12.75
2006-05-04,12.75
2006-05-05,12.75
2006-05-08,12.25
2006-05-09,12.25
2006-05-10,12.5
2006-05-11,12.399999618530273
2006-05-12,12.399999618530273
2006-05-15,12.5
2006-05-16,12.25
2006-05-17,12.25
2006-05-18,12.25
2006-05-19,12.25
2006-05-22,12.25
2006-05-23,12.75
2006-05-24,12.75
2006-05-25,12.5
2006-05-26,12.5
2006-05-30,12.949999809265137
2006-05-31,12.949999809265137
2006-06-01,12.949999809265137
2006-06-02,12.949999809265137
2006-06-05,12.75
2006-06-06,12.75
2006-06-07,12.949999809265137
2006-06-08,12.699999809265137
2006-06-09,12.699999809265137
2006-06-12,12.699999809265137
2006-06-13,12.699999809265137
2006-06-14,12.699999809265137
2006-06-15,12.699999809265137
2006-06-16,12.649999618530273
2006-06-19,12.649999618530273
2006-06-20,12.5
2006-06-21,12.5
2006-06-22,12.5
2006-06-23,12.699999809265137
2006-06-26,12.699999809265137
2006-06-27,12.699999809265137
2006-06-28,12.5
2006-06-29,12.5
2006-06-30,12.5
2006-07-03,12.5
2006-07-05,12.5
2006-07-06,12.5
2006-07-07,12.5
2006-07-10,12.850000381469727
2006-07-11,12.649999618530273
2006-07-12,12.5
2006-07-13,12.75
2006-07-14,12.699999809265137
2006-07-17,12.699999809265137
